"id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","source","island","tax_comm","dist_comm","legend","kingdom","phylum","class","order_","family","genus","category","marine","terrestial","freshwater","SHAPE_Leng","SHAPE_Area"
7908,"Epomops dobsonii",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Epomops","LC","false","true","false",58.7631900229,113.682143765
7908,"Epomops dobsonii",6,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,"Questionable locality","Presence Uncertain","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Epomops","LC","false","true","false",1.13011762408,0.050816475434
16104,"Paradoxurus jerdoni",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","VIVERRIDAE","Paradoxurus","LC","false","true","false",45.7346512756,5.55923249476
88149174,"Lophostoma occidentalis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Lophostoma","NT","false","true","false",40.3330229504,16.3958888122
163314140,"Microcebus boraha",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Nosy Boraha",NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Microcebus","DD","false","true","false",1.27930784044,0.014416645772
18555,"Pseudomys pilligaensis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Pseudomys","DD","false","true","false",3.94211152173,0.65369731724
7014,"Echiothrix leucura",1,1,1,"IUCN SSC Small Mammal Specialist Group",2016,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Echiothrix","EN","false","true","false",2.91828821588,0.295186029917
7014,"Echiothrix leucura",3,1,1,"IUCN SSC Small Mammal Specialist Group",2016,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,"Possibly Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Echiothrix","EN","false","true","false",2.66981169754,0.289033978038
112298450,"Prosciurillus topapuensis",1,1,1,"IUCN SSC Small Mammal Specialist Group",2019,"IUCN SSC Small Mammal Specialist Group",NA,NA,"Musser et al. 2010","Sulawesi",NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Prosciurillus","NT","false","true","false",5.34397297393,1.32005436744
10156,"Hipposideros pygmaeus",1,1,1,"IUCN",2019,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","LC","false","true","false",12.982346175,1.25792582794
