"Parasite","Host","DetectionMethod","DetectionQuality","ReferenceText","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","PublicationYear","ParasiteType","Database","Host_AsReported","Parasite_AsReported","Parasite_og","PathogenName_Harmonised","PathogenName_Harm2","PathogenType"
"andes","abrothrix longipilis","PCR",2,"Medina et al. 2009","RODENTIA","CRICETIDAE","Abrothrix","longipilis","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2009,"virus","HP3","","","andes virus","andes","andes virus","virus"
"andes","abrothrix olivaceus","Antibodies",0,"Sosa-Estani et al. 2002","RODENTIA","CRICETIDAE","Abrothrix","olivaceus","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2002,"virus","HP3","","","andes virus","andes","andes virus","virus"
"andes","abrothrix sanborni","Antibodies",0,"Padula et al. 2004","RODENTIA","CRICETIDAE","Abrothrix","sanborni","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2004,"virus","HP3","","","andes virus","andes","andes virus","virus"
"african horse sickness","acinonyx jubatus","bcELISA",0,"Alexander et al. 1995","CARNIVORA","FELIDAE","Acinonyx","jubatus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1995,"virus","HP3","","","african horse sickness virus","african horse sickness","african horse sickness virus","virus"
"bluetongue","acinonyx jubatus","Antibodies",0,"Alexander et al. 1994","CARNIVORA","FELIDAE","Acinonyx","jubatus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1994,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"feline astrovirus","acinonyx jubatus","PCR",2,"Atkins at al. 2009","CARNIVORA","FELIDAE","Acinonyx","jubatus","Unassigned","Astroviridae",NA,"Mamastrovirus","SS","RNA","non-enveloped",FALSE,TRUE,6696.5,0,0,0,2009,"virus","HP3","","","feline astrovirus","feline astrovirus","feline astrovirus","virus"
"feline calicivirus","acinonyx jubatus","Antibodies",0,"Munson et al. 2004","CARNIVORA","FELIDAE","Acinonyx","jubatus","Unassigned","Caliciviridae",NA,"Vesivirus","SS","RNA","non-enveloped",FALSE,TRUE,7683,0,0,0,2004,"virus","HP3","","","feline calicivirus","feline calicivirus","feline calicivirus","virus"
"feline coronavirus","acinonyx jubatus","Antibodies",0,"Hofmann-Lehmann et al. 1996","CARNIVORA","FELIDAE","Acinonyx","jubatus","Nidovirales","Coronaviridae",NA,"Coronavirus","SS","RNA","enveloped",FALSE,TRUE,30000,0,0,0,1996,"virus","HP3","","","feline coronavirus","feline coronavirus","feline coronavirus","virus"
"rabies","acinonyx jubatus","Antibodies",0,"Thalwitzer et al. 2010","CARNIVORA","FELIDAE","Acinonyx","jubatus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2010,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"akabane","aepyceros melampus","Antibodies",0,"Davies et al. 1985","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12035,0,0,0,1985,"virus","HP3","","","akabane virus","akabane","akabane virus","virus"
