"Parasite","Host","ReferenceText","pmid","doi","title_pubMed"
"alphacoronavirus 1","acinonyx jubatus","Kennedy et al. 2003","14567213","10.7589/0090-3558-39.3.529","Detection of feline coronavirus infection in southern African nondomestic felids."
"alphacoronavirus 1","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"alphacoronavirus 1","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"bacillus anthracis","acinonyx jubatus","Good et al. 2008","18689661","10.7589/0090-3558-44.3.721","Naturally acquired anthrax antibodies in a cheetah (Acinonyx jubatus) in Botswana."
"bartonella henselae","acinonyx jubatus","Molia et al. 2004","15135511","10.1016/j.vetmic.2004.01.007","Prevalence of Bartonella infection in wild African lions (Panthera leo) and cheetahs (Acinonyx jubatus)."
"helicobacter sp.","acinonyx jubatus","Munson et al. 2005","16244064","10.7589/0090-3558-41.3.542","Extrinsic factors significantly affect patterns of disease in free-ranging and captive cheetah (Acinonyx jubatus) populations."
"hepatozoon sp.","acinonyx jubatus","Averbeck et al. 1990","2117677","10.7589/0090-3558-26.3.392","Prevalence of hematozoans in lions (Panthera leo) and cheetah (Acinonyx jubatus) in Serengeti National Park and Ngorongoro Crater, Tanzania."
"feline immunodeficiency","acinonyx jubatus","Brown et al. 1993",NA,NA,NA
"feline immunodeficiency","acinonyx jubatus","Osofsky et al. 1996",NA,NA,NA
"rabies lyssavirus","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"canine distemper","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"canine distemper","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"mycobacterium bovis","acinonyx jubatus","Keet et al 1996a",NA,NA,NA
"neospora caninum","acinonyx jubatus","Ferroglio et al. 2003","14651874","10.1016/j.vetpar.2003.09.006","Antibodies to Neospora caninum in wild animals from Kenya, East Africa."
"carnivore protoparvovirus 1","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"carnivore protoparvovirus 1","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"trichinella nelsoni","acinonyx jubatus","Pozio et al. 1997","9406805","10.2307/3284388","Trichinella nelsoni in carnivores from the Serengeti ecosystem, Tanzania."
"felid alphaherpesvirus 1","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"felid alphaherpesvirus 1","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"feline calicivirus","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"feline calicivirus","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"longistrongylus curvispiculum","addax nasomaculatus","Craig 1993","8355363","10.7589/0090-3558-29.3.516","Longistrongylus curvispiculum (Nematoda: Trichostrongyloidea) in free-ranging exotic antelope in Texas."
"agriostomum gorgonis","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"agriostomum sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"anaplasma platys","aepyceros melampus","du Plessis et al 1997",NA,NA,NA
"foot-and-mouth disease","aepyceros melampus","Anderson et al 1993","8270015","10.1017/S0950268800057289","The role of wild animals, other than buffalo, in the current epidemiology of foot-and-mouth disease in Zimbabwe."
"foot-and-mouth disease","aepyceros melampus","Bastos et al 2000","10982083","10.1017/S0950268899004008","Natural transmission of foot-and-mouth disease virus between African buffalo (Syncerus caffer) and impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"foot-and-mouth disease","aepyceros melampus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"foot-and-mouth disease","aepyceros melampus","Keet et al 1996b",NA,NA,NA
"bacillus anthracis","aepyceros melampus","Clegg et al. 2007","17259452","10.1136/vr.160.4.113","Massive outbreak of anthrax in wildlife in the Malilangwe Wildlife Reserve, Zimbabwe."
"bacillus anthracis","aepyceros melampus","Cronje et al 2002",NA,NA,NA
"brucella abortus","aepyceros melampus","Ocaido et al 1996",NA,NA,NA
"brucella sp.","aepyceros melampus","Madsen and Anderson 1995",NA,NA,NA
"bunostomum sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"calicophron sp.","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"cooperia connochaeti","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"cooperia fuelleborni","aepyceros melampus","Anderson 1982",NA,NA,NA
"cooperia fuelleborni","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"cooperia fuelleborni","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"cooperia hungi","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"cooperia hungi","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"cooperia hungi","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"cooperia neitzi","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"cooperia neitzi","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"cooperia rotundispiculum","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"cooperia sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"cooperia sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"cooperia verrucosa","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"cooperia yoshidai","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"cooperioides hamiltoni","aepyceros melampus","Anderson 1982",NA,NA,NA
"cooperioides hamiltoni","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"cooperioides hamiltoni","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"cooperioides hamiltoni","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"cooperioides hamiltoni","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"cooperioides hamiltoni","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"cooperioides hepaticae","aepyceros melampus","Anderson 1982",NA,NA,NA
"cooperioides hepaticae","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"cooperioides hepaticae","aepyceros melampus","Gallivan et al 1996","8627927","10.7589/0090-3558-32.1.137","Prevalence of hepatic helminths and associated pathology in impala (Aepyceros melampus) in Swaziland."
"cooperioides hepaticae","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"cooperioides hepaticae","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"cooperioides hepaticae","aepyceros melampus","Pletcher et al 1988","3193559","10.7589/0090-3558-24.4.650","Hepatic lesions associated with Cooperioides hepaticae (Nematoda: Trichostrongyloidea) infection in impala (Aepyceros melampus) of the Kruger National Park."
"cooperioides hepaticae","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"cooperoides sp.","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"cotylophoron cotylophorum","aepyceros melampus","Anderson 1982",NA,NA,NA
"dictyocaulus viviparus","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"echinococcus sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"ehrlichia ruminantium","aepyceros melampus","Kock et al 1995a","7494060","10.1128/JCM.33.9.2501-2504.1995","Detection of Cowdria ruminantium in blood and bone marrow samples from clinically normal, free-ranging Zimbabwean wild ungulates."
"bovine ephemeral fever","aepyceros melampus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bovine ephemeral fever","aepyceros melampus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"escherichia coli","aepyceros melampus","Mariano et al 2009","18978077","10.1128/AEM.01808-08","Case-control study to determine whether river water can spread tetracycline resistance to unexposed impala (Aepyceros melampus) in Kruger National Park (South Africa)."
"fasciola gigantica","aepyceros melampus","Gallivan et al 1996","8627927","10.7589/0090-3558-32.1.137","Prevalence of hepatic helminths and associated pathology in impala (Aepyceros melampus) in Swaziland."
"fasciola hepatica","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"gaigeria pachyscelis","aepyceros melampus","Anderson 1982",NA,NA,NA
"gaigeria pachyscelis","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"gaigeria pachyscelis","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"gaigeria pachyscelis","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"haemonchus bedfordi","aepyceros melampus","Anderson 1982",NA,NA,NA
"haemonchus bedfordi","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"haemonchus contortus","aepyceros melampus","Anderson 1982",NA,NA,NA
"haemonchus contortus","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"haemonchus contortus","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"haemonchus contortus","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"haemonchus contortus","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"haemonchus krugeri","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"haemonchus krugeri","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"haemonchus sp.","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"haemonchus sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"haemonchus vegliai","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"impalaia tuberculata","aepyceros melampus","Anderson 1982",NA,NA,NA
"impalaia tuberculata","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"impalaia tuberculata","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"impalaia tuberculata","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"leptospira interrogans","aepyceros melampus","Wanyangu et al 1989",NA,NA,NA
"longistrongylus curvispiculum","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"longistrongylus sabie","aepyceros melampus","Anderson 1982",NA,NA,NA
"longistrongylus sabie","aepyceros melampus","Hoberg et al 2008","18372646","10.1645/GE-1295.1","An exploration of diversity among the Ostertagiinae (Nematoda: Trichostrongyloidea) in ungulates from Sub-Saharan Africa with a proposal for a new genus."
"longistrongylus sabie","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"longistrongylus sabie","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"longistrongylus sabie","aepyceros melampus","Pletcher et al 1984",NA,NA,NA
"longistrongylus schrenki","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"moniezia benedeni","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"moniezia expansa","aepyceros melampus","Anderson 1982",NA,NA,NA
"moniezia sp.","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"moniezia sp.","aepyceros melampus","Ezenwa 2003a",NA,NA,NA
"moniezia sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"crimean-congo hemorrhagic fever nairovirus","aepyceros melampus","Shepherd et al 1987","3101526","10.4269/ajtmh.1987.36.133","Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa."
"not identified to genus","aepyceros melampus","Ezenwa 2003a",NA,NA,NA
"not identified to genus","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"not identified to genus","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"not identified to genus","aepyceros melampus","Pagamjav et al 2005","16327234","10.1292/jvms.67.1185","Detection of novel gammaherpesviruses in wild animals of South Africa."
"not identified to genus","aepyceros melampus","Zieger et al 1998b",NA,NA,NA
"oesophagostomum columbianum","aepyceros melampus","Anderson 1982",NA,NA,NA
"oesophagostomum columbianum","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"oesophagostomum columbianum","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"oesophagostomum sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"oesophagostomum sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"bluetongue","aepyceros melampus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bluetongue","aepyceros melampus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"bluetongue","aepyceros melampus","Kimber et al 2002","12381595","10.1111/j.1749-6632.2002.tb04382.x","Serologic survey of selected viral, bacterial, and protozoal agents in captive and free-ranging ungulates from central Kenya."
"ostertagia sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"paramphistomum sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"paramphistomum sp.","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"paramphistomum sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"bovine viral diarrhea virus 1","aepyceros melampus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bovine viral diarrhea virus 1","aepyceros melampus","Karesh et al 1997",NA,NA,NA
"rift valley phlebovirus","aepyceros melampus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"pneumostrongylus calcaratus","aepyceros melampus","Anderson 1982",NA,NA,NA
"pneumostrongylus calcaratus","aepyceros melampus","Gallivan et al 1989","2915405","10.7589/0090-3558-25.1.76","Observations on the lungworm, Pneumostrongylus calcaratus, in impala (Aepyceros melampus) from Swaziland."
"pneumostrongylus calcaratus","aepyceros melampus","Pletcher et al 1988","3193559","10.7589/0090-3558-24.4.650","Hepatic lesions associated with Cooperioides hepaticae (Nematoda: Trichostrongyloidea) infection in impala (Aepyceros melampus) of the Kruger National Park."
"bovine respiratory syncytial","aepyceros melampus","Kimber et al 2002","12381595","10.1111/j.1749-6632.2002.tb04382.x","Serologic survey of selected viral, bacterial, and protozoal agents in captive and free-ranging ungulates from central Kenya."
"bovine parainfluenza virus 3","aepyceros melampus","Kimber et al 2002","12381595","10.1111/j.1749-6632.2002.tb04382.x","Serologic survey of selected viral, bacterial, and protozoal agents in captive and free-ranging ungulates from central Kenya."
"rhodococcus equi","aepyceros melampus","Takai et al 2004","15240956","10.1292/jvms.66.743","Isolation of Rhodococcus equi from the feces of indigenous animals and soil from the Lower Zambezi National Park and Lochinvar National Park, Zambia."
"sarcocystis melampi","aepyceros melampus","Odening et al 1998",NA,NA,NA
"sarcocystis sp.","aepyceros melampus","Odening et al 1998",NA,NA,NA
"stilesia hepatica","aepyceros melampus","Anderson 1982",NA,NA,NA
"stilesia hepatica","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"stilesia hepatica","aepyceros melampus","Gallivan et al 1996","8627927","10.7589/0090-3558-32.1.137","Prevalence of hepatic helminths and associated pathology in impala (Aepyceros melampus) in Swaziland."
"stilesia hepatica","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"stilesia hepatica","aepyceros melampus","Pletcher et al 1988","3193559","10.7589/0090-3558-24.4.650","Hepatic lesions associated with Cooperioides hepaticae (Nematoda: Trichostrongyloidea) infection in impala (Aepyceros melampus) of the Kruger National Park."
"strongyloides papillosus","aepyceros melampus","Anderson 1982",NA,NA,NA
"strongyloides papillosus","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"strongyloides papillosus","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"strongyloides sp.","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"strongyloides sp.","aepyceros melampus","Ezenwa 2003a",NA,NA,NA
"strongylus sp.","aepyceros melampus","Kariuki et al 1989","2619384","10.1080/00034983.1989.11812415","Parasite survey of eight wild animals in the Ruma National Park."
"thysaniezia giardi","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"thysaniezia sp.","aepyceros melampus","Ezenwa 2003a",NA,NA,NA
"toxocara vitulorum","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"trichostrongylus angistris","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"trichostrongylus axei","aepyceros melampus","Anderson 1982",NA,NA,NA
"trichostrongylus colubriformis","aepyceros melampus","Anderson 1982",NA,NA,NA
"trichostrongylus colubriformis","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"trichostrongylus deflexus","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"trichostrongylus falculatus","aepyceros melampus","Anderson 1982",NA,NA,NA
"trichostrongylus falculatus","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"trichostrongylus falculatus","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"trichostrongylus instabilis","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"trichostrongylus sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"trichostrongylus sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"trichostrongylus thomasi","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"trichostrongylus thomasi","aepyceros melampus","Horak et al 1983a",NA,NA,NA
"trichostrongylus thomasi","aepyceros melampus","Negovetich et al 2006","17304792","10.1645/GE-934R.1","An examination of the infracommunities and component communities from impala (Aepyceros melampus) in the Kruger National Park, South Africa."
"trichuris globulosa","aepyceros melampus","Anderson 1982",NA,NA,NA
"trichuris sp.","aepyceros melampus","Ocaido et al 1999",NA,NA,NA
"bovine alphaherpesvirus 1","aepyceros melampus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bovine alphaherpesvirus 1","aepyceros melampus","Karesh et al 1997",NA,NA,NA
"ascaridia schroederii","ailuropoda melanoleuca","Qiu and Mainka 1993",NA,NA,NA
"agriostomum cursoni","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"foot-and-mouth disease","alcelaphus buselaphus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"avitellina sp.","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"cooperia sp.","alcelaphus buselaphus","Boomker et al 1986",NA,NA,NA
"cooperia sp.","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"bovine ephemeral fever","alcelaphus buselaphus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"haemonchus bedfordi","alcelaphus buselaphus","Boomker et al 1986",NA,NA,NA
"haemonchus contortus","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"haemonchus sp.","alcelaphus buselaphus","Boomker et al 1986",NA,NA,NA
"haemonchus sp.","alcelaphus buselaphus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"impalaia nudicollis","alcelaphus buselaphus","Boomker et al 1986",NA,NA,NA
"impalaia sp.","alcelaphus buselaphus","Boomker et al 1986",NA,NA,NA
"impalaia tuberculata","alcelaphus buselaphus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"moniezia sp.","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"rinderpest","alcelaphus buselaphus","Kock et al 1995b",NA,NA,NA
"crimean-congo hemorrhagic fever nairovirus","alcelaphus buselaphus","Shepherd et al 1987","3101526","10.4269/ajtmh.1987.36.133","Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa."
"nematodirus spathiger","alcelaphus buselaphus","Boomker et al 2000",NA,NA,NA
"oesophagostomum columbianum","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"bluetongue","alcelaphus buselaphus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"akabane","alcelaphus buselaphus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"parabronema sp.","alcelaphus buselaphus","Boomker et al 1986",NA,NA,NA
"protostrongylus africanus","alcelaphus buselaphus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"bovine alphaherpesvirus 2","alcelaphus buselaphus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"skrjabinema sp.","alcelaphus buselaphus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"strongylus sp.","alcelaphus buselaphus","Kariuki et al 1989","2619384","10.1080/00034983.1989.11812415","Parasite survey of eight wild animals in the Ruma National Park."
"teladorsagia circumcincta","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"theileria sp.","alcelaphus buselaphus","Spitalska et al 2005","15986252","10.1007/s00436-005-1390-y","Prevalence of theileriosis in Red Hartebeest (Alcelaphus buselaphus caama) in Namibia."
"trichostrongylus auriculatus","alcelaphus buselaphus","Boomker 1986a",NA,NA,NA
"trichostrongylus falculatus","alcelaphus buselaphus","Boomker et al 2000",NA,NA,NA
"trichostrongylus sp.","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"trichuris ovis","alcelaphus buselaphus","Mares et al 1984",NA,NA,NA
"trypanosoma brucei","alcelaphus buselaphus","Guedegbe et al 1992",NA,NA,NA
"trypanosoma vivax","alcelaphus buselaphus","Guedegbe et al 1992",NA,NA,NA
"haemonchus contortus","alcelaphus lichtensteinii","Zieger et al 1998b",NA,NA,NA
"bovine viral diarrhea virus 1","alcelaphus lichtensteinii","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"anaplasma phagocytophilum","alces alces","Jenkins et al 2001","11272499","10.7589/0090-3558-37.1.201","Ehrlichiosis in a moose calf in Norway."
"anaplasma phagocytophilum","alces alces","Stuen et al 2002","11838199","10.7589/0090-3558-38.1.1","Antibodies to granulocytic Ehrlichia in moose, red deer, and roe deer in Norway."
"anaplasma phagocytophilum","alces alces","Stuen et al 2002b","11838199","10.7589/0090-3558-38.1.1","Antibodies to granulocytic Ehrlichia in moose, red deer, and roe deer in Norway."
"bacillus anthracis","alces alces","Gates et al 1995",NA,NA,NA
"brucella suis","alces alces","Edmonds et al 1999","10479098","10.7589/0090-3558-35.3.591","Use of western immunoblot analysis for testing moose serum for Brucella suis biovar 4 specific antibodies."
"brucella suis","alces alces","Honour and Hickling 1993","8258861","10.7589/0090-3558-29.4.596","Naturally occurring Brucella suis biovar 4 infection in a moose (Alces alces)."
"bunostomum trigonocephalum","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"capillaria sp.","alces alces","Aukstikalniene et al. 2007",NA,NA,NA
"cryptosporidium parvum","alces alces","Dubrovsky et al 1994",NA,NA,NA
"cryptosporidium parvum","alces alces","Hamnes et al 2006","16797126","10.1016/j.vetpar.2006.05.004","Prevalence of Cryptosporidium and Giardia in free-ranging wild cervids in Norway."
"dictyocaulus capreolus","alces alces","Divina et al. 2002","12528445","10.7589/0090-3558-38.4.769","Molecular identification and prevalence of Dictyocaulus spp. (Trichostrongyloidea: Dictyocaulidae) in Swedish semi-domestic and free-living cervids."
"dictyocaulus capreolus","alces alces","Gibbons and Hoglund 2002","12015823","10.1079/JOH2001108","Dictyocaulus capreolus n. sp. (Nematoda: Trichostrongyloidea) from roe deer, Capreolus capreolus and moose, Alces alces in Sweden."
"dictyocaulus eckerti","alces alces","Divina et al. 2002","12528445","10.7589/0090-3558-38.4.769","Molecular identification and prevalence of Dictyocaulus spp. (Trichostrongyloidea: Dictyocaulidae) in Swedish semi-domestic and free-living cervids."
