"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"torque teno midi virus 9",FALSE,""
"torque teno mini virus 1",FALSE,""
"torque teno mini virus 10",FALSE,""
"torque teno mini virus 11",FALSE,""
"torque teno mini virus 12",FALSE,""
"torque teno mini virus 2",FALSE,""
"torque teno mini virus 3",FALSE,""
"torque teno mini virus 4",FALSE,""
"torque teno mini virus 5",FALSE,""
"torque teno mini virus 6",FALSE,""
"torque teno mini virus 7",FALSE,""
"torque teno mini virus 8",FALSE,""
"torque teno mini virus 9",FALSE,""
"torque teno sus virus 1a",FALSE,""
"torque teno sus virus 1b",FALSE,""
"torque teno sus virus k2a",FALSE,""
"torque teno tamarin",FALSE,""
"torque teno tupaia",TRUE,"torque teno tupaia"
"torque teno virus 1",TRUE,"torque teno virus 1"
"torque teno virus 10",FALSE,""
"torque teno virus 11",FALSE,""
"torque teno virus 12",FALSE,""
"torque teno virus 13",FALSE,""
"torque teno virus 14",TRUE,"torque teno virus 14"
"torque teno virus 15",FALSE,""
"torque teno virus 16",FALSE,""
"torque teno virus 17",FALSE,""
"torque teno virus 18",FALSE,""
"torque teno virus 19",FALSE,""
"torque teno virus 2",TRUE,"torque teno virus 2"
"torque teno virus 20",FALSE,""
"torque teno virus 21",FALSE,""
"torque teno virus 22",FALSE,""
"torque teno virus 23",TRUE,"torque teno virus 23"
"torque teno virus 24",FALSE,""
"torque teno virus 25",FALSE,""
"torque teno virus 26",FALSE,""
"torque teno virus 27",FALSE,""
"torque teno virus 28",FALSE,""
"torque teno virus 29",FALSE,""
"torque teno virus 3",FALSE,""
"torque teno virus 4",FALSE,""
"torque teno virus 5",FALSE,""
"torque teno virus 6",FALSE,""
"torque teno virus 7",FALSE,""
"torque teno virus 8",FALSE,""
"torque teno virus 9",FALSE,""
"torque teno zalophus virus 1",FALSE,""
"tree shrew mastadenovirus a",FALSE,""
"tula hantavirus",FALSE,""
"tupaia tupavirus",FALSE,""
"tupaiid betaherpesvirus 1",FALSE,""
"turlock orthobunyavirus",FALSE,""
"tylonycteris bat coronavirus hku4",FALSE,""
"tyuleniy",FALSE,""
"uganda s",TRUE,"uganda s"
"una",TRUE,"una"
"ungulate bocaparvovirus 1",FALSE,""
"ungulate bocaparvovirus 2",FALSE,""
"ungulate bocaparvovirus 3",FALSE,""
"ungulate bocaparvovirus 4",FALSE,""
"ungulate bocaparvovirus 5",FALSE,""
"ungulate copiparvovirus 1",FALSE,""
"ungulate copiparvovirus 2",FALSE,""
"ungulate erythroparvovirus 1",FALSE,""
"ungulate protoparvovirus",FALSE,""
"ungulate tetraparvovirus 1",FALSE,""
"ungulate tetraparvovirus 2",FALSE,""
"ungulate tetraparvovirus 3",FALSE,""
"ungulate tetraparvovirus 4",FALSE,""
"upsilonpapillomavirus 1",FALSE,""
"upsilonpapillomavirus 3",FALSE,""
"usutu",TRUE,"usutu"
"uukuniemi phlebovirus",FALSE,""
"vaccinia",TRUE,"vaccinia"
"variola",TRUE,"variola"
"venezuelan equine encephalitis",TRUE,"venezuelan equine encephalitis"
"vesicular exanthema of swine",TRUE,"vesicular exanthema of swine"
"visna/maedi",TRUE,"visna/maedi"
"wad medani",TRUE,"wad medani"
"wallal",TRUE,"wallal"
"warrego",TRUE,"warrego"
"wesselsbron",TRUE,"wesselsbron"
"west caucasian bat lyssavirus",FALSE,""
"west nile",TRUE,"west nile"
"western equine encephalitis",TRUE,"western equine encephalitis"
"whataroa",FALSE,""
"whitewater arroyo mammarenavirus",FALSE,""
"woodchuck hepatitis",TRUE,"woodchuck hepatitis"
"wyeomyia orthobunyavirus",FALSE,""
"xipapillomavirus 1",FALSE,""
"xipapillomavirus 2",FALSE,""
"yaba monkey tumor",TRUE,"yaba monkey tumor"
"yaounde",FALSE,""
"yellow fever",TRUE,"yellow fever"
"yokose",TRUE,"yokose"
"yunnan orbivirus",FALSE,""
"zaire ebolavirus",TRUE,"zaire ebolavirus"
"zegla orthobunyavirus",FALSE,""
"zetapapillomavirus 1",FALSE,""
"zika",TRUE,"zika"
