"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"cocal vesiculovirus",FALSE,""
"colorado tick fever",TRUE,"colorado tick fever"
"corriparta",TRUE,"corriparta"
"cosavirus a",FALSE,""
"cowbone ridge",TRUE,"cowbone ridge"
"cowpox",TRUE,"cowpox"
"cricetid gammaherpesvirus 2",FALSE,""
"crimean-congo hemorrhagic fever nairovirus",FALSE,""
"cupixi mammarenavirus",FALSE,""
"dakar bat",TRUE,"dakar bat"
"deltapapillomavirus 1",FALSE,""
"deltapapillomavirus 2",FALSE,""
"deltapapillomavirus 3",FALSE,""
"deltapapillomavirus 4",FALSE,""
"deltapapillomavirus 5",FALSE,""
"deltapapillomavirus 6",FALSE,""
"dengue",TRUE,"dengue"
"dhori",TRUE,"dhori"
"dobrava-belgrade hantavirus",FALSE,""
"dugbe nairovirus",FALSE,""
"duvenhage lyssavirus",FALSE,""
"dyodeltapapillomavirus 1",FALSE,""
"dyoetapapillomavirus 1",FALSE,""
"dyoiotapapillomavirus 1",FALSE,""
"dyoiotapapillomavirus 2",FALSE,""
"dyokappapapillomavirus 1",FALSE,""
"dyolambdapapillomavirus 1",FALSE,""
"dyonupapillomavirus 1",FALSE,""
"dyoomikronpapillomavirus 1",FALSE,""
"dyopipapillomavirus 1",FALSE,""
"dyorhopapillomavirus 1",FALSE,""
"dyosigmapapillomavirus 1",FALSE,""
"dyothetapapillomavirus 1",FALSE,""
"dyoxipapillomavirus 1",FALSE,""
"eastern equine encephalitis",TRUE,"eastern equine encephalitis"
"ectromelia",TRUE,"ectromelia"
"edge hill",FALSE,""
"el moro canyon hantavirus",FALSE,""
"elephantid betaherpesvirus 1",FALSE,""
"entebbe bat",TRUE,"entebbe bat"
"enterovirus a",TRUE,"enterovirus a"
"enterovirus b",TRUE,"enterovirus b"
"enterovirus c",TRUE,"enterovirus c"
"enterovirus d",TRUE,"enterovirus d"
"enterovirus e",FALSE,""
"enterovirus f",FALSE,""
"enterovirus g",FALSE,""
"enterovirus h",FALSE,""
"enterovirus j",FALSE,""
"epizootic hemorrhagic disease",TRUE,"epizootic hemorrhagic disease"
"epsilonpapillomavirus 1",FALSE,""
"equid alphaherpesvirus 1",FALSE,""
"equid alphaherpesvirus 3",FALSE,""
"equid alphaherpesvirus 4",FALSE,""
"equid alphaherpesvirus 8",FALSE,""
"equid alphaherpesvirus 9",FALSE,""
"equid gammaherpesvirus 2",FALSE,""
"equid gammaherpesvirus 5",FALSE,""
"equid gammaherpesvirus 7",FALSE,""
"equine arteritis",TRUE,"equine arteritis"
"equine encephalosis",TRUE,"equine encephalosis"
"equine foamy",TRUE,"equine foamy"
"equine infectious anemia",TRUE,"equine infectious anemia"
"equine mastadenovirus a",FALSE,""
"equine mastadenovirus b",FALSE,""
"equine rhinitis a",TRUE,"equine rhinitis a"
"equine torovirus",TRUE,"equine torovirus"
"erbovirus a",FALSE,""
"eubenangee",TRUE,"eubenangee"
"european bat 1 lyssavirus",FALSE,""
"european bat 2 lyssavirus",FALSE,""
"european brown hare syndrome",TRUE,"european brown hare syndrome"
"everglades",TRUE,"everglades"
"eyach",TRUE,"eyach"
"felid alphaherpesvirus 1",FALSE,""
"feline calicivirus",TRUE,"feline calicivirus"
"feline foamy",TRUE,"feline foamy"
"feline immunodeficiency",TRUE,"feline immunodeficiency"
"feline leukemia",TRUE,"feline leukemia"
"finkel-biskis-jinkins murine sarcoma",FALSE,""
"flexal mammarenavirus",FALSE,""
"foot-and-mouth disease",TRUE,"foot-and-mouth disease"
"fort morgan",TRUE,"fort morgan"
"gadgets gully",FALSE,""
"gallid alphaherpesvirus 2",FALSE,""
"gammapapillomavirus 1",FALSE,""
"gammapapillomavirus 10",FALSE,""
"gammapapillomavirus 11",FALSE,""
"gammapapillomavirus 12",FALSE,""
"gammapapillomavirus 13",FALSE,""
"gammapapillomavirus 14",FALSE,""
"gammapapillomavirus 15",FALSE,""
"gammapapillomavirus 16",FALSE,""
"gammapapillomavirus 17",FALSE,""
"gammapapillomavirus 18",FALSE,""
