Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
accacoelium contortum,Helminth,mola mola,Fish,2,0,13508500;31662265,
aceria eximia,Arthropod,calamagrostis epigeios,Higher Plants,1,0,229905460,
aceria tosichella,Arthropod,bromus inermis,Higher Plants,1,0,237513232,
aceria tulipae,Arthropod,allium cepa,Higher Plants,1,0,237513230,
acetobacter aceti,Bacteria,saccharicoccus sacchari,Arthropod,1,0,4894726,
acetobacter ghanensis,Bacteria,ananas comosus,Higher Plants,2,0,326531412;326531413,
acetobacter ghanensis,Bacteria,averrhoa carambola,Higher Plants,1,0,326531410,
acetobacter ghanensis,Bacteria,citrus hystrix,Higher Plants,1,0,326531411,
acetobacter ghanensis,Bacteria,syzygium jambos,Higher Plants,1,0,326531414,
acetobacter indonesiensis,Bacteria,averrhoa carambola,Higher Plants,1,0,326531404,
acetobacter indonesiensis,Bacteria,cucumis melo,Higher Plants,2,0,326531405;326531406,
acetobacter indonesiensis,Bacteria,ixora coccinea,Higher Plants,1,0,326531403,
acetobacter indonesiensis,Bacteria,prunus umbellata,Higher Plants,1,0,326531402,
acetobacter indonesiensis,Bacteria,psidium guajava,Higher Plants,3,0,326531399;326531400;326531401,
acetobacter lovaniensis,Bacteria,ananas comosus,Higher Plants,1,0,326531396,
acetobacter lovaniensis,Bacteria,beta vulgaris,Higher Plants,2,0,158828359;158828360,
acetobacter lovaniensis,Bacteria,citrus hystrix,Higher Plants,3,0,326531391;326531392;326531393,
acetobacter lovaniensis,Bacteria,dimocarpus longan,Higher Plants,2,0,326531394;326531395,
acetobacter lovaniensis,Bacteria,tamarindus indica,Higher Plants,2,0,326531397;326531398,
acetobacter orientalis,Bacteria,averrhoa carambola,Higher Plants,1,0,326531382,
acetobacter orientalis,Bacteria,citrus sinensis,Higher Plants,1,0,326531387,
acetobacter orientalis,Bacteria,mangifera indica,Higher Plants,4,0,326531383;326531384;326531385;326531386,
acetobacter orientalis,Bacteria,nephelium lappaceum,Higher Plants,3,0,326531388;326531389;326531390,
acetobacter orleanensis,Bacteria,averrhoa carambola,Higher Plants,2,0,326531417;326531418,
acetobacter pasteurianus,Bacteria,ananas comosus,Higher Plants,2,0,209419752;238069254,
acetobacter pasteurianus,Bacteria,artocarpus altilis,Higher Plants,3,0,326531379;326531380;326531381,
acetobacter pasteurianus,Bacteria,asobara tabida,Arthropod,1,0,226933852,
acetobacter pasteurianus,Bacteria,mangifera indica,Higher Plants,1,0,326530175,
acetobacter pasteurianus,Bacteria,melampodium divaricatum,Higher Plants,3,0,326205496;326530174;326530176,
acetobacter pasteurianus,Bacteria,prunus persica,Higher Plants,2,0,326530177;326530178,
acetobacter pasteurianus,Bacteria,vitis vinifera,Higher Plants,2,0,326530179;326530190,
acetobacter pomorum,Bacteria,drosophila melanogaster,Arthropod,100,0,326694966;326694979;326694980;326694981;326695122;326695124;326695125;326695127;326695128;326695129;326695130;326695131;326695141;326695143;326695144;326695145;326695146;326695149;326695150;326695151;326695152;326695153;326695154;326695158;326695163;326695166;326695168;326695171;326695175;326695179;326695206;326695247;326695252;326695253;326695254;326695265;326695389;326695729;326695843;326695963;326695978;326696177;326696184;326696197;326696554;326696559;326696655;326696657;326696661;326696761;326696780;326696786;326696788;326696897;326696904;326696927;326696929;326697009;326697026;326697033;326697049;326697072;326697125;326697375;326697378;326697438;326697440;329113237;329113300;329113603;329113642;329113666;329113748;329113778;329113889;329113914;329114018;329114116;329114478;329114498;329114712;329114946;329115410;329115422;329115428;329115496;329115504;329115509;329115517;329115522;329115524;329115526;329115530;329115532;329115544;329115546;329115548;329115551;329115694;329115696,
acetobacter tropicalis,Bacteria,bactrocera oleae,Arthropod,3,0,371778851;371778852;371778853,
acetobacter tropicalis,Bacteria,cucumis melo,Higher Plants,1,0,326531409,
acetobacter tropicalis,Bacteria,psidium guajava,Higher Plants,2,0,326531407;326531408,
acetobacter tropicalis,Bacteria,spathodea campanulata,Higher Plants,1,0,220680745,
