Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
bruchus lentis,Arthropod,lens culinaris,Higher Plants,3,0,83656837;83656873;83656895,
bruchus loti,Arthropod,lathyrus pratensis,Higher Plants,4,0,40457957;40458014;40458076;83656850,
bruchus luteicornis,Arthropod,vicia sativa,Higher Plants,4,0,40457958;40458016;40458078;83656851,
bruchus pisorum,Arthropod,pisum sativum,Higher Plants,17,0,83656840;83656853;83656901;145316037;145316039;145316077;145316079;145316081;145316083;145316085;148608053;148608055;148608057;148608091;148608093;148608095;148608097,
bruchus rufimanus,Arthropod,canavalia ensiformis,Higher Plants,1,0,145315997,
bruchus rufimanus,Arthropod,vicia faba,Higher Plants,24,0,145315999;145316001;145316041;145316043;145316045;145316047;145316049;145967405;145967406;145967407;145967408;145967409;145967410;148608035;148608037;148608039;148608041;148608059;148608061;148608063;148608065;148608067;148608069;148608071,
bruchus rufimanus,Arthropod,vicia pannonica,Higher Plants,4,0,40457959;40458018;40458080;83656854,
bruchus rufipes,Arthropod,vicia sativa,Higher Plants,4,0,40457960;40458020;40458082;83656855,
bruchus signaticornis,Arthropod,vicia cracca,Higher Plants,3,0,83656842;83656881;83656903,
bruchus tristiculus,Arthropod,lathyrus cicera,Higher Plants,7,0,40457961;40457962;40458022;40458024;40458084;40458086;83656856,
bruchus tristis,Arthropod,lathyrus cicera,Higher Plants,4,0,40457963;40458026;40458088;83656857,
bruchus venustus,Arthropod,vicia cracca,Higher Plants,1,0,83656858,
bruchus viciae,Arthropod,lathyrus cicera,Higher Plants,3,0,41058671;41058679;41058692,
bruchus viciae,Arthropod,lathyrus sphaericus,Higher Plants,1,0,83656859,
brueelia anamariae,Arthropod,troglodytes aedon,Aves,2,0,219878929;219878975,
brueelia antiqua,Arthropod,catharus fuscater,Aves,1,0,219878965,
brueelia antiqua,Arthropod,catharus fuscescens,Aves,8,0,219878941;219878943;219878945;219878947;219878987;219878989;219878991;219878993,
brueelia antiqua,Arthropod,catharus guttatus,Aves,4,0,219878931;219878933;219878977;219878979,
brueelia antiqua,Arthropod,catharus minimus,Aves,1,0,219878995,
brueelia antiqua,Arthropod,catharus ustulatus,Aves,7,0,219878963;219878967;219878969;219879011;219879013;219879015;219879017,
brueelia brunneinucha,Arthropod,dumetella carolinensis,Aves,2,0,219878935;219878981,
brueelia concavus,Arthropod,catharus fuscater,Aves,2,0,219878939;219878985,
brueelia concavus,Arthropod,hylocichla mustelina,Aves,4,0,219878971;219878973;219879019;219879021,
brueelia dorsale,Arthropod,toxostoma rufum,Aves,2,0,219878937;219878983,
brueelia laticeps,Arthropod,aulacorhynchus prasinus,Aves,2,0,34525670;34525726,
brueelia marginella,Arthropod,momotus momota,Aves,6,0,18391190;18426978;21616455;21616517;34525674;34525730,
brueelia moriona,Arthropod,cyanocorax morio,Aves,2,0,34525672;34525728,
brueelia vulgata,Arthropod,junco hyemalis,Aves,2,0,219878961;219879009,
brueelia vulgata,Arthropod,zonotrichia albicollis,Aves,2,0,219878957;219879005,
brueelia vulgata,Arthropod,zonotrichia leucophrys,Aves,2,0,219878959;219879007,
brugia malayi,Helminth,canis lupus,Mammal,2,4,224593528;224593529,7973943;17121289;19527522;21620569
brugia malayi,Helminth,canis lupus familiaris,Domestic,2,4,224593528;224593529,7973943;17121289;19527522;21620569
brugia malayi,Helminth,felis catus,Domestic,25,20,170145097;170145098;170145099;170145100;170145101;170145102;170145103;170145104;170145105;170145106;170145107;170145108;170145109;170145110;170145111;170145112;170145113;170145114;170145115;170145116;170145117;170145118;170145119;170145120;170145121,453446;573989;592054;860309;1165544;2873797;3313744;3561034;5050091;5112357;5112360;5559751;6404189;6630983;7221700;7973943;7973949;18835001;19323030;21620569
brugia malayi,Helminth,homo sapiens,Human,8,139,433399;455098;455100;455102;460245;563236;193083503;350627317,1293431;1386111;1475823;1775166;1857386;1902251;2387979;2442100;2482559;2565406;2699281;2927447;3190122;3543360;6152118;6202774;6444695;6630983;6707481;6798890;6996503;7029799;7112659;7199027;7210162;7594718;7681545;7767765;7814280;7932922;7973943;7992323;8195939;8757874;8784774;8790777;9140491;9176582;9559680;9618725;9784388;9931421;10583857;11406138;11472555;11500459;11816429;11925998;11931259;12128050;11301256;12387845;12508156;12592561;11125475;12788054;11009101;12810047;12819103;12860672;12880250;10996327;14533709;14998511;9808184;9686607;15828820;15932636;15979614;16154590;8629065;17162957;17306254;17547050;17560074;17631429;8422245;7350196;7252171;7086135;18334026;18385349;18439691;7072893;18547532;18806794;6193193;6114567;18981128;5112360;5112357;3350105;19190232;19198529;19281872;19352421;3332770;19456233;19597542;19626340
brugia malayi,Helminth,meriones unguiculatus,Domestic,5,60,533160;533161;533165;12231690;12382255,12255;483379;1138041;1539753;1584752;1935354;2208627;2209785;2866213;2869588;3313736;3524988;3766856;4123106;5003272;5504534;6683940;6997364;7445050;8057319;8215116;8533667;9437845;10092477;11888652;12078206;12880245;14638788;15491542;15575994;16113889;16524413;16870314;16930260;17078904;17089749;18499308;18524430;19450648;19722191;20609356;21523424;18180957;16187525;12826297;10725691;8604107;7300035;7235129;6535855;6505786;6471528;4749070;3834797;3660065;3384450;3379799;3379798;976421;864573
brugia malayi,Helminth,presbytis cristata,Mammal,0,9,,7631131;1948274;1675809;2387979;1973024;2339241;2251244;3387410;3437112
brugia pahangi,Helminth,canis lupus,Mammal,1,9,350643457,122581;1861067;2320053;3236903;4353079;7973943;8406593;10761730;12355577
brugia pahangi,Helminth,canis lupus familiaris,Domestic,1,9,350643457,122581;1861067;2320053;3236903;4353079;7973943;8406593;10761730;12355577
brugia pahangi,Helminth,felis catus,Domestic,30,23,170145122;170145123;170145124;170145125;170145126;170145127;170145128;170145129;170145130;170145131;170145132;170145133;170145134;170145135;170145136;170145137;170145138;170145139;170145140;170145141;170145142;170145143;170145144;170145145;170145146;170145147;170145148;170145149;170145150;170145151,50339;64486;573989;1262689;1625909;2772699;4071646;4234373;4558674;5048081;5145116;5824282;5962368;6126097;6302626;6835693;7221700;7973943;7973949;11722567;19323030;20345496;20951228
brugia pahangi,Helminth,homo sapiens,Human,0,13,,1480604;1857386;2927447;3332770;4071646;7973943;8406593;12128050;12625936;15752178;16616613;17547050;20951228
brugia pahangi,Helminth,meriones unguiculatus,Domestic,3,66,183579744;183579745;183579746,481911;483379;891701;976421;976426;1166345;1865273;2209785;2226701;2382104;2387972;2405144;2774064;3734400;3992643;4123106;4396173;4563025;4788760;6337217;6501858;6505786;6674453;6690414;6718056;7072891;7101438;7264273;7298177;7623212;7810813;7821412;7868266;8057319;9267402;9488396;10579430;10715679;10782046;11198915;12379668;12880245;14638788;16552066;17089749;17152953;17706647;12392911;11037123;8410553;8253153;7438540;7420243;7217644;7096971;7058063;7003830;5105963;4773577;4711663;3967726;3745871;3437358;734717;627948;538808
brugia timori,Helminth,homo sapiens,Human,0,19,,23222136;22666510;21796097;19823571;15627400;15246315;12625936;12592557;12358626;12201590;8118159;7973941;2670375;2885159;2417115;3895352;6138844;6839543;360410
bryocamptus pygmaeus,Arthropod,homarus americanus,Arthropod,2,0,227437488;227437492,
BSE agent,Virus,bos taurus,Domestic,0,2149,,25279832;25279820;25274502;25272190;25266267;25183633;25164598;25163531;25144977;25100723;25090610;25082752;25057644;25037462;25024281;25003381;24970211;24956437;24945656;24898206;24854140;24850746;24833721;24828981;24828334;24819143;24804246;24797075;24769839;24736322;24720684;24705506;24699458;24689837;24608126;24590363;24549113;24547648;24456748;24445428;24431459;24377702;24371051;24359408;24352451;24324497;24257620;24222767;24218507;24204258;24188521;24184875;24184221;24159531;24138967;24129059;24123519;24118248;24113272;24059332;24055928;24045112;24028506;24020404;23986118;23977331;23977159;23945217;23928182;23925465;23910008;23850826;23845735;23838580;23835086;23805320;23772892;23764183;23761404;23758037;23755826;23746801;23740992;23735198;23720218;23710832;23709368;23647575;23637170;23607323;23587616;23587138;23580248;23563221;23548713;23530766;23520739;23518043;23476996;23469131
BSE agent,Virus,felis catus,Domestic,0,26,,23587616;23236066;23232497;22505359;19738899;18725465;18359950;15297759;15259778;14522860;12296404;11444100;11338713;11206004;10951669;10935415;9810774;9716952;9611347;9333239;8701521;8618936;8524411;8219804;1410804;2075687
bse agent,Virus,homo sapiens,Human,0,96,,24945656;24797075;24608126;24371051;23637170;22305879;22172513;21961232;21445238;21218348;21192855;21084466;20943888;19633190;19497088;19097123;19046515;18682737;18394279;18284910;17881874;17596445;17447527;17410969;17374783;17126958;17079295;17054396;17044041;16823692;16776828;16566455;16528056;16480953;16439340;16416391;16396521;16388864;16254368;15850957;15649960;15633681;15479374;15449463;15300459;15222490;15148992;15148991;15148989;15016886;14986255;14970340;14962521;14962520;14710195;14522866;14522859;13679008;12857915;12828245;12828244;12793787;12793779;12733426;12631254;11998350;11862618;11852677;11833672;11798244;11719227;11585394;11556925;11501410;11444100;11259641;11214917;11189730;11119579;10850107;10488637;10472733;10023945;9737379;9670700;9633645;9333239;9329116;8598828;8618936;7917230;8137130;8343806;8270110;8270105;1348501
bubaline herpesvirus 1,Virus,bubalus bubalis,Domestic,2,0,33284770;33284772,
bucephalus minimus,Helminth,cerastoderma edule,Mollusca,1,0,115315689,
bucephalus minimus,Helminth,dicentrarchus labrax,Fish,1,0,156630674,
bucephalus minimus,Helminth,mugil cephalus,Fish,1,0,156630673,
bucephalus polymorphus,Helminth,dreissena polymorpha,Mollusca,11,0,33622334;33622335;33622336;33622337;34148818;34148819;34148820;34148821;34148822;34148823;34148824,
buchnera aphidicola,Bacteria,acyrthosiphon kondoi,Arthropod,3,0,256548852;256548856;256548860,
buchnera aphidicola,Bacteria,acyrthosiphon pisum,Arthropod,803,0,5658;854711;1081991;1929471;4186167;4190955;7707813;7707817;7799376;10957099;10957103;11138485;11320918;12657780;12657792;15616630;41393622;47118299;81681224;114215584;114215585;114215586;188532076;188532079;188532082;188532085;219621678;219624232;219681389;219681945;221329440;221329443;221329446;221329449;221329452;221329455;221329458;221329461;221329464;221329467;221329470;221329473;221329476;221329479;221329482;221329485;221329488;221329491;221329494;221329496;221329499;221329502;221329505;221329508;221329511;221329514;221329517;221329520;221329523;221329526;221329529;221329532;221329535;221329538;221329541;221329544;221329547;221329550;224465136;224465137;224473109;256548670;256548671;256548672;256548673;256548674;256548675;256548676;256548677;256548678;256548679;256548680;256548681;256548682;256548683;256548684;256548685;256548686;256548687;256548688;256548689;256548690;256548691;256548692;256548693;256548694;256548695;256548696;256548697;256548698,
buchnera aphidicola,Bacteria,anuraphis pyrilaseri,Arthropod,2,0,318054900;318055005,
buchnera aphidicola,Bacteria,aphidura bozhkoae,Arthropod,2,0,318054901;318055007,
buchnera aphidicola,Bacteria,aphis craccivora,Arthropod,4,0,100997892;126143268;156028379;156875957,
buchnera aphidicola,Bacteria,aphis fabae,Arthropod,2,0,41323686;50428434,
buchnera aphidicola,Bacteria,aphis gossypii,Arthropod,29,0,8977781;116834071;154551068;154551069;154551070;154551071;154551072;154551073;154551074;154551075;154551076;154551077;154551078;154551079;154551080;154551081;154551082;154551083;154551084;154551085;154551086;154551087;154551088;154551089;156028366;156028369;156028373;346720447;346720450,
buchnera aphidicola,Bacteria,aphis sambuci,Arthropod,1,0,167614187,
buchnera aphidicola,Bacteria,aulacorthum solani,Arthropod,1,0,3900923,
buchnera aphidicola,Bacteria,baizongia pistaciae,Arthropod,5,0,12657277;27904416;27904513;28076687;28191365,
buchnera aphidicola,Bacteria,brachycaudus amygdalinus,Arthropod,6,0,318054774;318054814;318054903;318054921;318055015;318055075,
buchnera aphidicola,Bacteria,brachycaudus bicolor,Arthropod,5,0,318054770;318054808;318054918;318055010;318055067,
buchnera aphidicola,Bacteria,brachycaudus cardui,Arthropod,6,0,318054796;318054816;318054913;318054922;318055051;318055078,
buchnera aphidicola,Bacteria,brachycaudus cerasicola,Arthropod,3,0,318054820;318054924;318055082,
buchnera aphidicola,Bacteria,brachycaudus helichrysi,Arthropod,15,0,318054778;318054780;318054792;318054798;318054826;318054905;318054906;318054912;318054914;318054928;318055021;318055024;318055045;318055054;318055094,
buchnera aphidicola,Bacteria,brachycaudus lychnidis,Arthropod,2,0,318054786;318055033,
buchnera aphidicola,Bacteria,brachycaudus persicae,Arthropod,3,0,318054776;318054904;318055018,
buchnera aphidicola,Bacteria,brachycaudus pilosus,Arthropod,3,0,318054824;318054927;318055089,
buchnera aphidicola,Bacteria,brachycaudus populi,Arthropod,6,0,318054772;318054788;318054902;318054909;318055013;318055036,
buchnera aphidicola,Bacteria,brachycaudus prunicola,Arthropod,15,0,318054790;318054812;318054818;318054822;318054828;318054910;318054920;318054923;318054925;318054930;318055039;318055072;318055081;318055084;318055099,
buchnera aphidicola,Bacteria,brachycaudus rumexicolens,Arthropod,3,0,318054806;318054926;318055086,
buchnera aphidicola,Bacteria,brachycaudus sedi,Arthropod,6,0,318054911;318054917;318054929;318055042;318055065;318055097,
buchnera aphidicola,Bacteria,brachycaudus spiraeae,Arthropod,7,0,318054800;318054802;318054915;318054916;318055057;318055060;318055091,
buchnera aphidicola,Bacteria,brachycaudus tragopogonis,Arthropod,9,0,318054782;318054784;318054810;318054907;318054908;318054919;318055027;318055030;318055070,
buchnera aphidicola,Bacteria,cinara cedri,Arthropod,9,0,41323034;52355656;58384651;58384662;116256804;116514950;169640987;193782969;219882535,
buchnera aphidicola,Bacteria,cinara cupressi,Arthropod,2,0,169640979;169640985,
buchnera aphidicola,Bacteria,cinara edulis,Arthropod,1,0,242397686,
buchnera aphidicola,Bacteria,cinara etsuhoe,Arthropod,1,0,242397684,
buchnera aphidicola,Bacteria,cinara glabra,Arthropod,1,0,242397687,
buchnera aphidicola,Bacteria,cinara juniperi,Arthropod,1,0,169640978,
buchnera aphidicola,Bacteria,cinara pinea,Arthropod,2,0,169640980;242397683,
buchnera aphidicola,Bacteria,cinara ponderosae,Arthropod,1,0,242397676,
buchnera aphidicola,Bacteria,cinara pseudotaxifoliae,Arthropod,1,0,242397681,
buchnera aphidicola,Bacteria,cinara terminalis,Arthropod,1,0,242397677,
buchnera aphidicola,Bacteria,cinara tujafilina,Arthropod,2,0,41323027;169640983,
buchnera aphidicola,Bacteria,cinara wahtolca,Arthropod,1,0,242397685,
buchnera aphidicola,Bacteria,diuraphis frequens,Arthropod,5,0,6606553;12246909;12246910;12246917;12246918,
buchnera aphidicola,Bacteria,diuraphis mexicana,Arthropod,4,0,6606555;12246913;12246916;260779854,
buchnera aphidicola,Bacteria,diuraphis noxia,Arthropod,70,0,2827004;3282736;3900926;6478242;6478248;6478260;6478272;6478275;6478289;6478310;6606557;10954454;12056569;12246903;12246904;12246905;12246906;12246907;12246908;28190294;28190298;28190304;28190310;28190316;30171297;30171299;30171301;30171303;32306473;167614193;260779823;260779825;260779827;260779829;260779831;260779833;260779835;260779837;260779839;260779841;260779843;260779844;260779845;260779846;260779847;260779848;260779849;260779850;260779851;260779852;260779855;260779863;260779871;260779879;260779887;260779895;260779903;260779911;260779919;260779927;260779935;260779937;260779939;260779941;260779944;260779946;260779948;260779950;260779952;260779954,
buchnera aphidicola,Bacteria,diuraphis tritici,Arthropod,4,0,6606559;12246911;12246915;260779853,
buchnera aphidicola,Bacteria,eriosoma lanigerum,Arthropod,1,0,89953649,
buchnera aphidicola,Bacteria,eriosoma lanuginosum,Arthropod,3,0,8977801;12657273;62083964,
buchnera aphidicola,Bacteria,lachnus roboris,Arthropod,3,0,8977807;12657281;242397700,
buchnera aphidicola,Bacteria,lachnus shiicola,Arthropod,1,0,242397703,
buchnera aphidicola,Bacteria,lachnus takahashii,Arthropod,1,0,242397701,
buchnera aphidicola,Bacteria,lachnus tropicalis,Arthropod,1,0,242397702,
buchnera aphidicola,Bacteria,macrosiphoniella ludovicianae,Arthropod,4,0,6467226;11138481;11138489;12657790,
buchnera aphidicola,Bacteria,macrosiphoniella tanacetaria,Arthropod,1,0,167614200,
buchnera aphidicola,Bacteria,macrosiphum rosae,Arthropod,1,0,8977783,
buchnera aphidicola,Bacteria,maculolachnus submacula,Arthropod,1,0,12657280,
buchnera aphidicola,Bacteria,melaphis rhois,Arthropod,17,0,854719;1081995;6478246;6478256;6478268;6478274;6478285;6478299;6478304;6478314;6492279;28190296;28190300;28190306;28190312;28190318;32306475,
buchnera aphidicola,Bacteria,metopolophium dirhodum,Arthropod,1,0,3900894,
buchnera aphidicola,Bacteria,mindarus kinseyi,Arthropod,1,0,6467228,
buchnera aphidicola,Bacteria,mordvilkoja vagabunda,Arthropod,2,0,28629571;28629606,
buchnera aphidicola,Bacteria,myzus persicae,Arthropod,24,0,854709;2754804;8977791;14030558;57670155;100997763;100997812;100997849;116834077;119394189;119394191;119394193;119394195;119394197;119637689;119637692;119637695;119637698;198401340;198401342;198401450;198401451;206585090;206585093,
buchnera aphidicola,Bacteria,nippolachnus piri,Arthropod,2,0,242397705;242397706,
buchnera aphidicola,Bacteria,panaphis juglandis,Arthropod,2,0,8977805;12657283,
buchnera aphidicola,Bacteria,pemphigus betae,Arthropod,3,0,6467230;28629544;28629588,
buchnera aphidicola,Bacteria,pemphigus bursarius,Arthropod,4,0,8977797;28629564;28629597;62083960,
buchnera aphidicola,Bacteria,pemphigus monophagus,Arthropod,2,0,28629549;28629591,
buchnera aphidicola,Bacteria,pemphigus obesinymphae,Arthropod,56,0,20530742;20530745;20530748;20530751;20530754;20530757;20530760;20530763;20530766;20530769;20530772;20530775;20530778;20530781;20530784;20530787;20530790;20530793;20530796;20530799;20530802;20530805;20530808;20530811;20530814;20530817;20530820;20563459;20563464;20563469;20563474;20563479;20563484;20563489;20563494;20563499;20563504;20563509;20563514;20563519;20563524;20563529;20563534;20563539;20563544;20563549;20563554;20563559;20563564;20563569;20563574;20563579;20563584;20563589;257042444;257042447,
buchnera aphidicola,Bacteria,pemphigus populi,Arthropod,1,0,12657275,
buchnera aphidicola,Bacteria,pemphigus populicaulis,Arthropod,2,0,28629559;28629600,
buchnera aphidicola,Bacteria,pemphigus populiramulorum,Arthropod,4,0,28629530;28629535;28629582;28629585,
buchnera aphidicola,Bacteria,pemphigus populitransversus,Arthropod,26,0,28629574;28629579;28630474;28630479;28630484;28630489;28630494;28630499;28630504;28630509;28630514;28630519;28630524;28630529;28630534;28630537;28630540;28630543;28630546;28630549;28630552;28630555;28630558;28630561;28630564;28630567,
buchnera aphidicola,Bacteria,pemphigus populivenae,Arthropod,2,0,28629554;28629594,
buchnera aphidicola,Bacteria,pemphigus spyrothecae,Arthropod,4,0,4160154;8977799;10443174;31982989,
buchnera aphidicola,Bacteria,pterocomma populeum,Arthropod,4,0,3900912;8977785;12657272;21425622,
buchnera aphidicola,Bacteria,rhopalosiphum cerasifoliae,Arthropod,2,0,3900901;71370406,
buchnera aphidicola,Bacteria,rhopalosiphum insertum,Arthropod,4,0,3900905;71370404;71370448;71370461,
buchnera aphidicola,Bacteria,rhopalosiphum maidis,Arthropod,7,0,854721;1081993;1081999;2827003;71370408;71370449;71370462,
buchnera aphidicola,Bacteria,rhopalosiphum nymphaeae,Arthropod,2,0,71370447;71370463,
buchnera aphidicola,Bacteria,rhopalosiphum padi,Arthropod,60,0,854715;899383;1081997;1082002;8977787;11320920;62083976;71370398;71370400;71370402;71370410;71370411;71370412;71370413;71370414;71370415;71370416;71370417;71370418;71370419;71370420;71370421;71370422;71370423;71370424;71370425;71370426;71370427;71370428;71370429;71370430;71370431;71370432;71370433;71370434;71370435;71370436;71370437;71370438;71370439;71370440;71370441;71370442;71370443;71370444;71370445;71370446;71370450;71370451;71370452;71370453;71370454;71370455;71370456;71370457;71370458;71370459;71370460;112005073;167614182,
buchnera aphidicola,Bacteria,schizaphis graminum,Arthropod,27,0,862628;868025;2827005;3282728;3900908;4038310;4186178;4321102;4378704;8977789;10954446;16903126;20517821;21672292;21672294;112004965;112004976;112004986;112004993;112005003;112005013;112005023;112005030;112005039;112005049;112005059;112005066,
buchnera aphidicola,Bacteria,schlechtendalia chinensis,Arthropod,14,0,854717;6478244;6478252;6478264;6478273;6478280;6478294;6478312;28190297;28190302;28190308;28190314;28190320;32306476,
buchnera aphidicola,Bacteria,sitobion avenae,Arthropod,1,0,116834080,
buchnera aphidicola,Bacteria,sitobion miscanthi,Arthropod,6,0,300087024;300087025;300087026;300087027;300087028;300087029,
buchnera aphidicola,Bacteria,stomaphis aphananthae,Arthropod,1,0,242397688,
buchnera aphidicola,Bacteria,stomaphis fagi,Arthropod,1,0,242397694,
buchnera aphidicola,Bacteria,stomaphis longirostris,Arthropod,1,0,242397699,
buchnera aphidicola,Bacteria,stomaphis pini,Arthropod,1,0,242397696,
buchnera aphidicola,Bacteria,stomaphis quercus,Arthropod,3,0,12657278;242397697;242397698,
buchnera aphidicola,Bacteria,stomaphis takahashii,Arthropod,1,0,242397693,
buchnera aphidicola,Bacteria,stomaphis yanonis,Arthropod,1,0,242397690,
buchnera aphidicola,Bacteria,tetraneura caerulescens,Arthropod,5,0,2239043;2239045;4160151;12657274;21425624,
buchnera aphidicola,Bacteria,tetraneura ulmi,Arthropod,1,0,62083962,
buchnera aphidicola,Bacteria,thecabius populimonilis,Arthropod,2,0,28629567;28629609,
buchnera aphidicola,Bacteria,thelaxes suberi,Arthropod,5,0,2239044;2239048;8977795;12657282;21425626,
buchnera aphidicola,Bacteria,tuberolachnus salignus,Arthropod,7,0,8977809;10443177;12657279;21425628;67866967;75109671;270208709,
buchnera aphidicola,Bacteria,uroleucon aeneum,Arthropod,4,0,6467232;11138477;11138492;11320898,
buchnera aphidicola,Bacteria,uroleucon ambrosiae,Arthropod,119,0,6467234;11138473;11138495;11320896;12657772;12657782;13398062;13398064;13398066;13398068;13398070;13398071;13398073;13398075;13398077;13398079;13398081;13398083;13398085;13398087;13398089;13398091;13398092;13398094;13398096;13398098;13398100;13398102;13398104;13398106;13398107;13398108;13398111;13398113;13398116;13398118;13398121;13398124;13398127;13398130;13398133;13398136;13398139;13398142;13398145;13398148;13398151;13398154;13398157;13398160;13398163;13398166;13398169;13398172;13398175;13398178;13398180;13398182;13398184;13398186;13398188;13398190;13398192;13398194;13398196;13398198;13398200;13398202;13398204;13398206;13398208;13398210;13398212;13398214;13398216;13398218;13398220;13398223;13398226;13398229;13398232;13398235;13398238;13398241;13398244;13398247;13398250;13398253;13398256;13398259;13398262;13398265;13398268;13398271;13398274;13398277;13398280;38491419;38491421;38491423,
buchnera aphidicola,Bacteria,uroleucon astronomus,Arthropod,4,0,6467236;11138498;11320894;38532111,
buchnera aphidicola,Bacteria,uroleucon caligatum,Arthropod,4,0,8954221;11138469;11320912;38532113,
buchnera aphidicola,Bacteria,uroleucon erigeronensis,Arthropod,5,0,8995999;11138465;11320914;12657778;12657788,
buchnera aphidicola,Bacteria,uroleucon escalantii,Arthropod,1,0,158833925,
buchnera aphidicola,Bacteria,uroleucon helianthicola,Arthropod,5,0,6467238;11138461;11138501;11320908;38532115,
buchnera aphidicola,Bacteria,uroleucon jaceae,Arthropod,4,0,6467240;11138504;11320900;38532117,
buchnera aphidicola,Bacteria,uroleucon jaceicola,Arthropod,1,0,6467242,
buchnera aphidicola,Bacteria,uroleucon nigrotuberculatum,Arthropod,1,0,158833927,
buchnera aphidicola,Bacteria,uroleucon obscurum,Arthropod,5,0,6467244;11138457;11141361;11320906;38532119,
buchnera aphidicola,Bacteria,uroleucon pieloui,Arthropod,1,0,158833931,
buchnera aphidicola,Bacteria,uroleucon rapunculoidis,Arthropod,2,0,6467246;38532121,
buchnera aphidicola,Bacteria,uroleucon reynoldense,Arthropod,1,0,158833929,
buchnera aphidicola,Bacteria,uroleucon rudbeckiae,Arthropod,5,0,6467248;11138507;11141357;11320892;38532123,
buchnera aphidicola,Bacteria,uroleucon rurale,Arthropod,8,0,8995997;11141355;11320910;12407340;12407341;12657776;12657786;38570327,
buchnera aphidicola,Bacteria,uroleucon solidaginis,Arthropod,4,0,6467250;11138453;11320902;38532125,
buchnera aphidicola,Bacteria,uroleucon sonchi,Arthropod,8,0,3900897;8996020;8996022;11138449;11320904;12657774;12657784;38532127,
buchnera aphidicola,Bacteria,yamatocallis hirayamae,Arthropod,2,0,17933023;17933029,
buddenbrockia plumatellae,Cnidaria,cristatella mucedo,Bryozoa,5,0,5702016;5834813;68655305;68655308;68655311,
buddenbrockia plumatellae,Cnidaria,phoxinus phoxinus,Fish,1,0,254681336,
buddenbrockia plumatellae,Cnidaria,plumatella fungosa,Bryozoa,2,0,237512523;237512524,
buddenbrockia plumatellae,Cnidaria,plumatella repens,Bryozoa,1,0,254681334,
budgerigar fledgling disease polyomavirus,Virus,agapornis personata,Domestic,28,0,3510816;3510819;3510829;3510830;3510834;3510840;3510860;3510862;3510868;3510874;3510894;3510896;3510901;3510904;3510913;3510914;3510918;3510924;3510944;3510946;3510952;3510958;3510974;3510976;3510982;3510988;3511008;3511010,
budgerigar fledgling disease polyomavirus,Virus,amazona arausiaca,Aves,1,0,83779045,
budgerigar fledgling disease polyomavirus,Virus,aratinga acuticaudata,Aves,4,0,3510827;3510856;3510911;3511004,
budgerigar fledgling disease polyomavirus,Virus,aratinga solstitialis,Aves,7,0,3510821;3510844;3510878;3510906;3510928;3510962;3510992,
budgerigar fledgling disease polyomavirus,Virus,cacatua moluccensis,Aves,7,0,3510815;3510832;3510866;3510900;3510916;3510950;3510980,
budgerigar fledgling disease polyomavirus,Virus,caprimulgus europaeus,Aves,2,0,167989387;167989389,
budgerigar fledgling disease polyomavirus,Virus,eclectus roratus,Aves,14,0,3510818;3510828;3510838;3510858;3510872;3510892;3510903;3510912;3510922;3510942;3510956;3510972;3510986;3511006,
budgerigar fledgling disease polyomavirus,Virus,eos bornea,Aves,3,0,3510823;3510932;3510966,
budgerigar fledgling disease polyomavirus,Virus,melopsittacus undulatus,Domestic,35,8,3510824;3510825;3510826;3510846;3510850;3510852;3510854;3510880;3510884;3510886;3510888;3510890;3510907;3510909;3510910;3510930;3510934;3510936;3510938;3510940;3510964;3510968;3510970;3510994;3510998;3511000;3511002;3511035;3511036;46520131;57634603;68005421;68005449;148879773;285028671,7844527;10644834;15752264;20127375;19329136;10595409;8879141;8228865
budgerigar fledgling disease polyomavirus,Virus,primolius auricollis,Aves,7,0,3510820;3510842;3510876;3510905;3510926;3510960;3510990,
budgerigar fledgling disease polyomavirus,Virus,psittacula echo,Aves,4,0,3510848;3510882;3510908;3510996,
budgerigar fledgling disease polyomavirus,Virus,pteroglossus viridis,Aves,1,0,4838332,
budgerigar fledgling disease polyomavirus,Virus,pyrrhura molinae,Aves,7,0,3510817;3510836;3510870;3510902;3510920;3510954;3510984,
budvicia aquatica,Bacteria,salmo trutta,Fish,1,0,77548218,
buffalopox virus,Virus,bos taurus,Domestic,14,3,321440757;321440769;321440775;326653911;326653923;326653929;346682493;346682497;385246976;385246984;385246992;385247000;346682496;346682492,16360017;17692147;19956986
buffalopox virus,Virus,bubalus bubalis,Domestic,1,1,38322942,16360017
buffalopox virus,Virus,homo sapiens,Human,58,2,237690223;237690225;237690227;237690229;237690231;237690233;237690235;237690237;237690239;237690240;237690241;237690243;237690245;237690247;268549228;268549240;268549244;268549246;282721754;282721756;282721758;282721760;282721762;282721764;282721768;282721770;282721772;282721774;282721776;282721778;282721780;282721782;282721784;282721786;282721788;282721790;282721792;282721794;308225026;346682489;346682495;350263712;350263713;350263714;350263715;350263716;350263717;350263718;350263719;350263720;385246972;385246980;385246988;385246996;385247257;346682494;346682488;385140559,19956986;21731308
bulbocirrus aulostomi,Helminth,aulostomus chinensis,Fish,2,0,261291345;262285158,
bulleidia extructa,Bacteria,homo sapiens,Human,10,0,285179425;285179427;285179429;285179431;285179433;285179437;285179439;285179441;285179443;285179445,
bunocotyle progenetica,Helminth,hydrobia ulvae,Mollusca,2,0,86211253;86211257,
