"Original","Submitted","Accepted_name","Selected_family","Selected_order","Selected_class","Synonyms"
"tscherskia triton","Tscherskia triton","Tscherskia triton","Cricetidae","Rodentia","Mammalia","Cricetulus triton collinus"
"tscherskia triton","Tscherskia triton","Tscherskia triton","Cricetidae","Rodentia","Mammalia","Cricetulus triton fuscipes"
"tscherskia triton","Tscherskia triton","Tscherskia triton","Cricetidae","Rodentia","Mammalia","Cricetulus triton incanus"
"tscherskia triton","Tscherskia triton","Tscherskia triton","Cricetidae","Rodentia","Mammalia","Cricetulus triton meihsienensis"
"tscherskia triton","Tscherskia triton","Tscherskia triton","Cricetidae","Rodentia","Mammalia","Cricetulus triton ningshaanensis"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus barclayanus"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus blythianus"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus daccaensis"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus dubius"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Nesokia gracilis"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus kok"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Gunomys lordi"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus morungensis"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus plurimammis"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus providens"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Gunomys sindicus"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Mus tarayensis"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Gunomys varillus"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Gunomys varius"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Gunomys wardi"
"bandicota bengalensis","Bandicota bengalensis","Bandicota bengalensis","Muridae","Rodentia","Mammalia","Gunomys kok insularis"
"apodemus peninsulae","Apodemus peninsulae","Apodemus peninsulae","Muridae","Rodentia","Mammalia","Apodemus nigritalus"
"apodemus peninsulae","Apodemus peninsulae","Apodemus peninsulae","Muridae","Rodentia","Mammalia","Apodemus praetor"
"apodemus peninsulae","Apodemus peninsulae","Apodemus peninsulae","Muridae","Rodentia","Mammalia","Mus tscherga"
"apodemus peninsulae","Apodemus peninsulae","Apodemus peninsulae","Muridae","Rodentia","Mammalia","Micromys speciosus giliacus"
"apodemus peninsulae","Apodemus peninsulae","Apodemus peninsulae","Muridae","Rodentia","Mammalia","Mus sylvaticus major"
