"HostSpecies.new"
"Aotus trivirgatus"
"Homo sapiens"
"Papio ursinus"
"Chlorocebus aethiops"
"Mandrillus leucophaeus"
"Homo sapiens"
"Macaca fascicularis"
"Macaca mulatta"
"Pan troglodytes"
"Homo sapiens"
"Papio ursinus"
"Saimiri sciureus"
"Callithrix jacchus"
"Gorilla gorilla"
"Chlorocebus pygerythrus"
"Macaca fascicularis"
"Macaca radiata"
"Macaca cyclopis"
"Gorilla gorilla"
"Hylobates lar"
"Macaca mulatta"
"Pan troglodytes"
"Homo sapiens"
"Felis catus"
"Macaca mulatta"
"Pan troglodytes"
"Papio hamadryas"
"Bison bison"
"Bos frontalis"
"Bos grunniens"
"Bos taurus"
"Connochaetes gnou"
"Hippotragus equinus"
"Kobus ellipsiprymnus"
"Litocranius walleri"
"Oryx dammah"
"Oryx gazella"
"Ovibos moschatus"
"Ovis aries musimon"
"Tragelaphus spekii"
"Tragelaphus strepsiceros"
"Bos javanicus"
"Cephalophus rufilatus"
"Kobus megaceros"
"Cervus nippon"
"Hydropotes inermis"
"Axis porcinus"
"Elaphurus davidianus"
"Rucervus duvaucelii"
"Connochaetes taurinus"
"Syncerus caffer"
"Cervus elaphus"
"Alcelaphus buselaphus"
"Damaliscus lunatus"
"Damaliscus lunatus korrigum"
"Bison bison"
"Bos taurus"
"Bubalus bubalis"
"Capra ibex"
"Bos javanicus"
"Rusa alfredi"
"Alces alces"
"Capreolus capreolus"
"Bubalus bubalis"
"Capra hircus"
"Cervus nippon"
"Odocoileus virginianus"
"Hippotragus equinus"
"Bos frontalis"
"Bison bonasus"
"Cervus nippon"
"Rusa alfredi"
"Rusa unicolor"
"Ovis dalli"
"Alces alces"
"Capreolus capreolus"
"Odocoileus hemionus"
"Bison bison"
"Bos grunniens"
"Bos taurus"
"Bubalus bubalis"
"Capra hircus"
"Hippotragus equinus"
"Kobus ellipsiprymnus"
"Oryx dammah"
"Oryx gazella"
"Ovibos moschatus"
"Ovis aries"
"Tragelaphus spekii"
"Tragelaphus strepsiceros"
"Bos javanicus"
"Kobus megaceros"
"Axis axis"
"Muntiacus reevesi"
"Odocoileus virginianus"
"Rusa timorensis"
"Axis porcinus"
"Elaphurus davidianus"
"Mazama gouazoupira"
"Rucervus duvaucelii"
"Sus scrofa domesticus"
"Equus caballus"
"Syncerus caffer"
"Cervus elaphus"
"Sus scrofa domesticus"
"Sus scrofa domesticus"
"Sus scrofa domesticus"
"Homo sapiens"
"Sarcophilus harrisii"
"Microtus arvalis"
"Apodemus flavicollis"
"Apodemus sylvaticus"
"Mus cervicolor"
"Sciurus carolinensis"
"Mus musculus"
"Apodemus flavicollis"
"Apodemus sylvaticus"
"Bandicota indica"
"Rattus norvegicus"
"Rattus rattus"
"Rattus exulans"
"Rattus tiomanicus"
"Rattus norvegicus"
"Equus caballus"
"Equus asinus somalicus"
"Equus grevyi"
"Equus kiang"
"Equus przewalskii"
"Equus burchellii chapmani"
"Equus zebra"
"Equus caballus"
"Equus zebra"
"Equus asinus somalicus"
"Equus grevyi"
"Equus kiang"
"Equus przewalskii"
"Equus burchellii chapmani"
"Meles meles"
"Loxodonta africana"
"Elephas maximus"
"Ateles paniscus"
"Ateles geoffroyi"
"Aotus trivirgatus"
"Ateles paniscus"
"Saimiri sciureus"
"Panthera leo"
"Syncerus caffer"
"Babyrousa babyrussa"
"Felis catus"
"Bison bison"
"Bos taurus"
"Ovis aries"
"Oligoryzomys microtis"
"Chlorocebus aethiops"
"Macaca mulatta"
"Macaca nemestrina"
"Nomascus leucogenys"
"Homo sapiens"
"Gorilla gorilla"
"Pan troglodytes"
"Chlorocebus aethiops"
"Macaca nemestrina"
"Papio hamadryas"
"Mandrillus leucophaeus"
"Macaca mulatta"
"Microtus agrestis"
"Myodes glareolus"
"Apodemus agrarius"
"Apodemus flavicollis"
"Apodemus sylvaticus"
"Bandicota indica"
"Rattus tiomanicus"
"Mus musculus"
"Crocidura russula"
"Myodes glareolus"
"Apodemus sylvaticus"
"Homo sapiens"
"Aotus trivirgatus"
"Saimiri sciureus"
"Homo sapiens"
"Homo sapiens"
"Homo sapiens"
"Ateles geoffroyi"
"Bos taurus"
"Chlorocebus pygerythrus"
"Papio ursinus"
"Aotus trivirgatus"
"Pan troglodytes"
"Homo sapiens"
"Callithrix penicillata"
"Atelerix albiventris"
"Oryctolagus cuniculus"
"Callithrix jacchus"
"Gorilla gorilla"
"Gorilla beringei graueri"
"Hylobates lar"
