Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
bovine mastadenovirus a,bovine adenovirus a,FALSE,bovine adenovirus a,
bovine mastadenovirus b,bovine adenovirus b,FALSE,bovine adenovirus b,
bovine mastadenovirus c,bovine adenovirus c,FALSE,bovine adenovirus c,
bovine papular stomatitis,,TRUE,bovine papular stomatitis,
bovine parainfluenza virus 3,bovine parainfluenza virus type 3; bovine parainfluenza 3 virus,TRUE,bovine parainfluenza virus 3,
bovine respiratory syncytial,brs; bovine respiratory syncytial virus brsv; bovine rsv,TRUE,bovine respiratory syncytial,
bovine rhinitis a,,FALSE,bovine rhinitis a,
bovine rhinitis b,bovine rhinovirus type 2; bovine rhinovirus 2,TRUE,bovine rhinitis b,
bovine torovirus,,TRUE,bovine torovirus,
bovine viral diarrhea virus 1,"pestivirus type 1; mucosal disease virus; bovine viral diarrhea virus, etc.",TRUE,bovine viral diarrhea virus 1,
bovine viral diarrhea virus 2,"pestivirus type 4; bovine viral diarrhea virus type ii; bovine viral diarrhea virus-2, etc.",TRUE,bovine viral diarrhea virus 2,
bubaline alphaherpesvirus 1,bubaline herpesvirus 1,FALSE,bubaline herpesvirus 1,
bujaru phlebovirus,,FALSE,bujaru,
bukalasa bat,,TRUE,bukalasa bat,
bundibugyo ebolavirus,bundibugyo virus; ebolavirus bundibugyo,FALSE,bundibugyo ebolavirus,
bunyamwera orthobunyavirus,bunyamwera virus,FALSE,bunyamwera,
bushbush orthobunyavirus,,FALSE,bushbush,
bwamba orthobunyavirus,bwamba virus; bwamba bunyavirus group; 5-bwamba virus group,FALSE,bwamba,
cabassou,,TRUE,cabassou,
cacipacore,,TRUE,cacipacore,
california encephalitis orthobunyavirus,california encephalitis virus,FALSE,california encephalitis,
callitrichine gammaherpesvirus 3,calhv-3; marmoset lymphocryptovirus; callitrichine herpesvirus 3,FALSE,callitrichine herpesvirus 3,
camelpox,,TRUE,camelpox,
candiru phlebovirus,,FALSE,candiru,
canid alphaherpesvirus 1,"canine herpesvirus 1; canid herpesvirus 1; canine herpesvirus chv, etc.",FALSE,canid herpesvirus 1,
