"Parasite","Host","DetectionMethod","DetectionQuality","Citation","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","Year","YearType","ParasiteType","Database","PathogenName_Harmonised","PathogenType","HumanInfective_External","IsZoonotic","DiseaseAgent","Disease_GIDEON","Route_GIDEON","HumanInfective_Any"
"andes","abrothrix longipilis","PCR",2,"Medina et al. 2009","rodentia","cricetidae","abrothrix","longipilis","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"andes","abrothrix olivaceus","Antibodies",0,"Sosa-Estani et al. 2002","rodentia","cricetidae","abrothrix","olivaceus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2002,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"andes","abrothrix sanborni","Antibodies",0,"Padula et al. 2004","rodentia","cricetidae","abrothrix","sanborni","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"african horse sickness","acinonyx jubatus","bcELISA",0,"Alexander et al. 1995","carnivora","felidae","acinonyx","jubatus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","african horse sickness","virus",0,0,0,NA,NA,0
"bluetongue","acinonyx jubatus","Antibodies",0,"Alexander et al. 1994","carnivora","felidae","acinonyx","jubatus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1994,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"feline astrovirus","acinonyx jubatus","PCR",2,"Atkins at al. 2009","carnivora","felidae","acinonyx","jubatus","unassigned","astroviridae",NA,"mamastrovirus","SS","RNA","non-enveloped",FALSE,TRUE,6696.5,0,0,0,2009,"ScientificPublicationDate_Earliest","virus","HP3","feline astrovirus","virus",0,0,0,NA,NA,0
"feline calicivirus","acinonyx jubatus","Antibodies",0,"Munson et al. 2004","carnivora","felidae","acinonyx","jubatus","unassigned","caliciviridae",NA,"vesivirus","SS","RNA","non-enveloped",FALSE,TRUE,7683,0,0,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","feline calicivirus","virus",0,0,0,NA,NA,0
"feline coronavirus","acinonyx jubatus","Antibodies",0,"Hofmann-Lehmann et al. 1996","carnivora","felidae","acinonyx","jubatus","nidovirales","coronaviridae",NA,"coronavirus","SS","RNA","enveloped",FALSE,TRUE,30000,0,0,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","feline coronavirus","virus",0,0,0,NA,NA,0
"rabies","acinonyx jubatus","Antibodies",0,"Thalwitzer et al. 2010","carnivora","felidae","acinonyx","jubatus","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
"akabane","aepyceros melampus","Antibodies",0,"Davies et al. 1985","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12035,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","akabane","virus",0,0,0,NA,NA,0
"alcelaphine herpesvirus 2","aepyceros melampus","Antibodies",0,"Reid et al. 1973","cetartiodactyla","bovidae","aepyceros","melampus","herpesvirales","herpesviridae","gammaherpesvirinae","rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,1973,"ScientificPublicationDate_Earliest","virus","HP3","alcelaphine herpesvirus 2","virus",0,0,0,NA,NA,0
"bluetongue","aepyceros melampus","Antibodies",0,"Karesh et al. 1997","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1997,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"bovine viral diarrhea virus 1","aepyceros melampus","SNT",1,"Hamblin and Hedger 1979","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","flaviviridae",NA,"pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1979,"ScientificPublicationDate_Earliest","virus","HP3","bovine viral diarrhea virus 1","virus",0,0,0,NA,NA,0
"crimean-congo hemorrhagic fever","aepyceros melampus","Antibodies",0,"Shepherd et al. 1987","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","crimean-congo hemorrhagic fever","virus",1,1,1,"crimean-congo hemorrhagic fever","vector, direct",1
"foot-and-mouth disease","aepyceros melampus","Antibodies",0,"Hamblin et al. 1990","cetartiodactyla","bovidae","aepyceros","melampus","picornavirales","picornaviridae",NA,"aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1990,"ScientificPublicationDate_Earliest","virus","HP3","foot-and-mouth disease","virus",1,1,0,NA,NA,1
"lumpy skin disease","aepyceros melampus","Antibodies",0,"Hedger et al. 1983","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","poxviridae","chordopoxvirinae","capripoxvirus","DS","DNA","enveloped",FALSE,TRUE,150773,0,0,0,1983,"ScientificPublicationDate_Earliest","virus","HP3","lumpy skin disease","virus",0,0,0,NA,NA,0
"rift valley fever","aepyceros melampus","Antibodies",0,"Anderson & Rowe 1998; Capobianco Dondona 2016","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,1998,"ScientificPublicationDate_Earliest","virus","HP3","rift valley","virus",1,1,1,"rift valley fever","vector, direct",1
"rinderpest","aepyceros melampus","Antibodies",0,"Rutebarika et al. 2005","cetartiodactyla","bovidae","aepyceros","melampus","mononegavirales","paramyxoviridae","paramyxovirinae","morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15882,0,0,0,2005,"ScientificPublicationDate_Earliest","virus","HP3","rinderpest","virus",0,0,0,NA,NA,0
"witwatersrand","aethomys kaiseri","Antibodies",0,"Henderson et al. 1972","rodentia","muridae","aethomys","kaiseri","unassigned","bunyaviridae",NA,"unassigned","SS","RNA","enveloped",TRUE,TRUE,12251,0,0,0,1972,"ScientificPublicationDate_Earliest","virus","HP3","witwatersrand","virus",0,0,0,NA,NA,0
"crimean-congo hemorrhagic fever","aethomys namaquensis","Antibodies",0,"Shepherd et al. 1987","rodentia","muridae","aethomys","namaquensis","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","crimean-congo hemorrhagic fever","virus",1,1,1,"crimean-congo hemorrhagic fever","vector, direct",1
"rift valley fever","aethomys namaquensis","Antibodies",0,"Pretorius et al. 1997","rodentia","muridae","aethomys","namaquensis","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,1997,"ScientificPublicationDate_Earliest","virus","HP3","rift valley","virus",1,1,1,"rift valley fever","vector, direct",1
"andes","akodon azarae","IFA",0,"Chu et al. 2003","rodentia","cricetidae","akodon","azarae","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"junin","akodon azarae","Isolation",2,"Gonzalez et al. 2007","rodentia","cricetidae","akodon","azarae","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10525,0,1,1,2007,"ScientificPublicationDate_Earliest","virus","HP3","junin","virus",1,1,1,"argentine haemorrhagic fever","direct, food, water",1
"pixuna","akodon azarae","Isolation",2,"Pisano et al. 2014","rodentia","cricetidae","akodon","azarae","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11344,0,1,0,2014,"ScientificPublicationDate_Earliest","virus","HP3","pixuna","virus",0,1,1,"venezuelan equine encephalitis-related","vector",1
"andes","akodon montensis","PCR",2,"Chu et al. 2003","rodentia","cricetidae","akodon","montensis","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"st. louis encephalitis","akodon montensis","Isolation",2,NA,"rodentia","cricetidae","akodon","montensis","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,NA,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"andes","akodon paranaensis","Antibodies",0,"de Oliveira et al. 2011","rodentia","cricetidae","akodon","paranaensis","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2011,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"laguna negra","akodon simulator","PCR",2,"Levis et al. 2004","rodentia","cricetidae","akodon","simulator","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","laguna negra","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"andes","akodon varius","Antibodies",0,"Sosa-Estani et al. 2002","rodentia","cricetidae","akodon","varius","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2002,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"akabane","alcelaphus buselaphus","Antibodies",0,"Davies et al. 1985","cetartiodactyla","bovidae","alcelaphus","buselaphus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12035,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","akabane","virus",0,0,0,NA,NA,0
"alcelaphine herpesvirus 2","alcelaphus buselaphus","Isolation",2,"Reid et al. 1973","cetartiodactyla","bovidae","alcelaphus","buselaphus","herpesvirales","herpesviridae","gammaherpesvirinae","rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,1973,"ScientificPublicationDate_Earliest","virus","HP3","alcelaphine herpesvirus 2","virus",0,0,0,NA,NA,0
"bluetongue","alcelaphus buselaphus","Antibodies",0,"Hamblin et al.","cetartiodactyla","bovidae","alcelaphus","buselaphus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,NA,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"bovine viral diarrhea virus 1","alcelaphus buselaphus","SNT",1,"Hamblin & Hedger 1979","cetartiodactyla","bovidae","alcelaphus","buselaphus","unassigned","flaviviridae",NA,"pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1979,"ScientificPublicationDate_Earliest","virus","HP3","bovine viral diarrhea virus 1","virus",0,0,0,NA,NA,0
"crimean-congo hemorrhagic fever","alcelaphus buselaphus","Antibodies",0,"Shepherd et al. 1987","cetartiodactyla","bovidae","alcelaphus","buselaphus","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","crimean-congo hemorrhagic fever","virus",1,1,1,"crimean-congo hemorrhagic fever","vector, direct",1
"foot-and-mouth disease","alcelaphus buselaphus","Antibodies",0,"Ayebazibwe et al. 2010a in Weaver & Karesh 2013","cetartiodactyla","bovidae","alcelaphus","buselaphus","picornavirales","picornaviridae",NA,"aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","foot-and-mouth disease","virus",1,1,0,NA,NA,1
"ovine herpesvirus 2","alcelaphus buselaphus","VNT",1,"Reid et al. 1975","cetartiodactyla","bovidae","alcelaphus","buselaphus","herpesvirales","herpesviridae","gammaherpesvirinae","rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135135,0,0,0,1975,"ScientificPublicationDate_Earliest","virus","HP3","ovine herpesvirus 2","virus",0,0,0,NA,NA,0
"bovine herpesvirus 1","alces alces","VNT",1,"Kocan et al. 1986","cetartiodactyla","cervidae","alces","alces","herpesvirales","herpesviridae","alphaherpesvirinae","varicellovirus","DS","DNA","enveloped",FALSE,FALSE,140000,0,0,0,1986,"ScientificPublicationDate_Earliest","virus","HP3","bovine herpesvirus 1","virus",0,0,0,NA,NA,0
"bovine viral diarrhea virus 1","alces alces","Antibodies",0,"Thorsen and Henderson 1971","cetartiodactyla","cervidae","alces","alces","unassigned","flaviviridae",NA,"pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1971,"ScientificPublicationDate_Earliest","virus","HP3","bovine viral diarrhea virus 1","virus",0,0,0,NA,NA,0
"european elk papillomavirus","alces alces","Isolation",2,"Moreno-Lopez et al. 1986","cetartiodactyla","cervidae","alces","alces","unassigned","papillomaviridae",NA,"deltapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8095,0,0,0,1986,"ScientificPublicationDate_Earliest","virus","HP3","european elk papillomavirus","virus",0,0,0,NA,NA,0
"ovine herpesvirus 2","alces alces","PCR",2,"Vikoren et al. 2006","cetartiodactyla","cervidae","alces","alces","herpesvirales","herpesviridae","gammaherpesvirinae","rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135135,0,0,0,2006,"ScientificPublicationDate_Earliest","virus","HP3","ovine herpesvirus 2","virus",0,0,0,NA,NA,0
"st. louis encephalitis","alces alces","Antibodies",0,"Trainer et al. 1971","cetartiodactyla","cervidae","alces","alces","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1971,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"simian foamy","allenopithecus nigroviridis","PCR",2,"Schweizer et al. 1995","primates","cercopithecidae","allenopithecus","nigroviridis","unassigned","retroviridae","spumaretrovirinae","spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,1995,"ScientificPublicationDate_Earliest","virus","HP3","simian foamy","virus",0,0,0,NA,NA,1
"rabies","alopex lagopus","PCR",2,"Kuzmin et al. 2004","carnivora","canidae","alopex","lagopus","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
"st. louis encephalitis","alouatta caraya","Antibodies",0,"Contigiani al. 2000","primates","atelidae","alouatta","caraya","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,2000,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"una","alouatta caraya","Antibodies",0,"Diaz et al. 2003","primates","atelidae","alouatta","caraya","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11700,0,1,0,2003,"ScientificPublicationDate_Earliest","virus","HP3","una","virus",0,1,1,"mayaro-related alphaviral infection","vector",1
"yellow fever","alouatta caraya","Antibodies",0,"Vasconcelos et al. 2003","primates","atelidae","alouatta","caraya","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","yellow fever","virus",1,1,1,"yellow fever","vector, fluids",1
"vesicular stomatitis indiana","alouatta palliata","Antibodies",0,"Nisbett 2003","primates","atelidae","alouatta","palliata","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,2003,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"yellow fever","alouatta palliata","Antibodies",0,"Galindo & Srihongse 1967","primates","atelidae","alouatta","palliata","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1967,"ScientificPublicationDate_Earliest","virus","HP3","yellow fever","virus",1,1,1,"yellow fever","vector, fluids",1
"st. louis encephalitis","alouatta pigra","Antibodies",0,"Seymour et al. 1989","primates","atelidae","alouatta","pigra","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1989,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"vesicular stomatitis indiana","alouatta pigra","plaque reduction neutralization",1,"Tesh et al. 1969","primates","atelidae","alouatta","pigra","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1969,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"mayaro","alouatta seniculus","Antibodies",0,"de Thoisy et al. 2003","primates","atelidae","alouatta","seniculus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11411,0,1,0,2003,"ScientificPublicationDate_Earliest","virus","HP3","mayaro","virus",1,1,1,"mayaro","vector",1
"modoc","ammospermophilus nelsoni","Antibodies",0,"Hardy et al. 1974","rodentia","sciuridae","ammospermophilus","nelsoni","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10600,0,1,0,1974,"ScientificPublicationDate_Earliest","virus","HP3","modoc","virus",0,1,1,"viral encephalitis (st. louis-related)","vector",1
"st. louis encephalitis","ammospermophilus nelsoni","Antibodies",0,"Hardy et al. 1974","rodentia","sciuridae","ammospermophilus","nelsoni","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1974,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"western equine encephalitis","ammospermophilus nelsoni","Isolation",2,"Hardy et al. 1974","rodentia","sciuridae","ammospermophilus","nelsoni","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11000,0,1,1,1974,"ScientificPublicationDate_Earliest","virus","HP3","western equine encephalitis","virus",1,1,1,"western equine encephalitis","vector",1
"bluetongue","ammotragus lervia","Antibodies",0,"Ruiz-Fons et al. 2008","cetartiodactyla","bovidae","ammotragus","lervia","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2008,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"bovine herpesvirus 1","ammotragus lervia","CF",0,"Hampy et al. 1979","cetartiodactyla","bovidae","ammotragus","lervia","herpesvirales","herpesviridae","alphaherpesvirinae","varicellovirus","DS","DNA","enveloped",FALSE,FALSE,140000,0,0,0,1979,"ScientificPublicationDate_Earliest","virus","HP3","bovine herpesvirus 1","virus",0,0,0,NA,NA,0
"bimiti","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12102,0,0,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","bimiti","virus",0,0,0,NA,NA,0
"catu","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12024,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","catu","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"dengue","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","dengue","virus",1,1,1,"dengue","vector, direct",1
"guama","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","guama","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"ilheus","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","ilheus","virus",1,1,1,"ilheus","vector",1
"rio bravo","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10140,0,1,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","rio bravo","virus",1,1,1,"viral encephalitis (st. louis-related)","vector",1
"st. louis encephalitis","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"tamana bat","anoura geoffroyi","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","anoura","geoffroyi","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10428,0,0,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","tamana bat","virus",0,0,0,NA,NA,0
"bovine viral diarrhea virus 1","antidorcas marsupialis","SNT",1,"Hamblin and Hedger 1979","cetartiodactyla","bovidae","antidorcas","marsupialis","unassigned","flaviviridae",NA,"pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1979,"ScientificPublicationDate_Earliest","virus","HP3","bovine viral diarrhea virus 1","virus",0,0,0,NA,NA,0
"crimean-congo hemorrhagic fever","antidorcas marsupialis","Antibodies",0,"Shepherd et al. 1987","cetartiodactyla","bovidae","antidorcas","marsupialis","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","crimean-congo hemorrhagic fever","virus",1,1,1,"crimean-congo hemorrhagic fever","vector, direct",1
"foot-and-mouth disease","antidorcas marsupialis","Antibodies",0,"Falconer & Child 1975 in Weaver & Karesh 2013","cetartiodactyla","bovidae","antidorcas","marsupialis","picornavirales","picornaviridae",NA,"aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1975,"ScientificPublicationDate_Earliest","virus","HP3","foot-and-mouth disease","virus",1,1,0,NA,NA,1
"lumpy skin disease","antidorcas marsupialis","Antibodies",0,"Hedger et al. 1983","cetartiodactyla","bovidae","antidorcas","marsupialis","unassigned","poxviridae","chordopoxvirinae","capripoxvirus","DS","DNA","enveloped",FALSE,TRUE,150773,0,0,0,1983,"ScientificPublicationDate_Earliest","virus","HP3","lumpy skin disease","virus",0,0,0,NA,NA,0
"rift valley fever","antidorcas marsupialis","PCR",2,"Capobianco Dondona 2016","cetartiodactyla","bovidae","antidorcas","marsupialis","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,2016,"ScientificPublicationDate_Earliest","virus","HP3","rift valley","virus",1,1,1,"rift valley fever","vector, direct",1
"bluetongue","antilocapra americana","Antibodies",0,"Dubay et al. 2006","cetartiodactyla","antilocapridae","antilocapra","americana","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2006,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"bovine parainfluenza virus 3","antilocapra americana","Antibodies",0,"Dunbar et al. 1999","cetartiodactyla","antilocapridae","antilocapra","americana","mononegavirales","paramyxoviridae","paramyxovirinae","respirovirus","SS","RNA","enveloped",FALSE,TRUE,15468,0,0,0,1999,"ScientificPublicationDate_Earliest","virus","HP3","bovine parainfluenza virus 3","virus",0,0,0,NA,NA,0
"bovine viral diarrhea virus 1","antilocapra americana","SNT",1,"Barrett and Chalmers 1975","cetartiodactyla","antilocapridae","antilocapra","americana","unassigned","flaviviridae",NA,"pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1975,"ScientificPublicationDate_Earliest","virus","HP3","bovine viral diarrhea virus 1","virus",0,0,0,NA,NA,0
"epizootic hemorrhagic disease","antilocapra americana","Antibodies",0,"Dubay et al. 2006","cetartiodactyla","antilocapridae","antilocapra","americana","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2006,"ScientificPublicationDate_Earliest","virus","HP3","epizootic hemorrhagic disease","virus",0,0,0,NA,NA,0
"st. louis encephalitis","antilocapra americana","Antibodies",0,"Williams et al. 2001","cetartiodactyla","antilocapridae","antilocapra","americana","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,2001,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"vesicular stomatitis indiana","antilocapra americana","SNT",1,"Webb et al. 1987","cetartiodactyla","antilocapridae","antilocapra","americana","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1987,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"bluetongue","antilope cervicapra","Antibodies",0,"Bhat et al. 1998","cetartiodactyla","bovidae","antilope","cervicapra","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1998,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"epizootic hemorrhagic disease","antilope cervicapra","Antibodies",0,"Williams et al. 2001","cetartiodactyla","bovidae","antilope","cervicapra","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2001,"ScientificPublicationDate_Earliest","virus","HP3","epizootic hemorrhagic disease","virus",0,0,0,NA,NA,0
