"name","exact","type","order","class","family","genus","species","rg_updated","species_updated","class_updated","order_updated","family_updated","genus_updated","unresolved_notes"
"suid herpesvirus 5",FALSE,"viruses","Herpesvirales","Herviviricetes","Herpesviridae","Roseolovirus","Suid betaherpesvirus 2",TRUE,"Suid gammaherpesvirus 5","Herviviricetes","Herpesvirales","Herpesviridae","Macavirus",""
"tamdy",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","Potyvirus","Potato virus A",TRUE,"Tamdy virus","Ellioviricetes","Bunyavirales","Nairoviridae","Orthonairovirus",""
"tembusu",FALSE,"viruses","Tolivirales","Tolucaviricetes","Tombusviridae","Tombusvirus","",TRUE,"Tembusu virus","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus",""
"thogoto",FALSE,"viruses","Articulavirales","Insthoviricetes","Orthomyxoviridae","Thogotovirus","",TRUE,"Thogoto thogotovirus","Insthoviricetes","Articulavirales","Orthomyxoviridae","Thogotovirus",""
"tula",FALSE,"viruses","Patatavirales","Stelpaviricetes","Potyviridae","Potyvirus","Turnip mosaic virus",TRUE,"Tula orthohantavirus","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus",""
"tupaia",FALSE,"viruses","Mononegavirales","Monjiviricetes","Rhabdoviridae","Tupavirus","",TRUE,"Tupaia tupavirus","Monjiviricetes","Mononegavirales","Rhabdoviridae","Tupavirus",""
"vaccinia",FALSE,"viruses","Ortervirales","Revtraviricetes","Caulimoviridae","Vaccinivirus","",TRUE,"Vaccinia virus","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus",""
"volepox",FALSE,"viruses","Chitovirales","Pokkesviricetes","Poxviridae","Orthopoxvirus","Ectromelia virus",TRUE,"Volepox virus","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus",""
"pekania pennanti pennanti",FALSE,"hosts","Passeriformes","","","","Petronia petronia",TRUE,"Martes pennanti","Mammalia","Carnivora","Mustelidae","",""
"procyon pygmaeus",FALSE,"hosts","Primates","","","","Pongo pygmaeus",TRUE,"Procyon pygmaeus","Mammalia","Carnivora","Procyonidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"bos frontalis gaurus",FALSE,"hosts","Artiodactyla","","","","Bos frontalis x Bos taurus",TRUE,"Bos frontalis","Mammalia","Artiodactyla","Bovidae","",""
"bubalus bubalis arnee",FALSE,"hosts","Artiodactyla","","","","Bubalus carabanensis",TRUE,"Bubalus bubalis","Mammalia","Artiodactyla","Bovidae","",""
"nycteris gambiensis",FALSE,"hosts","Caprimulgiformes","","","","Nyctibius jamaicensis",TRUE,"Nycteris gambiensis","Mammalia","Chiroptera","Nycteridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"nycteris nana",FALSE,"hosts","Chiroptera","","","","Afronycteris nana",TRUE,"Nycteris nana","Mammalia","Chiroptera","Nycteridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"tadarida condylura",FALSE,"hosts","Gadiformes","","","","Nezumia condylura",TRUE,"Mops condylurus","Mammalia","Chiroptera","Molossidae","",""
"tadarida pumila",FALSE,"hosts","Chiroptera","","","","Tadarida fulminans",TRUE,"Chaerephon pumilus","Mammalia","Chiroptera","Molossidae","",""
"dorcopsis muelleri",FALSE,"hosts","Coraciiformes","","","","Merops muelleri",TRUE,"Dorcopsis muelleri","Mammalia","Diprotodontia","Macropodidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"crocidura zaphiri",FALSE,"hosts","Eulipotyphla","","","","Crocidura pachyura",TRUE,"Crocidura zaphiri","Mammalia","Eulipotyphla","Soricidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"piliocolobus semlikiensis",FALSE,"hosts","Primates","","","","Piliocolobus pennantii",TRUE,"Piliocolobus semlikiensis","Mammalia","Primates","Cercopithecidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"semnopithecus schistaceus",FALSE,"hosts","Passeriformes","","","","Thamnophilus schistaceus",TRUE,"Semnopithecus schistaceus","Mammalia","Primates","Cercopithecidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"coendou rothschildi",FALSE,"hosts","Passeriformes","","","","Cyanoloxia rothschildii",TRUE,"Coendou rothschildi","Mammalia","Rodentia","Erethizontidae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"funambulus tristriatus",FALSE,"hosts","Rodentia","","","","Funambulus sublineatus",TRUE,"Funambulus tristriatus","Mammalia","Rodentia","Sciuridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"funisciurus congicus",FALSE,"hosts","Rodentia","","","","Funisciurus pyrropus",TRUE,"Funisciurus congicus","Mammalia","Rodentia","Sciuridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"funisciurus lemniscatus",FALSE,"hosts","Squamata","","","","Micrurus lemniscatus",TRUE,"Funisciurus lemniscatus","Mammalia","Rodentia","Sciuridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"madromys blanfordi",FALSE,"hosts","Rodentia","","","","Jaculus blanfordi",TRUE,"Madromys blanfordi","Mammalia","Rodentia","Muridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"meriones hurrianae",FALSE,"hosts","Rodentia","","","","Meriones meridianus",TRUE,"Meriones hurrianae","Mammalia","Rodentia","Muridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
"pelomys isseli",FALSE,"hosts","Rodentia","","","","Melomys paveli",TRUE,"Pelomys isseli","Mammalia","Rodentia","Muridae","","no clear match in NCBITaxonomy; resolved with ref to IUCN"
