name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
bat coronavirus hku9,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Rousettus bat coronavirus HKU9,TRUE,,,,,,,
bat hepatitis,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Bat hepacivirus,TRUE,TRUE,Bat hepatitis virus,Revtraviricetes,Blubervirales,Hepadnaviridae,,
bayou,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Bayou orthohantavirus,TRUE,,,,,,,
bear canyon,FALSE,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Bear Canyon mammarenavirus,TRUE,,,,,,,
bebaru,FALSE,viruses,Mononegavirales,Monjiviricetes,Nyamiviridae,Berhavirus,,TRUE,TRUE,Bebaru virus,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,
beluga whale coronavirus sw1,FALSE,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Gammacoronavirus,Beluga whale coronavirus SW1,TRUE,,,,,,,
benevides,FALSE,viruses,Hepelivirales,Alsuviricetes,Benyviridae,Benyvirus,,TRUE,TRUE,Benevides orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,
berrimah,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ephemerovirus,Berrimah ephemerovirus,TRUE,,,,,,,
bertioga,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bertioga orthobunyavirus,TRUE,,,,,,,
bhanja,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Bandavirus,Bhanja bandavirus,TRUE,,,,,,,
bimiti,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bimiti orthobunyavirus,TRUE,,,,,,,
bivens arm,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tibrovirus,Tibrogargan tibrovirus,TRUE,,,,,,,
bk polyomavirus,FALSE,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,Betapolyomavirus,Human polyomavirus 1,TRUE,,,,,,,
black creek canal,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Black Creek Canal orthohantavirus,TRUE,,,,,,,
bluetongue,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Bluetongue virus,TRUE,,,,,,,
border disease,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Pestivirus,Pestivirus D,TRUE,,,,,,,
borna,FALSE,viruses,Mononegavirales,Monjiviricetes,Bornaviridae,Orthobornavirus,,TRUE,TRUE,Mammalian 1 orthobornavirus ,Monjiviricetes,Mononegavirales,Bornaviridae,Orthobornavirus,
borna disease,FALSE,viruses,Mononegavirales,Monjiviricetes,Bornaviridae,,Borna disease virus,TRUE,TRUE,Mammalian 1 orthobornavirus ,Monjiviricetes,Mononegavirales,Bornaviridae,Orthobornavirus,
