name,class,clade,superorder,order,suborder,family,subfamily,genus,species,subspecies,subgenus,subclass,infraclass,cohort,infraorder,superfamily,parvorder,tribe,species group,no rank
herpestes sanguineus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Galerella,Galerella sanguinea,,,,,,,,,,,
histriophoca fasciata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Phoca,Phoca fasciata,,,,,,,,,,,
hyaena hyaena,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Hyaenidae,,Hyaena,Hyaena hyaena,,,,,,,,,,,
hydrurga leptonyx,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Hydrurga,Hydrurga leptonyx,,,,,,,,,,,
ichneumia albicauda,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Ichneumia,Ichneumia albicauda,,,,,,,,,,,
leopardus colocolo,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Leopardus,Leopardus colocolo,,,,,,,,,,,
leopardus geoffroyi,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Leopardus,Leopardus geoffroyi,,,,,,,,,,,
leopardus pardalis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Leopardus,Leopardus pardalis,,,,,,,,,,,
leopardus tigrinus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Leopardus,Leopardus tigrinus,,,,,,,,,,,
leopardus wiedii,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Leopardus,Leopardus wiedii,,,,,,,,,,,
leptailurus serval,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Leptailurus,Leptailurus serval,,,,,,,,,,,
leptonychotes weddellii,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Leptonychotes,Leptonychotes weddellii,,,,,,,,,,,
lobodon carcinophaga,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Lobodon,Lobodon carcinophaga,,,,,,,,,,,
lontra canadensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Lutrinae,Lontra,Lontra canadensis,,,,,,,,,,,
lutra lutra,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Lutrinae,Lutra,Lutra lutra,,,,,,,,,,,
lycalopex culpaeus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Lycalopex,Lycalopex culpaeus,,,,,,,,,,,
lycalopex gymnocercus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Lycalopex,Lycalopex gymnocercus,,,,,,,,,,,
lycalopex vetulus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Lycalopex,Lycalopex vetulus,,,,,,,,,,,
lycaon pictus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Lycaon,Lycaon pictus,,,,,,,,,,,
lynx canadensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Lynx,Lynx canadensis,,,,,,,,,,,
lynx lynx,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Lynx,Lynx lynx,,,,,,,,,,,
lynx pardinus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Lynx,Lynx pardinus,,,,,,,,,,,
lynx rufus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Lynx,Lynx rufus,,,,,,,,,,,
martes foina,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Martinae,Martes,Martes foina,,,,,,,,,,,
martes martes,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Martinae,Martes,Martes martes,,,,,,,,,,,
martes melampus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Martinae,Martes,Martes melampus,,,,,,,,,,,
martes pennanti,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Martinae,Martes,Martes pennanti,,,,,,,,,,,
meles meles,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Melinae,Meles,Meles meles,,,,,,,,,,,
mellivora capensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mellivoriane,Mellivora,Mellivora capensis,,,,,,,,,,,
melogale moschata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Helictidinae,Melogale,Melogale moschata,,,,,,,,,,,
mephitis macroura,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mephitidae,,Mephitis,Mephitis macroura,,,,,,,,,,,
mephitis mephitis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mephitidae,,Mephitis,Mephitis mephitis,,,,,,,,,,,
mirounga angustirostris,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Mirounga,Mirounga angustirostris,,,,,,,,,,,
mirounga leonina,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Mirounga,Mirounga leonina,,,,,,,,,,,
monachus monachus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Monachus,Monachus monachus,,,,,,,,,,,
monachus schauinslandi,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Neomonachus,Neomonachus schauinslandi,,,,,,,,,,,
mungos mungo,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Mungos,Mungos mungo,,,,,,,,,,,
mustela erminea,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela erminea,,,,,,,,,,,
mustela frenata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela frenata,,,,,,,,,,,
mustela lutreola,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela lutreola,,,,,,,,,,,
mustela nigripes,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela nigripes,,,,,,,,,,,
mustela nivalis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela nivalis,,,,,,,,,,,
mustela putorius,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela putorius,,,,,,,,,,,
mustela sibirica,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Mustela,Mustela sibirica,,,,,,,,,,,
mustela vison,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Neovison,Neovison vison,,,,,,,,,,,
nasua narica,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Nasua,Nasua narica,,,,,,,,,,,
nasua nasua,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Nasua,Nasua nasua,,,,,,,,,,,
neofelis nebulosa,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Pantherinae,Neofelis,Neofelis nebulosa,,,,,,,,,,,
neomonachus schauinslandi,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Neomonachus,Neomonachus schauinslandi,,,,,,,,,,,
neovison vison,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Mustelinae,Neovison,Neovison vison,,,,,,,,,,,
nyctereutes procyonoides,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Nyctereutes,Nyctereutes procyonoides,,,,,,,,,,,
odobenus rosmarus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Odobenidae,,Odobenus,Odobenus rosmarus,,,,,,,,,,,
otocyon megalotis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Otocyon,Otocyon megalotis,,,,,,,,,,,
pagophilus groenlandicus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Phoca,Phoca groenlandica,,,,,,,,,,,
paguma larvata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Paradoxurinae,Paguma,Paguma larvata,,,,,,,,,,,
panthera leo,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Pantherinae,Panthera,Panthera leo,,,,,,,,,,,
panthera onca,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Pantherinae,Panthera,Panthera onca,,,,,,,,,,,
panthera pardus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Pantherinae,Panthera,Panthera pardus,,,,,,,,,,,
panthera tigris,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Pantherinae,Panthera,Panthera tigris,,,,,,,,,,,
paradoxurus hermaphroditus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Paradoxurinae,Paradoxurus,Paradoxurus hermaphroditus,,,,,,,,,,,
paradoxurus zeylonensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Paradoxurinae,Paradoxurus,Paradoxurus zeylonensis,,,,,,,,,,,
pekania pennanti pennanti,Magnoliopsida,campanulids,,Apiales,Apiineae,Araliaceae,,Polyscias,Polyscias chapelieri,,Polyscias subgen. Maralia,,,,,,,,,
phoca largha,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Phoca,Phoca largha,,,,,,,,,,,
phoca vitulina,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Phoca,Phoca vitulina,,,,,,,,,,,
phocarctos hookeri,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Phocarctos,Phocarctos hookeri,,,,,,,,,,,
potos flavus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Potos,Potos flavus,,,,,,,,,,,
prionailurus bengalensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Prionailurus,Prionailurus bengalensis,,,,,,,,,,,
prionailurus planiceps,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Prionailurus,Prionailurus planiceps,,,,,,,,,,,
prionailurus viverrinus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Prionailurus,Prionailurus viverrinus,,,,,,,,,,,
procyon cancrivorus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Procyon,Procyon cancrivorus,,,,,,,,,,,
procyon lotor,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Procyon,Procyon lotor,,,,,,,,,,,
procyon pygmaeus,Insecta,Dicondylia,,Coleoptera,Polyphaga,Hydrophilidae,Sphaeridiinae,Cercyon,Cercyon pygmaeus,,,Pterygota,Neoptera,Holometabola,Staphyliniformia,Hydrophiloidea,,,,
proteles cristata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Hyaenidae,,Proteles,Proteles cristata,,,,,,,,,,,
puma concolor,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Puma,Puma concolor,,,,,,,,,,,
puma yagouaroundi,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Puma,Puma yagouaroundi,,,,,,,,,,,
pusa caspica,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Pusa,Pusa caspica,,,,,,,,,,,
pusa hispida,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Pusa,Pusa hispida,,,,,,,,,,,
pusa sibirica,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Pusa,Pusa sibirica,,,,,,,,,,,
speothos venaticus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Speothos,Speothos venaticus,,,,,,,,,,,
spilogale gracilis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mephitidae,,Spilogale,Spilogale gracilis,,,,,,,,,,,
spilogale putorius,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mephitidae,,Spilogale,Spilogale putorius,,,,,,,,,,,
suricata suricatta,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Suricata,Suricata suricatta,,,,,,,,,,,
taxidea taxus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Taxidiinae,Taxidea,Taxidea taxus,,,,,,,,,,,
tremarctos ornatus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Tremarctos,Tremarctos ornatus,,,,,,,,,,,
uncia uncia,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Pantherinae,Panthera,Panthera uncia,,,,,,,,,,,
urocyon cinereoargenteus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Urocyon,Urocyon cinereoargenteus,,,,,,,,,,,
urocyon littoralis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Urocyon,Urocyon littoralis,,,,,,,,,,,
ursus americanus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Ursus,Ursus americanus,,,,,,,,,,,
ursus arctos,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Ursus,Ursus arctos,,,,,,,,,,,
ursus maritimus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Ursus,Ursus maritimus,,,,,,,,,,,
ursus thibetanus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Ursus,Ursus thibetanus,,,,,,,,,,,
urva javanica,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Urva,Urva javanica,,,,,,,,,,,
viverricula indica,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Viverrinae,Viverricula,Viverricula indica,,,,,,,,,,,
vulpes chama,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes chama,,,,,,,,,,,
vulpes corsac,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes corsac,,,,,,,,,,,
vulpes lagopus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes lagopus,,,,,,,,,,,
vulpes macrotis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes macrotis,,,,,,,,,,,
vulpes velox,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes velox,,,,,,,,,,,
vulpes vulpes,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes vulpes,,,,,,,,,,,
vulpes zerda,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Vulpes,Vulpes zerda,,,,,,,,,,,
zalophus californianus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Zalophus,Zalophus californianus,,,,,,,,,,,
zalophus wollebaeki,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Zalophus,Zalophus wollebaeki,,,,,,,,,,,
addax nasomaculatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Addax,Addax nasomaculatus,,,,,,Pecora,,,,,
aepyceros melampus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Aepycerotinae,Aepyceros,Aepyceros melampus,,,,,,Pecora,,,,,
alcelaphus buselaphus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Alcelaphus,Alcelaphus buselaphus,,,,,,Pecora,,,,,
alcelaphus lichtensteinii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Alcelaphus,Alcelaphus lichtensteini,,,,,,Pecora,,,,,
alces alces,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Alces,Alces alces,,,,,,Pecora,,,,,
alces americanus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Alces,Alces americanus,,,,,,Pecora,,,,,
ammotragus lervia,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ammotragus,Ammotragus lervia,,,,,,Pecora,,,,,
antidorcas marsupialis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Antidorcas,Antidorcas marsupialis,,,,,,Pecora,,,,,
antilocapra americana,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Antilocapridae,,Antilocapra,Antilocapra americana,,,,,,Pecora,,,,,
antilope cervicapra,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Antilope,Antilope cervicapra,,,,,,Pecora,,,,,
axis axis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Axis,Axis axis,,,,,,Pecora,,,,,
axis porcinus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Axis,Axis porcinus,,,,,,Pecora,,,,,
babyrousa babyrussa,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Babyrousa,Babyrousa babyrussa,,,,,,,,,,,
balaena mysticetus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Balaenidae,,Balaena,Balaena mysticetus,,,,,,Cetacea,,Mysticeti,,,
balaenoptera acutorostrata,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Balaenopteridae,,Balaenoptera,Balaenoptera acutorostrata,,,,,,Cetacea,,Mysticeti,,,
balaenoptera borealis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Balaenopteridae,,Balaenoptera,Balaenoptera borealis,,,,,,Cetacea,,Mysticeti,,,
balaenoptera physalus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Balaenopteridae,,Balaenoptera,Balaenoptera physalus,,,,,,Cetacea,,Mysticeti,,,
beatragus hunteri,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Beatragus,Beatragus hunteri,,,,,,Pecora,,,,,
bison bison,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bison,Bison bison,,,,,,Pecora,,,,,
bison bonasus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bison,Bison bonasus,,,,,,Pecora,,,,,
