name,class,clade,superorder,order,suborder,family,subfamily,genus,species,subspecies,subgenus,subclass,infraclass,cohort,infraorder,superfamily,parvorder,tribe,species group,no rank
acinonyx jubatus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Acinonychinae,Acinonyx,Acinonyx jubatus,,,,,,,,,,,
ailuropoda melanoleuca,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Ailuropoda,Ailuropoda melanoleuca,,,,,,,,,,,
ailurus fulgens,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ailuridae,,Ailurus,Ailurus fulgens,,,,,,,,,,,
arctocephalus australis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Arctocephalus,Arctocephalus australis,,,,,,,,,,,
arctocephalus forsteri,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Arctocephalus,Arctocephalus forsteri,,,,,,,,,,,
arctocephalus galapagoensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Arctocephalus,Arctocephalus galapagoensis,,,,,,,,,,,
atilax paludinosus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Atilax,Atilax paludinosus,,,,,,,,,,,
bassaricyon gabbii,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Bassaricyon,Bassaricyon gabbii,,,,,,,,,,,
bassariscus astutus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Procyonidae,,Bassariscus,Bassariscus astutus,,,,,,,,,,,
callorhinus ursinus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Callorhinus,Callorhinus ursinus,,,,,,,,,,,
canis adustus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis adustus,,,,,,,,,,,
canis aureus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis aureus,,,,,,,,,,,
canis latrans,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis latrans,,,,,,,,,,,
canis lupus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis lupus,,,,,,,,,,,
canis lupus familiaris,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis lupus,Canis lupus familiaris,,,,,,,,,,
canis mesomelas,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis mesomelas,,,,,,,,,,,
canis simensis,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Canis,Canis simensis,,,,,,,,,,,
caracal caracal,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Caracal,Caracal caracal,,,,,,,,,,,
cerdocyon thous,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Cerdocyon,Cerdocyon thous,,,,,,,,,,,
chrotogale owstoni,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Hemigalinae,Chrotogale,Chrotogale owstoni,,,,,,,,,,,
chrysocyon brachyurus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Chrysocyon,Chrysocyon brachyurus,,,,,,,,,,,
civettictis civetta,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Viverrinae,Civettictis,Civettictis civetta,,,,,,,,,,,
crocuta crocuta,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Hyaenidae,,Crocuta,Crocuta crocuta,,,,,,,,,,,
cynictis penicillata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Cynictis,Cynictis penicillata,,,,,,,,,,,
cystophora cristata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Cystophora,Cystophora cristata,,,,,,,,,,,
dusicyon thous,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Canidae,,Cerdocyon,Cerdocyon thous,,,,,,,,,,,
eira barbara,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Martinae,Eira,Eira barbara,,,,,,,,,,,
enhydra lutris,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Lutrinae,Enhydra,Enhydra lutris,,,,,,,,,,,
erignathus barbatus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Erignathus,Erignathus barbatus,,,,,,,,,,,
eumetopias jubatus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Otariidae,,Eumetopias,Eumetopias jubatus,,,,,,,,,,,
failed,Betaproteobacteria,,,Burkholderiales,,Alcaligenaceae,,Basilea,,,,,,,,,,,,
felis catus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Felis,Felis catus,,,,,,,,,,,
felis manul,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Otocolobus,Otocolobus manul,,,,,,,,,,,
felis margarita,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Felis,Felis margarita,,,,,,,,,,,
felis nigripes,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Felis,Felis nigripes,,,,,,,,,,,
felis silvestris,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Felidae,Felinae,Felis,Felis silvestris,,,,,,,,,,,
galerella pulverulenta,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Galerella,Galerella pulverulenta,,,,,,,,,,,
galerella sanguinea,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Galerella,Galerella sanguinea,,,,,,,,,,,
galictis cuja,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Galictinae,Galictis,Galictis cuja,,,,,,,,,,,
genetta genetta,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Viverrinae,Genetta,Genetta genetta,,,,,,,,,,,
genetta maculata,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Viverrinae,Genetta,Genetta maculata,,,,,,,,,,,
genetta tigrina,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Viverridae,Viverrinae,Genetta,Genetta tigrina,,,,,,,,,,,
gulo gulo,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Martinae,Gulo,Gulo gulo,,,,,,,,,,,
halichoerus grypus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Phocidae,,Halichoerus,Halichoerus grypus,,,,,,,,,,,
helarctos malayanus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Caniformia,Ursidae,,Helarctos,Helarctos malayanus,,,,,,,,,,,
herpestes edwardsi,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Urva,Urva edwardsii,,,,,,,,,,,
herpestes ichneumon,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Herpestes,Herpestes ichneumon,,,,,,,,,,,
herpestes javanicus,Mammalia,Boreoeutheria,Laurasiatheria,Carnivora,Feliformia,Herpestidae,,Urva,Urva javanica,,,,,,,,,,,
