Host,HostClass,HostOrder,HostFamily,Host_Original,HostSynonyms,Host_NCBIResolved,Host_IUCNMatch,Record_Updated,Description_Of_Issue,Host2,HostSynonyms2,HostFamily2
Canis lupus familiaris,Mammalia,Carnivora,Canidae,Canis familiaris,"canis familiaris, canis familiarus domesticus",TRUE,FALSE,FALSE,Domestic,,,
Dusicyon thous,Mammalia,Carnivora,Canidae,Dusicyon thous,,TRUE,FALSE,TRUE,NCBI listed as homotypic synonym,Cerdocyon thous,,Canidae
Failed,Mammalia,Carnivora,Canidae,Lycalopex gymnocercus,failed,TRUE,FALSE,TRUE,taxize fail,Lycalopex gymnocercus,,Canidae
Felis catus,Mammalia,Carnivora,Felidae,Felis catus,,TRUE,FALSE,FALSE,Domestic,,,
Felis manul,Mammalia,Carnivora,Felidae,Otocolobus manul,otocolobus manul,TRUE,FALSE,TRUE,NCBI listed as homotypic synonym,Otocolobus manul,Felis manul,Felidae
Felis manul,Mammalia,Carnivora,Felidae,Felis manul,otocolobus manul,TRUE,FALSE,TRUE,NCBI listed as homotypic synonym,Otocolobus manul,Felis manul,Felidae
Galerella pulverulenta,Mammalia,Carnivora,Herpestidae,Galerella pulverulenta,,TRUE,FALSE,TRUE,IUCN lists as Herpestes; not listed in NCBI,Galerella pulverulenta,Herpestes pulverulentus,Herpestidae
Galerella sanguinea,Mammalia,Carnivora,Herpestidae,Galerella sanguinea,,TRUE,FALSE,TRUE,NCBI listed as homotypic synonym,Galerella sanguinea,Herpestes sanguineus,Herpestidae
Herpestes edwardsi,Mammalia,Carnivora,Herpestidae,Herpestes edwardsi,herpestes edwardsii,TRUE,FALSE,TRUE,Misspelling (edwardsii),Herpestes edwardsii,Urva edwardsii,Herpestidae
Monachus schauinslandi,Mammalia,Carnivora,Phocidae,Monachus schauinslandi,,TRUE,FALSE,TRUE,NCBI listed as homotypic synonym,Neomonachus schauinslandi,Monachus schauinslandi,Phocidae
Mustela vison,Mammalia,Carnivora,Mustelidae,Neovison vison,neovison vison,TRUE,FALSE,TRUE,NCBI listed as homotypic synonym,Neovison vison,Mustela vison,Mustelidae
