Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
aeromonas hydrophila,aeromonas hydrophila,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,1,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,JP,PT,TH,AU,DE,GR,MX,FI,CO,BD,CN,NO,CH,ES,MY,US,BR,FR,SE,IL,SG,GB,IR,MA,CA,RU,TW,EG"
aeromonas salmonicida,aeromonas salmonicida,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,0,"South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,DK,NO,AU,GB,CH,GR,DE,IE,PT,KR,ES,RU,US,FI,IL,CN,LT,JP,TR,CA,CL"
aeromonas sobria,aeromonas sobria,bacteria/rickettsia,1,1,1,1,1,1,aeromonas and marine vibrio infection,aeromonas bestiarum,1,NA,0,0,NA,1,"Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe","IN,JP,LT,CN,HU,ES"
aeromonas veronii,aeromonas veronii,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,0,"Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,JP,GB,CN,MX,PT,BR,US,IR,FR,KR,IL,AU,MY,ES,BD,ZA,SG,HU"
aggregatibacter actinomycetemcomitans,aggregatibacter actinomycetemcomitans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Eastern Asia, Northern Europe, Western Europe","FR,US,IE,JP"
aggregatibacter segnis,aggregatibacter segnis,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Northern Europe,"DK,SE"
agrobacterium tumefaciens,agrobacterium tumefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Southern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","ES,FR,CL,MX,DE,AU,US,RU,CN,JP,PL,DK,GB,IN,TN,ZA,DZ,CU,EG,MA,BS,BE,IL,TH,KW"
ajellomyces capsulatus,ajellomyces capsulatus,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Western Europe, Australia and New Zealand","UG,JP,GN,AU,BR,MX,GB,PA,CO,US,CN,TH,GT,ZA,EC,AR,ID,EG,IN,BE,PL,NG,SN,PR"
ajellomyces dermatitidis,ajellomyces dermatitidis,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Northern America,"US,CA"
alaria marcianae,alaria marcianae,helminth,1,0,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
alternaria alternata,alternaria alternata,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Caribbean, Central America, South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","CN,IN,AU,CH,JP,ES,CL,AQ,OM,GB,US,IR,PR,IT,EC,SE,AT,IL,BR,MX,SA,LT,GL,CZ"
anaplasma ovis,anaplasma ovis,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,0,NA,0,"Southern Africa, Northern America, Eastern Asia, Western Asia, Eastern Europe, Southern Europe","ES,US,HU,ZA,CN,CY,TR"
anaplasma phagocytophilum,anaplasma phagocytophilum,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,1,ehrlichioses,0,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Northern Africa, South America","CA,US,ES,IT,DE,AT,CY,CZ,PL,BG,FI,NO,SE,CN,BY,TN,LT,GB,JP,RU,TR,DK,CH,SI,AL,KR,FR,EE,AR,LV,EG"
ancylostoma braziliense,ancylostoma braziliense,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,NA,0,0,NA,1,,
ancylostoma caninum,ancylostoma caninum,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,NA,0,0,NA,1,"South-eastern Asia, Australia and New Zealand","LA,AU"
ancylostoma ceylanicum,ancylostoma ceylanicum,helminth,1,1,1,1,1,1,hookworm,"environment, direct",1,NA,0,0,NA,1,"Eastern Asia, South-eastern Asia, Australia and New Zealand","MY,JP,LA,AU"
ancylostoma duodenale,ancylostoma duodenale,helminth,1,1,1,1,1,1,hookworm,environment,1,NA,0,0,NA,1,"Eastern Africa, Eastern Asia, South-eastern Asia, Australia and New Zealand","TZ,CN,LA,AU"
andes,andes,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environmental, respiratory",1,NA,0,1,hantavirus cardiopulmonary syndrome,1,South America,"CL,AR,UY"
angiostrongylus cantonensis,angiostrongylus cantonensis,helminth,1,1,1,1,1,1,angiostrongyliasis,"direct, environmental, food",1,NA,0,1,eosinophilic meningitis,0,"Northern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Australia and New Zealand, Melanesia, Polynesia, Eastern Africa, Southern Europe","US,EC,BR,TO,AS,PF,CU,DO,JM,CI,EG,IN,CN,TH,VN,TW,AU,PG,JP,ID,MY,NC,ES,MV,RE"
angiostrongylus costaricensis,angiostrongylus costaricensis,helminth,1,1,1,1,1,1,"angiostrongyliasis, abdominal","direct, environmental",1,NA,0,1,eosinophilic meningitis,0,"Central America, South America","CR,BR"
anisakis physeteris,anisakis physeteris,helminth,1,1,1,1,1,1,anisakiasis,food,1,NA,0,0,NA,1,"South America, Eastern Asia, Southern Europe","BR,JP,IT"
anisakis simplex,anisakis simplex,helminth,1,1,1,1,1,1,anisakiasis,food,1,NA,0,0,NA,1,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","PL,JP,KR,US,PT,TR,DK,NO,GL,ES"
anncaliia algerae,anncaliia algerae,fungi,1,1,0,1,1,1,microsporidiosis,fecal-oral,1,NA,0,0,NA,0,,
arcanobacterium haemolyticum,arcanobacterium haemolyticum,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
arcanobacterium pyogenes,arcanobacterium pyogenes,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,South America,BR
arcobacter butzleri,arcobacter butzleri,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Eastern Asia, South-eastern Asia, Southern Europe","TH,CN,US,ES,JP"
arcobacter cryaerophilus,arcobacter cryaerophilus,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Eastern Asia, Northern Europe, Western Europe","CA,GB,IE,CN,BE"
arthrobacter creatinolyticus,arthrobacter creatinolyticus,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Southern Asia","CA,IN"
arthroderma benhamiae,arthroderma benhamiae,fungi,1,1,1,1,1,1,dermatophytosis,"environment, direct",1,NA,0,0,NA,0,"Eastern Africa, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","NL,GB,KE,BE,IR,DE,JP,CN,AU,NZ,ES"
arthroderma gypseum,arthroderma gypseum,fungi,1,1,1,1,1,1,dermatophytosis,"environment, direct",1,NA,0,0,NA,0,"South America, Eastern Asia, Southern Asia, Western Asia, Southern Europe, Western Europe, Australia and New Zealand","IR,AU,OM,JP,BR,CH,IT"
arthroderma obtusum,arthroderma obtusum,fungi,1,1,1,1,1,1,dermatophytosis,"environment, direct",1,NA,0,0,NA,0,,
arthroderma otae,arthroderma otae,fungi,1,1,1,1,1,1,dermatophytosis,"environment, direct",1,NA,0,0,NA,0,"Central America, South America, Eastern Asia, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe","CN,OM,CR,BE,JP,BR,GB,IR,IT"
arthroderma simii,arthroderma simii,fungi,1,1,1,1,1,1,dermatophytosis,"environment, direct",1,NA,0,0,NA,0,"Eastern Asia, Southern Asia, Australia and New Zealand","IN,AU,JP"
arthroderma vanbreuseghemii,arthroderma vanbreuseghemii,fungi,1,1,1,1,1,1,dermatophytosis,"environment, direct",1,NA,0,0,NA,0,"Eastern Asia, Southern Asia, Northern Europe","CN,IN,GB,JP,IR"
arthrographis kalrae,arthrographis kalrae,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Southern Africa, Northern America, Eastern Asia, Southern Asia, Southern Europe, Western Europe, Australia and New Zealand","ZA,AU,CA,US,FR,IT,IN,JP"
asaia bogorensis,asaia bogorensis,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Northern Europe,LT
ascaris lumbricoides,ascaris lumbricoides,helminth,1,1,1,1,1,1,ascariasis,food,1,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Western Europe","CN,JP,DE,BR,IN,BD,AT,PA,MY,GT,VE,KE,EG,NP,NG,TW,TZ,TR,ZA,MV"
ascaris suum,ascaris suum,helminth,1,1,1,1,1,1,toxocariasis,"food, environment",1,NA,0,0,NA,1,"Northern America, Eastern Asia, Northern Europe, Western Europe","JP,CH,CN,US,GB"
aspergillus candidus,aspergillus candidus,fungi,1,1,1,1,0,1,aspergillosis,"environment, respiratory",0,NA,0,0,NA,0,"Eastern Asia, Eastern Europe","CZ,RO,CN"
aspergillus flavipes,aspergillus flavipes,fungi,1,0,1,1,0,1,aspergillosis,"respiratory, environment",0,NA,0,0,NA,0,"Northern America, Eastern Asia, Southern Asia, Eastern Europe","CZ,IN,US,CN"
aspergillus flavus,aspergillus flavus,fungi,1,1,1,1,1,1,aspergillosis,"environment, food",0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Western Europe","IN,BR,TN,KW,CO,CZ,PR,US,CN,EG,MZ,CH,OM,SA,NG,MV"
aspergillus fumigatus,aspergillus fumigatus,fungi,1,1,1,1,1,1,aspergillosis,"environment, food",0,NA,0,0,NA,1,"Northern Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","BY,ES,BR,BE,SD,GH,CZ,CN,DE,JP,MY,IN,US,IQ,AU,EG,GB,MV"
aspergillus niger,aspergillus niger,fungi,1,1,1,1,1,1,aspergillosis,"environment, food",0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","SA,SD,IN,AU,BR,MX,TN,CA,GB,ML,CO,KE,US,IT,CN,MZ,CZ,PR,FR,OM,PK,VN,ES,EG,NG,TW"
aspergillus ochraceus,aspergillus ochraceus,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Middle Africa, South America, Northern America, Eastern Asia, Eastern Europe, Northern Europe","UG,CN,GB,CD,US,CZ,CO"
aspergillus oryzae,aspergillus oryzae,fungi,1,1,1,1,0,1,aspergillosis,"environment, respiratory",0,NA,0,0,NA,0,"Northern Africa, Eastern Asia, South-eastern Asia, Southern Asia","JP,MY,EG,CN,IN"
aspergillus sydowii,aspergillus sydowii,fungi,1,1,1,1,0,1,aspergillosis,"environment, food",0,NA,0,0,NA,0,"Caribbean, South America, Northern America, Eastern Asia, Eastern Europe, Western Europe","CN,CO,PR,RU,US,JP,AT,CZ"
aspergillus tamarii,aspergillus tamarii,fungi,1,1,1,1,0,1,aspergillosis,"environment, food",0,NA,0,0,NA,0,"Northern Africa, Caribbean, South America, Eastern Asia, Southern Asia, Eastern Europe, Southern Europe","EG,CZ,IT,IN,ES,JP,PR,CO"
aspergillus terreus,aspergillus terreus,fungi,1,1,1,1,1,1,aspergillosis,"environment, food",0,NA,0,0,NA,1,"Northern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Southern Europe, Western Europe","IN,CN,EG,OM,CZ,RU,CO,DE,VN,US,PR,IR,ES,SN"
aspergillus tubingensis,aspergillus tubingensis,fungi,1,1,1,1,0,1,aspergillosis,"environment, food",0,NA,0,0,NA,0,"Eastern Africa, Northern America, Eastern Asia, Southern Asia, Eastern Europe, Southern Europe, Western Europe","IN,ES,DE,CZ,US,IT,MZ,CN"
aspergillus versicolor,aspergillus versicolor,fungi,1,1,1,1,0,1,aspergillosis,"environment, food",0,NA,0,0,NA,0,"Western Africa, Caribbean, South America, Northern America, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Australia and New Zealand","IR,RU,LT,CZ,CN,ES,ML,AU,GB,US,PR,IN,CO"
aureobasidium pullulans,aureobasidium pullulans,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","PL,AU,ES,JP,IS,DE,BR,KR,CN,US,GB,NE,RU,PT,LV,IT,TH,AT,CH,FR,AR,LT"
australian bat lyssavirus,australian bat lyssavirus,virus,1,1,1,1,1,1,rabies,"direct, bite",1,NA,0,1,fatal encephalitis,1,Australia and New Zealand,AU
babesia bovis,babesia bovis,protozoa,1,1,1,1,1,1,babesiosis,vector,1,ixodes ricinus,1,0,NA,0,"Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Western Asia, Southern Europe, Australia and New Zealand","CN,MX,AR,US,TH,SY,TR,AU,PT,BR,ES,IL,IT"
babesia divergens,babesia divergens,protozoa,1,1,1,1,1,1,babesiosis,vector,1,ixodes ricinus,1,1,babesiosis,0,"Northern Europe, Southern Europe, Western Europe, Northern America, Eastern Europe","PT,FR,ES,GB,IT,CH,AT,BE,NL,FI,PL,RU,IE,DE,US"
babesia gibsoni,babesia gibsoni,protozoa,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Southern Europe, Australia and New Zealand","TW,RO,KR,US,IT,JP,AU,TR,ES"
babesia microti,babesia microti,protozoa,1,1,1,1,1,1,babesiosis,vector,1,ixodes scapularis,1,1,babesiosis,1,"Central America, Northern America, Eastern Asia, Western Europe, Eastern Europe, Northern Europe, Southern Europe","US,CA,MX,DE,JP,EE,PL,CN,CH,TW,KR,GB,RU,AT,SI,ES"
bacillus anthracis,bacillus anthracis,bacteria/rickettsia,1,1,1,1,1,1,anthrax,"environment, food, vector",1,fly (rare),1,0,NA,1,"Northern Africa, Middle Africa, Southern Africa, Caribbean, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Micronesia","ZA,FR,CN,IN,US,MY,IT,FI,KR,CM,BG,EG,GB,RU,CA,AU,HT,UM,MV"
bacillus aquimaris,bacillus aquimaris,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Southern Europe","CN,IN,TH,MY,IT,ID,US,RO"
bacillus cereus,bacillus cereus,bacteria/rickettsia,1,1,1,1,1,1,bacillus cereus food poisoning,"food, environment",0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","HU,BR,CN,IN,KR,BE,VN,TW,CA,BO,GB,MY,US,MX,IR,IT,ES,NL,PT,TH,BF,UY,JP,CH,EC,IE,CI,BS,SE,AT,EG,DK,DE,FR,NO,FI,MZ,HK,QA,PK,TN,AR,MV"
bacillus circulans,bacillus circulans,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Southern Africa, South America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IN,CN,ES,FI,NL,PT,TH,UY,JP,ZA,AT,MZ,PL,GB"
bacillus clausii,bacillus clausii,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Southern Europe","IN,CN,IT,HR,TH,HU"
bacillus coagulans,bacillus coagulans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Eastern Africa, Southern Africa, South America, Eastern Asia, Southern Asia, Southern Europe, Western Europe","CL,CN,IN,KR,IT,NL,JP,ZA,MZ"
bacillus endophyticus,bacillus endophyticus,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Africa, Western Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia","IN,CN,MY,KE,IL,BR,MX,US,ML"
bacillus flexus,bacillus flexus,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Central America, Eastern Asia, South-eastern Asia, Southern Asia, Southern Europe, Western Europe","MX,MY,BE,IR,MA,ES,CN,IN,VN,TH"
bacillus licheniformis,bacillus licheniformis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern Africa, Eastern Africa, Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","HU,PK,CN,IN,QA,TW,KR,TN,GB,NP,MY,AU,US,HR,IR,TR,IT,FI,PT,TH,UY,EG,ZA,MZ,CA,RU,FR,MX,DE,AQ,NL,CZ,IL,JP"
