"AssocID","Host_AsReported","Pathogen_AsReported"
9617,"arctocephalus pusillus pusillus","streptococcus canis"
9619,"arctocephalus pusillus pusillus","streptococcus zooepidemicus"
9620,"arctocephalus pusillus pusillus","streptococcus phocae"
9622,"arctocephalus tropicalis","mycobacterium tuberculosis"
9623,"arctocephalus tropicalis","mycobacterium tuberculosis"
9642,"ateles belzebuth","leptospira sp."
9645,"ateles paniscus chamek","leptospira interrogans"
9647,"avahi laniger","group d enterococcus"
9648,"avahi laniger","coagulase negative staphylococcus sp."
9650,"axis axis","fusobacterium"
9693,"bison bison","anaplasma marginale"
9695,"bison bison","bacillus anthracis"
9696,"bison bison","bacillus anthracis"
9698,"bison bison","bacillus"
9733,"bison bison","brucella abortus"
9734,"bison bison","brucella abortus"
9735,"bison bison","brucella abortus"
9738,"bison bison","brucella abortus biovar 1"
9739,"bison bison","brucella abortus biovar 1"
9740,"bison bison","brucella abortus biovar 1"
9741,"bison bison","brucella"
9742,"bison bison","citrobacter"
9743,"bison bison","coxiella burnetii"
9744,"bison bison","enterococcus casseliflavus"
9745,"bison bison","enterococcus faecalis"
9746,"bison bison","enterococcus faecium"
9747,"bison bison","enterococcus hirae"
9748,"bison bison","enterococcus mundtii"
9749,"bison bison","enterococcus spp."
9758,"bison bison","klebsiella pneumoniae"
9761,"bison bison","lactobacillus"
9763,"bison bison","leptospira interrogans serovar australis"
9764,"bison bison","leptospira interrogans serovar icterohaemorrhagiae"
9765,"bison bison","leptospira interrogans serovar hardjo"
9766,"bison bison","leptospira interrogans serovar autumnalis"
9767,"bison bison","leptospira interrogans serovar bratislava"
9768,"bison bison","leptospira interrogans"
9769,"bison bison","pasteurella haemolytica biotype 3"
9770,"bison bison","pasteurella haemolytica biotype a"
9771,"bison bison","pasteurella haemolytica biotype t"
9774,"bison bison","micrococcus"
9775,"bison bison","moraxella bovis"
9778,"bison bison","moraxella"
9788,"bison bison athabascae","mycobacterium avium"
9791,"bison bison","mycobacterium haemophilumn"
9799,"bison bison","mycobacterium bovis"
9803,"bison bison","enterobacter agglomerans"
9804,"bison bison","pasteurella multocida"
9805,"bison bison athabascae","pasteurella multocida"
9807,"bison bison","pasteurella"
9808,"bison bison","pasteurella"
9809,"bison bison","proteus mirabilis"
9812,"bison bison","proteus vulgaris"
9814,"bison bison","pseudomonas"
9815,"bison bison","staphylococcus aureus"
9816,"bison bison","staphylococcus epidermidis"
9818,"bison bison","staphylococcus hyicus"
9819,"bison bison","staphylococcus  (nonhemolytic)"
9820,"bison bison","streptococcus  (a-hemolytic)"
9853,"bison bonasus","bacillus"
