Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
abiotrophia defectiva,abiotrophia defectiva,abiotrophia defectiva,bacteria,,,,,,,,,,,,,,,,
achromobacter denitrificans,achromobacter denitrificans,achromobacter denitrificans,bacteria,,,,,,,,,,,,,,,,
acinetobacter berezinae,acinetobacter berezinae,acinetobacter berezinae,bacteria,,,,,,,,,,,,,,,,
acinetobacter parvus,acinetobacter parvus,acinetobacter parvus,bacteria,,,,,,,,,,,,,,,,
acinetobacter septicus,acinetobacter septicus,acinetobacter septicus,bacteria,,,,,,,,,,,,,,,,
actinobacillus hominis,actinobacillus hominis,actinobacillus hominis,bacteria,,,,,,,,,,,,,,,,
actinobacillus ureae,actinobacillus ureae,actinobacillus ureae,bacteria,,,,,,,,,,,,,,,,
actinobaculum schaalii,actinobaculum schaalii,actinobaculum schaalii,bacteria,,,,,,,,,,,,,,,,
actinomadura meyerae,actinomadura meyerae,actinomadura meyerae,bacteria,,,,,,,,,,,,,,,,
actinomadura pelletieri,actinomadura pelletieri,actinomadura pelletieri,bacteria,,,,,,,,,,,,,,,,
actinomyces cardiffensis,actinomyces cardiffensis,actinomyces cardiffensis,bacteria,,,,,,,,,,,,,,,,
actinomyces dentalis,actinomyces dentalis,actinomyces dentalis,bacteria,,,,,,,,,,,,,,,,
actinomyces denticolens,actinomyces denticolens,actinomyces denticolens,bacteria,,,,,,,,,,,,,,,,
actinomyces funkei,actinomyces funkei,actinomyces funkei,bacteria,,,,,,,,,,,,,,,,
actinomyces georgiae,actinomyces georgiae,actinomyces georgiae,bacteria,,,,,,,,,,,,,,,,
actinomyces gerencseriae,actinomyces gerencseriae,actinomyces gerencseriae,bacteria,,,,,,,,,,,,,,,,
actinomyces graevenitzii,actinomyces graevenitzii,actinomyces graevenitzii,bacteria,,,,,,,,,,,,,,,,
actinomyces israelii,actinomyces israelii,actinomyces israelii,bacteria,,,,,,,,,,,,,,,,
actinomyces massiliensis,actinomyces massiliensis,actinomyces massiliensis,bacteria,,,,,,,,,,,,,,,,
actinomyces meyeri,actinomyces meyeri,actinomyces meyeri,bacteria,,,,,,,,,,,,,,,,
actinomyces naeslundii,actinomyces naeslundii,actinomyces naeslundii,bacteria,,,,,,,,,,,,,,,,
actinomyces neuii,actinomyces neuii,actinomyces neuii,bacteria,,,,,,,,,,,,,,,,
actinomyces odontolyticus,actinomyces odontolyticus,actinomyces odontolyticus,bacteria,,,,,,,,,,,,,,,,
actinomyces oricola,actinomyces oricola,actinomyces oricola,bacteria,,,,,,,,,,,,,,,,
actinomyces oris,actinomyces oris,actinomyces oris,bacteria,,,,,,,,,,,,,,,,
actinomyces radingae,actinomyces radingae,actinomyces radingae,bacteria,,,,,,,,,,,,,,,,
actinomyces turicensis,actinomyces turicensis,actinomyces turicensis,bacteria,,,,,,,,,,,,,,,,
actinomyces urogenitalis,actinomyces urogenitalis,actinomyces urogenitalis,bacteria,,,,,,,,,,,,,,,,
adlercreutzia equolifaciens,adlercreutzia equolifaciens,adlercreutzia equolifaciens,bacteria,,,,,,,,,,,,,,,,
aerococcus christensenii,aerococcus christensenii,aerococcus christensenii,bacteria,,,,,,,,,,,,,,,,
aerococcus sanguinicola,aerococcus sanguinicola,aerococcus sanguinicola,bacteria,,,,,,,,,,,,,,,,
aeromonas aquariorum,aeromonas aquariorum,aeromonas aquariorum,bacteria,,,,,,,,,,,,,,,,
aeromonas tecta,aeromonas tecta,aeromonas tecta,bacteria,,,,,,,,,,,,,,,,
aggregatibacter aphrophilus,aggregatibacter aphrophilus,aggregatibacter aphrophilus,bacteria,,,,,,,,,,,,,,,,
agrobacterium larrymoorei,agrobacterium larrymoorei,agrobacterium larrymoorei,bacteria,,,,,,,,,,,,,,,,
agrobacterium rhizogenes,agrobacterium rhizogenes,agrobacterium rhizogenes,bacteria,,,,,,,,,,,,,,,,
