Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
[eubacterium] nodatum,Bacteria,eubacterium nodatum,FALSE,eubacterium nodatum,eubacterium nodatum
[eubacterium] rectale,Bacteria,"eubacterium rectale; roseburia rectale; pseudobacterium rectale, etc.",FALSE,eubacterium rectale,eubacterium rectale
[eubacterium] saphenum,Bacteria,eubacterium saphenum,FALSE,eubacterium saphenum,eubacterium saphenum
[eubacterium] sulci,Bacteria,eubacterium sulci; fusobacterium sulci,FALSE,eubacterium sulci,eubacterium sulci
[eubacterium] tenue,Bacteria,"cillobacterium tenue; cillobacterium spatuliforme; bacteroides tenuis, etc.",FALSE,eubacterium tenue,eubacterium tenue
[eubacterium] tortuosum,Bacteria,mycobacterium flavum var. tortuosum; eubacterium tortuosum; bacteroides tortuosus,FALSE,eubacterium tortuosum,eubacterium tortuosum
[eubacterium] yurii,Bacteria,,FALSE,eubacterium yurii,eubacterium yurii
[haemophilus] ducreyi,Bacteria,haemophilus ducreyi; coccobacillus ducreyi; bacillus ulceris cancrosi,FALSE,haemophilus ducreyi,haemophilus ducreyi
[haemophilus] felis,Bacteria,haemophilus felis,FALSE,haemophilus felis,haemophilus felis
[haemophilus] parasuis,Bacteria,haemophilus parasuis,FALSE,haemophilus parasuis,haemophilus parasuis
[pasteurella] aerogenes,Bacteria,pasteurella aerogenes,FALSE,pasteurella aerogenes,pasteurella aerogenes
[pasteurella] mairii,Bacteria,pasteurella mairi; bisgaard taxon 20,FALSE,pasteurella mairii,pasteurella mairii
[pasteurella] mairii,Bacteria,pasteurella mairi; bisgaard taxon 19,FALSE,pasteurella mairii,pasteurella mairii
[ruminococcus] gnavus,Bacteria,ruminococcus gnavus,FALSE,ruminococcus gnavus,ruminococcus gnavus
abiotrophia defectiva,Bacteria,streptococcus defectivus,TRUE,abiotrophia defectiva,abiotrophia defectiva
acetatifactor muris,Bacteria,,FALSE,acetatifactor muris,acetatifactor muris
acetitomaculum ruminis,Bacteria,,FALSE,acetitomaculum ruminis,acetitomaculum ruminis
acetivibrio ethanolgignens,Bacteria,,FALSE,acetivibrio ethanolgignens,acetivibrio ethanolgignens
acholeplasma axanthum,Bacteria,,FALSE,acholeplasma axanthum,acholeplasma axanthum
acholeplasma cavigenitalium,Bacteria,,TRUE,acholeplasma cavigenitalium,acholeplasma cavigenitalium
acholeplasma equifetale,Bacteria,,TRUE,acholeplasma equifetale,acholeplasma equifetale
acholeplasma granularum,Bacteria,mycoplasma granularum; sapromyces granularum,TRUE,acholeplasma granularum,acholeplasma granularum
acholeplasma hippikon,Bacteria,,TRUE,acholeplasma hippikon,acholeplasma hippikon
acholeplasma laidlawii,Bacteria,sapromyces laidlawi; mycoplasma laidlawii; asterococcus laidlawii,TRUE,acholeplasma laidlawii,acholeplasma laidlawii
acholeplasma oculi,Bacteria,acholeplasma oculusi,FALSE,acholeplasma oculi,acholeplasma oculi
acholeplasma parvum,Bacteria,,TRUE,acholeplasma parvum,acholeplasma parvum
achromobacter aegrifaciens,Bacteria,achromobacter genogroup 5,FALSE,achromobacter aegrifaciens,achromobacter aegrifaciens
achromobacter animicus,Bacteria,achromobacter genogroup 6,FALSE,achromobacter animicus,achromobacter animicus
achromobacter anxifer,Bacteria,achromobacter genogroup 7,FALSE,achromobacter anxifer,achromobacter anxifer
achromobacter denitrificans,Bacteria,alcaligenes denitrificans,TRUE,achromobacter denitrificans,achromobacter denitrificans
achromobacter dolens,Bacteria,achromobacter genogroup 14,FALSE,achromobacter dolens,achromobacter dolens
achromobacter insolitus,Bacteria,,FALSE,achromobacter insolitus,achromobacter insolitus
achromobacter insuavis,Bacteria,achromobacter genogroup 2,FALSE,achromobacter insuavis,achromobacter insuavis
achromobacter marplatensis,Bacteria,achromobacter spiritinus; achromobacter group 10,FALSE,achromobacter marplatensis,achromobacter marplatensis
achromobacter mucicolens,Bacteria,achromobacter genogroup 4,FALSE,achromobacter mucicolens,achromobacter mucicolens
achromobacter piechaudii,Bacteria,alcaligenes piechaudii,TRUE,achromobacter piechaudii,achromobacter piechaudii
achromobacter pulmonis,Bacteria,achromobacter genogroup 11,FALSE,achromobacter pulmonis,achromobacter pulmonis
achromobacter ruhlandii,Bacteria,pseudomonas ruhlandii; hydrogenomonas ruhlandii; alcaligenes ruhlandii,FALSE,achromobacter ruhlandii,achromobacter ruhlandii
achromobacter spanius,Bacteria,,FALSE,achromobacter spanius,achromobacter spanius
achromobacter xylosoxidans,Bacteria,alcaligenes xylosoxidans,TRUE,achromobacter xylosoxidans,achromobacter xylosoxidans
acidaminococcus fermentans,Bacteria,,TRUE,acidaminococcus fermentans,acidaminococcus fermentans
