Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
chlamydia muridarum,Bacteria,chlamydia trachomatis mopn,TRUE,chlamydia muridarum,chlamydia muridarum
chlamydia pecorum,Bacteria,chlamydophila pecorum,FALSE,chlamydia pecorum,chlamydia pecorum
chlamydia pneumoniae,Bacteria,chlamydophila pneumoniae,FALSE,chlamydia pneumoniae,chlamydia pneumoniae
chlamydia psittaci,Bacteria,"chlamydophila psittaci; rickettsiaformis psittacosis; rickettsia psittaci, etc.",TRUE,chlamydia psittaci,chlamydia psittaci
chlamydia suis,Bacteria,,TRUE,chlamydia suis,chlamydia suis
chlamydia trachomatis,Bacteria,rickettsia trachomatis; rickettsia trachomae; chlamydozoon trachomatis,TRUE,chlamydia trachomatis,chlamydia trachomatis
chromobacterium haemolyticum,Bacteria,,FALSE,chromobacterium haemolyticum,chromobacterium haemolyticum
chromobacterium violaceum,Bacteria,"chromobacterium manilae; chromobacterium laurentium; chromobacterium janthinum, etc.",TRUE,chromobacterium violaceum,chromobacterium violaceum
chryseobacterium aahli,Bacteria,,FALSE,chryseobacterium aahli,chryseobacterium aahli
chryseobacterium anthropi,Bacteria,,FALSE,chryseobacterium anthropi,chryseobacterium anthropi
chryseobacterium balustinum,Bacteria,flavobacterium balustinum,TRUE,chryseobacterium balustinum,chryseobacterium balustinum
chryseobacterium bernardetii,Bacteria,,FALSE,chryseobacterium bernardetii,chryseobacterium bernardetii
chryseobacterium carnis,Bacteria,,FALSE,chryseobacterium carnis,chryseobacterium carnis
chryseobacterium chaponense,Bacteria,,FALSE,chryseobacterium chaponense,chryseobacterium chaponense
chryseobacterium gallinarum,Bacteria,,FALSE,chryseobacterium gallinarum,chryseobacterium gallinarum
chryseobacterium gleum,Bacteria,flavobacterium gleum,FALSE,chryseobacterium gleum,chryseobacterium gleum
chryseobacterium hominis,Bacteria,chryseobacterium arothri,FALSE,chryseobacterium hominis,chryseobacterium hominis
chryseobacterium indologenes,Bacteria,flavobacterium indologenes,TRUE,chryseobacterium indologenes,chryseobacterium indologenes
chryseobacterium lactis,Bacteria,,FALSE,chryseobacterium lactis,chryseobacterium lactis
chryseobacterium nakagawai,Bacteria,,FALSE,chryseobacterium nakagawai,chryseobacterium nakagawai
chryseobacterium oncorhynchi,Bacteria,,FALSE,chryseobacterium oncorhynchi,chryseobacterium oncorhynchi
chryseobacterium oranimense,Bacteria,,FALSE,chryseobacterium oranimense,chryseobacterium oranimense
chryseobacterium piscicola,Bacteria,,TRUE,chryseobacterium piscicola,chryseobacterium piscicola
chryseobacterium scophthalmum,Bacteria,flavobacterium scophthalmum,FALSE,chryseobacterium scophthalmum,chryseobacterium scophthalmum
chryseobacterium shigense,Bacteria,,TRUE,chryseobacterium shigense,chryseobacterium shigense
chryseobacterium treverense,Bacteria,,FALSE,chryseobacterium treverense,chryseobacterium treverense
chryseobacterium tructae,Bacteria,,FALSE,chryseobacterium tructae,chryseobacterium tructae
chryseobacterium viscerum,Bacteria,,FALSE,chryseobacterium viscerum,chryseobacterium viscerum
citrobacter amalonaticus,Bacteria,levinea amalonatica; citrobacter intermedius biogroup a,FALSE,citrobacter amalonaticus,citrobacter amalonaticus
citrobacter braakii,Bacteria,citrobacter genomospecies 6,TRUE,citrobacter braakii,citrobacter braakii
citrobacter farmeri,Bacteria,citrobacter genomospecies 4; citrobacter amalonaticus biogroup 1,FALSE,citrobacter farmeri,citrobacter farmeri
citrobacter freundii,Bacteria,salmonella hormaechei; salmonella ballerup; escherichia freundii,TRUE,citrobacter freundii,citrobacter freundii
citrobacter gillenii,Bacteria,citrobacter sp. genomospecies 10,TRUE,citrobacter gillenii,citrobacter gillenii
citrobacter koseri,Bacteria,"levinea malonatica; citrobacter intermedius biogroup b; citrobacter diversus, etc.",TRUE,citrobacter koseri,citrobacter koseri
citrobacter koseri,Bacteria,levinea malonatica; citrobacter intermedius biogroup b; citrobacter diversus,TRUE,citrobacter koseri,citrobacter koseri
citrobacter murliniae,Bacteria,citrobacter sp. genomospecies 11,FALSE,citrobacter murliniae,citrobacter murliniae
citrobacter pasteurii,Bacteria,,FALSE,citrobacter pasteurii,citrobacter pasteurii
citrobacter rodentium,Bacteria,citrobacter sp. biovar 4280; citrobacter genomospecies 10,TRUE,citrobacter rodentium,citrobacter rodentium
citrobacter rodentium,Bacteria,citrobacter sp. biovar 4280; citrobacter genomospecies 9,TRUE,citrobacter rodentium,citrobacter rodentium
citrobacter sedlakii,Bacteria,citrobacter genomospecies 9,TRUE,citrobacter sedlakii,citrobacter sedlakii
citrobacter sedlakii,Bacteria,citrobacter genomospecies 8,TRUE,citrobacter sedlakii,citrobacter sedlakii
citrobacter werkmanii,Bacteria,citrobacter genomospecies 7,FALSE,citrobacter werkmanii,citrobacter werkmanii
citrobacter youngae,Bacteria,citrobacter genomospecies 5,FALSE,citrobacter youngae,citrobacter youngae
clostridioides difficile,Bacteria,clostridium difficile; peptoclostridium difficile; bacillus difficilis,FALSE,clostridioides difficile,clostridioides difficile
clostridium baratii,Bacteria,"clostridium perenne; clostridium paraperfringens; clostridium barati, etc.",TRUE,clostridium baratii,clostridium baratii
clostridium botulinum,Bacteria,"pacinia putrifica; ermengemillus botulinus; clostridium putrificum, etc.",TRUE,clostridium botulinum,clostridium botulinum
clostridium butyricum,Bacteria,"metallacter amylobacter; clostridium pseudotetanicum; clostridium naviculum, etc.",TRUE,clostridium butyricum,clostridium butyricum
clostridium cadaveris,Bacteria,plectridium cadaveris; bacillus cadaveris,FALSE,clostridium cadaveris,clostridium cadaveris
clostridium carnis,Bacteria,plectridium carnis; bacillus carnis,FALSE,clostridium carnis,clostridium carnis
clostridium celatum,Bacteria,,FALSE,clostridium celatum,clostridium celatum
clostridium chauvoei,Bacteria,clostridium chauvaei; bacterium chauvoei; bacillus chauvaei,TRUE,clostridium chauvoei,clostridium chauvoei
clostridium fallax,Bacteria,vallorillus fallax; bacillus fallax,FALSE,clostridium fallax,clostridium fallax
clostridium haemolyticum,Bacteria,clostridium hemolyticus bovis; bacillus hemolyticus,TRUE,clostridium haemolyticum,clostridium haemolyticum
clostridium intestinale,Bacteria,clostridium intestinalis,FALSE,clostridium intestinale,clostridium intestinale
clostridium moniliforme,Bacteria,"eubacterium moniliforme; cillobacterium moniliforme; bacillus repazii, etc.",FALSE,clostridium moniliforme,clostridium moniliforme
clostridium novyi,Bacteria,clostridium oedematiens; bacillus novyi,TRUE,clostridium novyi,clostridium novyi
clostridium perfringens,Bacteria,clostridium plagarum; bacterium welchii; bacillus perfringens,TRUE,clostridium perfringens,clostridium perfringens
clostridium septicum,Bacteria,vibrio septicus; bacillus septicus,TRUE,clostridium septicum,clostridium septicum
clostridium sporogenes,Bacteria,metchnikovillus sporogenes; clostridium sporogenes var. a; bacillus sporogenes var. a,TRUE,clostridium sporogenes,clostridium sporogenes
clostridium tertium,Bacteria,plectridium tertium; henrillus tertius; bacillus tertius,TRUE,clostridium tertium,clostridium tertium
clostridium tetani,Bacteria,bacillus tetani,TRUE,clostridium tetani,clostridium tetani
clostridium ventriculi,Bacteria,sarcina ventriculi; zymosarcina ventriculi,FALSE,clostridium ventriculi,clostridium ventriculi
clostridium vulturis,Bacteria,,FALSE,clostridium vulturis,clostridium vulturis
coenonia anatina,Bacteria,riemerella anatipestifer-like taxon 1502,FALSE,coenonia anatina,coenonia anatina
collinsella aerofaciens,Bacteria,pseudobacterium aerofaciens; eubacterium aerofaciens; bacteroides aerofaciens,TRUE,collinsella aerofaciens,collinsella aerofaciens
collinsella intestinalis,Bacteria,collinsella group 2,TRUE,collinsella intestinalis,collinsella intestinalis
collinsella stercoris,Bacteria,collinsella group 1,FALSE,collinsella stercoris,collinsella stercoris
collinsella tanakaei,Bacteria,,FALSE,collinsella tanakaei,collinsella tanakaei
comamonas kerstersii,Bacteria,commamonas terrigena dna group 3,FALSE,comamonas kerstersii,comamonas kerstersii
comamonas testosteroni,Bacteria,pseudomonas testosteroni,TRUE,comamonas testosteroni,comamonas testosteroni
coprobacter fastidiosus,Bacteria,,FALSE,coprobacter fastidiosus,coprobacter fastidiosus
corynebacterium accolens,Bacteria,cdc coryneform group g-1,FALSE,corynebacterium accolens,corynebacterium accolens
corynebacterium afermentans,Bacteria,cdc coryneform group anf-1,TRUE,corynebacterium afermentans,corynebacterium afermentans
corynebacterium amycolatum,Bacteria,corynebacterium asperum,TRUE,corynebacterium amycolatum,corynebacterium amycolatum
corynebacterium appendicis,Bacteria,,FALSE,corynebacterium appendicis,corynebacterium appendicis
corynebacterium aquatimens,Bacteria,,FALSE,corynebacterium aquatimens,corynebacterium aquatimens
corynebacterium argentoratense,Bacteria,,TRUE,corynebacterium argentoratense,corynebacterium argentoratense
corynebacterium aurimucosum,Bacteria,corynebacterium nigricans,FALSE,corynebacterium aurimucosum,corynebacterium aurimucosum
corynebacterium auris,Bacteria,,FALSE,corynebacterium auris,corynebacterium auris
corynebacterium auriscanis,Bacteria,,FALSE,corynebacterium auriscanis,corynebacterium auriscanis
corynebacterium bovis,Bacteria,,TRUE,corynebacterium bovis,corynebacterium bovis
corynebacterium camporealensis,Bacteria,,FALSE,corynebacterium camporealensis,corynebacterium camporealensis
corynebacterium canis,Bacteria,,FALSE,corynebacterium canis,corynebacterium canis
corynebacterium capitovis,Bacteria,,FALSE,corynebacterium capitovis,corynebacterium capitovis
corynebacterium caspium,Bacteria,,FALSE,corynebacterium caspium,corynebacterium caspium
corynebacterium ciconiae,Bacteria,,FALSE,corynebacterium ciconiae,corynebacterium ciconiae
corynebacterium confusum,Bacteria,,FALSE,corynebacterium confusum,corynebacterium confusum
corynebacterium coyleae,Bacteria,,FALSE,corynebacterium coyleae,corynebacterium coyleae
corynebacterium cystitidis,Bacteria,,FALSE,corynebacterium cystitidis,corynebacterium cystitidis
corynebacterium diphtheriae,Bacteria,"pacinia loeffleri; mycobacterium diphtheriae; microsporon diphtheriticum, etc.",TRUE,corynebacterium diphtheriae,corynebacterium diphtheriae
corynebacterium durum,Bacteria,,TRUE,corynebacterium durum,corynebacterium durum
corynebacterium falsenii,Bacteria,ef (enevold falsen) group 42 bacteria,FALSE,corynebacterium falsenii,corynebacterium falsenii
corynebacterium freiburgense,Bacteria,,TRUE,corynebacterium freiburgense,corynebacterium freiburgense
corynebacterium freneyi,Bacteria,,FALSE,corynebacterium freneyi,corynebacterium freneyi
corynebacterium glucuronolyticum,Bacteria,corynebacterium seminale,FALSE,corynebacterium glucuronolyticum,corynebacterium glucuronolyticum
corynebacterium hansenii,Bacteria,,FALSE,corynebacterium hansenii,corynebacterium hansenii
corynebacterium imitans,Bacteria,,FALSE,corynebacterium imitans,corynebacterium imitans
corynebacterium jeikeium,Bacteria,cdc coryneform group jk,TRUE,corynebacterium jeikeium,corynebacterium jeikeium
corynebacterium kroppenstedtii,Bacteria,,TRUE,corynebacterium kroppenstedtii,corynebacterium kroppenstedtii
corynebacterium kutscheri,Bacteria,corynebacterium murium; bacterium kutscheri; bacillus pesudotuberculosis murium,TRUE,corynebacterium kutscheri,corynebacterium kutscheri
corynebacterium lipophiloflavum,Bacteria,,FALSE,corynebacterium lipophiloflavum,corynebacterium lipophiloflavum
corynebacterium macginleyi,Bacteria,cdc coryneform group g-1 (genomospecies iii),TRUE,corynebacterium macginleyi,corynebacterium macginleyi
corynebacterium massiliense,Bacteria,,TRUE,corynebacterium massiliense,corynebacterium massiliense
corynebacterium mastitidis,Bacteria,,TRUE,corynebacterium mastitidis,corynebacterium mastitidis
corynebacterium matruchotii,Bacteria,"oospora matruchoti; cladothrix matruchoti; bacterionema matruchotii, etc.",TRUE,corynebacterium matruchotii,corynebacterium matruchotii
corynebacterium minutissimum,Bacteria,,FALSE,corynebacterium minutissimum,corynebacterium minutissimum
corynebacterium mucifaciens,Bacteria,,FALSE,corynebacterium mucifaciens,corynebacterium mucifaciens
corynebacterium mustelae,Bacteria,,FALSE,corynebacterium mustelae,corynebacterium mustelae
corynebacterium mycetoides,Bacteria,,FALSE,corynebacterium mycetoides,corynebacterium mycetoides
corynebacterium pelargi,Bacteria,,FALSE,corynebacterium pelargi,corynebacterium pelargi
corynebacterium phocae,Bacteria,,FALSE,corynebacterium phocae,corynebacterium phocae
corynebacterium pilbarense,Bacteria,,FALSE,corynebacterium pilbarense,corynebacterium pilbarense
corynebacterium pilosum,Bacteria,,TRUE,corynebacterium pilosum,corynebacterium pilosum
corynebacterium propinquum,Bacteria,cdc coryneform group anf-3,TRUE,corynebacterium propinquum,corynebacterium propinquum
corynebacterium pseudodiphthericum,Bacteria,"mycobacterium pseudodiphthericum; corynebacterium pseudodiphthericum; corynebacterium hofmannii, etc.",FALSE,corynebacterium pseudodiphthericum,corynebacterium pseudodiphthericum
corynebacterium pseudotuberculosis,Bacteria,"mycobacterium tuberculosis-ovis; corynebacterium pseudotuberculosis-ovis; corynebacterium preisz-nocardi, etc.",TRUE,corynebacterium pseudotuberculosis,corynebacterium pseudotuberculosis
corynebacterium pyruviciproducens,Bacteria,,TRUE,corynebacterium pyruviciproducens,corynebacterium pyruviciproducens
corynebacterium resistens,Bacteria,,FALSE,corynebacterium resistens,corynebacterium resistens
corynebacterium riegelii,Bacteria,,TRUE,corynebacterium riegelii,corynebacterium riegelii
corynebacterium sphenisci,Bacteria,,FALSE,corynebacterium sphenisci,corynebacterium sphenisci
corynebacterium spheniscorum,Bacteria,,FALSE,corynebacterium spheniscorum,corynebacterium spheniscorum
corynebacterium sputi,Bacteria,,FALSE,corynebacterium sputi,corynebacterium sputi
corynebacterium striatum,Bacteria,bacterium striatum,TRUE,corynebacterium striatum,corynebacterium striatum
corynebacterium suicordis,Bacteria,,FALSE,corynebacterium suicordis,corynebacterium suicordis
corynebacterium sundsvallense,Bacteria,,FALSE,corynebacterium sundsvallense,corynebacterium sundsvallense
corynebacterium timonense,Bacteria,,FALSE,corynebacterium timonense,corynebacterium timonense
corynebacterium trachiae,Bacteria,,FALSE,corynebacterium trachiae,corynebacterium trachiae
corynebacterium tuberculostearicum,Bacteria,,TRUE,corynebacterium tuberculostearicum,corynebacterium tuberculostearicum
corynebacterium ulcerans,Bacteria,,TRUE,corynebacterium ulcerans,corynebacterium ulcerans
corynebacterium ulceribovis,Bacteria,,FALSE,corynebacterium ulceribovis,corynebacterium ulceribovis
corynebacterium urealyticum,Bacteria,cdc coryneform group d-4,TRUE,corynebacterium urealyticum,corynebacterium urealyticum
corynebacterium urealyticum,Bacteria,cdc coryneform group d-2,TRUE,corynebacterium urealyticum,corynebacterium urealyticum
corynebacterium ureicelerivorans,Bacteria,,TRUE,corynebacterium ureicelerivorans,corynebacterium ureicelerivorans
corynebacterium uterequi,Bacteria,,FALSE,corynebacterium uterequi,corynebacterium uterequi
corynebacterium xerosis,Bacteria,"pacinia neisseri; mycobacterium xerosis; corynebacterium conjunctivae, etc.",TRUE,corynebacterium xerosis,corynebacterium xerosis
coxiella burnetii,Bacteria,rickettsia diaporica; rickettsia burneti,TRUE,coxiella burnetii,coxiella burnetii
cricetibacter osteomyelitidis,Bacteria,krause hamster group 2; bisgaard taxon 23,FALSE,cricetibacter osteomyelitidis,cricetibacter osteomyelitidis
cronobacter dublinensis,Bacteria,,FALSE,cronobacter dublinensis,cronobacter dublinensis
cronobacter malonaticus,Bacteria,cronobacter sakazakii subsp. malonaticus,TRUE,cronobacter malonaticus,cronobacter malonaticus
cronobacter sakazakii,Bacteria,enterobacter sakazakii,TRUE,cronobacter sakazakii,cronobacter sakazakii
cronobacter turicensis,Bacteria,,TRUE,cronobacter turicensis,cronobacter turicensis
cronobacter universalis,Bacteria,cronobacter genomospecies 1,FALSE,cronobacter universalis,cronobacter universalis
crossiella equi,Bacteria,,FALSE,crossiella equi,crossiella equi
cruoricaptor ignavus,Bacteria,,FALSE,cruoricaptor ignavus,cruoricaptor ignavus
cryptobacterium curtum,Bacteria,,TRUE,cryptobacterium curtum,cryptobacterium curtum
cupriavidus gilardii,Bacteria,wautersia gilardii; ralstonia gilardii,FALSE,cupriavidus gilardii,cupriavidus gilardii
cupriavidus metallidurans,Bacteria,ralstonia metallidurans; wautersia metallidurans,FALSE,cupriavidus metallidurans,cupriavidus metallidurans
cupriavidus pauculus,Bacteria,wautersia paucula; ralstonia paucula; cdc group ivc-2,TRUE,cupriavidus pauculus,cupriavidus pauculus
cupriavidus respiraculi,Bacteria,wautersia respiraculi; ralstonia respiraculi,FALSE,cupriavidus respiraculi,cupriavidus respiraculi
curtobacterium flaccumfaciens,Bacteria,,FALSE,curtobacterium flaccumfaciens,curtobacterium flaccumfaciens
deefgea chitinilytica,Bacteria,,TRUE,deefgea chitinilytica,deefgea chitinilytica
delftia acidovorans,Bacteria,"pseudomonas indoloxidans; pseudomonas desmolytica; comamonas acidovorans, etc.",TRUE,delftia acidovorans,delftia acidovorans
delftia lacustris,Bacteria,,FALSE,delftia lacustris,delftia lacustris
delftia tsuruhatensis,Bacteria,,TRUE,delftia tsuruhatensis,delftia tsuruhatensis
dermabacter hominis,Bacteria,,FALSE,dermabacter hominis,dermabacter hominis
dermacoccus barathri,Bacteria,,FALSE,dermacoccus barathri,dermacoccus barathri
dermatophilus congolensis,Bacteria,"tetragenus congolensis; nocardia dermatonomus; dermatophylus congolense, etc.",TRUE,dermatophilus congolensis,dermatophilus congolensis
desmospora activa,Bacteria,,TRUE,desmospora activa,desmospora activa
desulfomicrobium orale,Bacteria,,TRUE,desulfomicrobium orale,desulfomicrobium orale
desulfovibrio desulfuricans,Bacteria,"vibrio cholinicus;   spirillum desulfuricans; microspira desulfuricans, etc.",TRUE,desulfovibrio desulfuricans,desulfovibrio desulfuricans
desulfovibrio intestinalis,Bacteria,,FALSE,desulfovibrio intestinalis,desulfovibrio intestinalis
desulfovibrio legallii,Bacteria,desulfovibrio legallis,FALSE,desulfovibrio legallii,desulfovibrio legallii
desulfovibrio piger,Bacteria,desulfomonas pigra,TRUE,desulfovibrio piger,desulfovibrio piger
desulfovibrio vulgaris,Bacteria,,FALSE,desulfovibrio vulgaris,desulfovibrio vulgaris
devriesea agamarum,Bacteria,,FALSE,devriesea agamarum,devriesea agamarum
dialister invisus,Bacteria,,TRUE,dialister invisus,dialister invisus
dialister micraerophilus,Bacteria,,TRUE,dialister micraerophilus,dialister micraerophilus
dialister pneumosintes,Bacteria,bacteroides pneumosintes; bacterium pneumosintes; bacillus pneumosintes,TRUE,dialister pneumosintes,dialister pneumosintes
dialister propionicifaciens,Bacteria,,FALSE,dialister propionicifaciens,dialister propionicifaciens
dialister succinatiphilus,Bacteria,,TRUE,dialister succinatiphilus,dialister succinatiphilus
dichelobacter nodosus,Bacteria,ristella nodosa; fusiformis nodosus; bacteroides nodosus,TRUE,dichelobacter nodosus,dichelobacter nodosus
dietzia aurantiaca,Bacteria,,FALSE,dietzia aurantiaca,dietzia aurantiaca
dietzia cinnamea,Bacteria,,FALSE,dietzia cinnamea,dietzia cinnamea
dietzia maris,Bacteria,rhodococcus maris; brevibacterium maris,TRUE,dietzia maris,dietzia maris
dietzia papillomatosis,Bacteria,,FALSE,dietzia papillomatosis,dietzia papillomatosis
diplorickettsia massiliensis,Bacteria,,FALSE,diplorickettsia massiliensis,diplorickettsia massiliensis
dokdonella koreensis,Bacteria,,TRUE,dokdonella koreensis,dokdonella koreensis
dolosigranulum pigrum,Bacteria,,TRUE,dolosigranulum pigrum,dolosigranulum pigrum
dorea formicigenerans,Bacteria,eubacterium formicigenerans,TRUE,dorea formicigenerans,dorea formicigenerans
dorea longicatena,Bacteria,,TRUE,dorea longicatena,dorea longicatena
dyella japonica,Bacteria,,FALSE,dyella japonica,dyella japonica
dysgonomonas capnocytophagoides,Bacteria,cdc group df-3,FALSE,dysgonomonas capnocytophagoides,dysgonomonas capnocytophagoides
dysgonomonas gadei,Bacteria,,FALSE,dysgonomonas gadei,dysgonomonas gadei
dysgonomonas hofstadii,Bacteria,,FALSE,dysgonomonas hofstadii,dysgonomonas hofstadii
dysgonomonas mossii,Bacteria,,FALSE,dysgonomonas mossii,dysgonomonas mossii
edwardsiella hoshinae,Bacteria,,FALSE,edwardsiella hoshinae,edwardsiella hoshinae
edwardsiella ictaluri,Bacteria,,TRUE,edwardsiella ictaluri,edwardsiella ictaluri
edwardsiella tarda,Bacteria,paracolobactrum anguillimortiferum; edwardsiella anguillimortifera,TRUE,edwardsiella tarda,edwardsiella tarda
effusibacillus consociatus,Bacteria,alicyclobacillus consociatus,FALSE,effusibacillus consociatus,effusibacillus consociatus
eggerthella lenta,Bacteria,,TRUE,eggerthella lenta,eggerthella lenta
eggerthella sinensis,Bacteria,,FALSE,eggerthella sinensis,eggerthella sinensis
eggerthia catenaformis,Bacteria,lactobacillus catenaformis;catenabacterium catenaforme; bacteroides catenaformis,FALSE,eggerthia catenaformis,eggerthia catenaformis
ehrlichia canis,Bacteria,rickettsia canis; nicollea canis; kurlovia canis,TRUE,ehrlichia canis,ehrlichia canis
ehrlichia chaffeensis,Bacteria,,TRUE,ehrlichia chaffeensis,ehrlichia chaffeensis
ehrlichia ewingii,Bacteria,,TRUE,ehrlichia ewingii,ehrlichia ewingii
ehrlichia muris,Bacteria,,TRUE,ehrlichia muris,ehrlichia muris
ehrlichia ruminantium,Bacteria,"rickettsia ruminantium; nicollea ruminantium; kurlovia ruminantium, etc.",TRUE,ehrlichia ruminantium,ehrlichia ruminantium
eikenella corrodens,Bacteria,ristella corrodens; bacteroides corrodens,TRUE,eikenella corrodens,eikenella corrodens
eisenbergiella tayi,Bacteria,,FALSE,eisenbergiella tayi,eisenbergiella tayi
elizabethkingia anophelis,Bacteria,elizabethkingia genomospecies 1,FALSE,elizabethkingia anophelis,elizabethkingia anophelis
elizabethkingia meningoseptica,Bacteria,flavobacterium meningosepticum; chryseobacterium meningosepticum,TRUE,elizabethkingia meningoseptica,elizabethkingia meningoseptica
elizabethkingia miricola,Bacteria,chryseobacterium miricola,FALSE,elizabethkingia miricola,elizabethkingia miricola
empedobacter brevis,Bacteria,"pseudobacterium brevis; flavobacterium brevi; empedobacter breve, etc.",TRUE,empedobacter brevis,empedobacter brevis
empedobacter falsenii,Bacteria,wautersiella falsenii,FALSE,empedobacter falsenii,empedobacter falsenii
enteractinococcus coprophilus,Bacteria,,FALSE,enteractinococcus coprophilus,enteractinococcus coprophilus
enterobacter asburiae,Bacteria,cdc enteric group 17,TRUE,enterobacter asburiae,enterobacter asburiae
enterobacter cancerogenus,Bacteria,erwinia cancerogena; enterobacter taylorae; cdc enteric group 19,TRUE,enterobacter cancerogenus,enterobacter cancerogenus
enterobacter cloacae,Bacteria,"cloaca cloacae; bacterium cloaca; bacillus cloacae, etc.",TRUE,enterobacter cloacae,enterobacter cloacae
enterobacter hormaechei,Bacteria,cdc enteric group 75,TRUE,enterobacter hormaechei,enterobacter hormaechei
enterobacter kobei,Bacteria,nih group 21,TRUE,enterobacter kobei,enterobacter kobei
enterobacter ludwigii,Bacteria,,TRUE,enterobacter ludwigii,enterobacter ludwigii
enterococcus alcedinis,Bacteria,,FALSE,enterococcus alcedinis,enterococcus alcedinis
enterococcus asini,Bacteria,,FALSE,enterococcus asini,enterococcus asini
enterococcus avium,Bacteria,streptococcus avium,TRUE,enterococcus avium,enterococcus avium
enterococcus caccae,Bacteria,,FALSE,enterococcus caccae,enterococcus caccae
enterococcus casseliflavus,Bacteria,"streptococcus faecium var. casseliflavus; enterococcus flavescens; streptococcus casseliflavus, etc.",TRUE,enterococcus casseliflavus,enterococcus casseliflavus
enterococcus cecorum,Bacteria,streptococcus cecorum,FALSE,enterococcus cecorum,enterococcus cecorum
enterococcus columbae,Bacteria,,FALSE,enterococcus columbae,enterococcus columbae
enterococcus durans,Bacteria,streptococcus durans,TRUE,enterococcus durans,enterococcus durans
enterococcus faecalis,Bacteria,"streptococcus liquefaciens; streptococcus glycerinaceus; micrococcus zymogenes, etc.",TRUE,enterococcus faecalis,enterococcus faecalis
enterococcus faecium,Bacteria,streptococcus faecium,TRUE,enterococcus faecium,enterococcus faecium
enterococcus gallinarum,Bacteria,streptococcus gallinarum,TRUE,enterococcus gallinarum,enterococcus gallinarum
enterococcus gilvus,Bacteria,,TRUE,enterococcus gilvus,enterococcus gilvus
enterococcus hirae,Bacteria,,TRUE,enterococcus hirae,enterococcus hirae
enterococcus mundtii,Bacteria,,TRUE,enterococcus mundtii,enterococcus mundtii
enterococcus pallens,Bacteria,,TRUE,enterococcus pallens,enterococcus pallens
enterococcus pseudoavium,Bacteria,,FALSE,enterococcus pseudoavium,enterococcus pseudoavium
enterococcus raffinosus,Bacteria,,TRUE,enterococcus raffinosus,enterococcus raffinosus
enterococcus ratti,Bacteria,,FALSE,enterococcus ratti,enterococcus ratti
enterococcus thailandicus,Bacteria,enterococcus sanguinicola,TRUE,enterococcus thailandicus,enterococcus thailandicus
enterococcus villorum,Bacteria,enterococcus porcinus,FALSE,enterococcus villorum,enterococcus villorum
eremococcus coleocola,Bacteria,,FALSE,eremococcus coleocola,eremococcus coleocola
erwinia persicinus,Bacteria,erwinia persicinus; erwinia nulandii,FALSE,erwinia persicinus,erwinia persicinus
erysipelatoclostridium ramosum,Bacteria,"clostridium ramosum; bacillus ramosus; ramibacterium ramosum, etc.",FALSE,erysipelatoclostridium ramosum,erysipelatoclostridium ramosum
erysipelothrix rhusiopathiae,Bacteria,"erysipelothrix porci; erysipelothrix murisepticus; erysipelothrix insidiosa, etc.",TRUE,erysipelothrix rhusiopathiae,erysipelothrix rhusiopathiae
erysipelothrix tonsillarum,Bacteria,,TRUE,erysipelothrix tonsillarum,erysipelothrix tonsillarum
escherichia albertii,Bacteria,,TRUE,escherichia albertii,escherichia albertii
escherichia coli,Bacteria,enterococcus coli; bacterium coli; bacillus coli,TRUE,escherichia coli,escherichia coli
escherichia fergusonii,Bacteria,cdc enteric group 10,TRUE,escherichia fergusonii,escherichia fergusonii
escherichia marmotae,Bacteria,,FALSE,escherichia marmotae,escherichia marmotae
escherichia vulneris,Bacteria,enterobacter vulneris; cdc enteric group 1; alma group 1,TRUE,escherichia vulneris,escherichia vulneris
eubacterium callanderi,Bacteria,,FALSE,eubacterium callanderi,eubacterium callanderi
eubacterium combesii,Bacteria,cillobacterium combesi,FALSE,eubacterium combesii,eubacterium combesii
eubacterium limosum,Bacteria,"mycobacterium limosum; butyribacterium rettgeri; butyribacterium limosum, etc.",TRUE,eubacterium limosum,eubacterium limosum
eubacterium multiforme,Bacteria,cillobacterium multiforme; bacillus multiformis,FALSE,eubacterium multiforme,eubacterium multiforme
eubacterium plexicaudatum,Bacteria,,FALSE,eubacterium plexicaudatum,eubacterium plexicaudatum
ewingella americana,Bacteria,,TRUE,ewingella americana,ewingella americana
exiguobacterium acetylicum,Bacteria,flavobacterium acetylicum; brevibacterium acetylicum,TRUE,exiguobacterium acetylicum,exiguobacterium acetylicum
exiguobacterium aurantiacum,Bacteria,,FALSE,exiguobacterium aurantiacum,exiguobacterium aurantiacum
facklamia hominis,Bacteria,,FALSE,facklamia hominis,facklamia hominis
facklamia ignava,Bacteria,,FALSE,facklamia ignava,facklamia ignava
facklamia languida,Bacteria,facklamia sp. 1144-97,FALSE,facklamia languida,facklamia languida
facklamia miroungae,Bacteria,,FALSE,facklamia miroungae,facklamia miroungae
facklamia sourekii,Bacteria,,FALSE,facklamia sourekii,facklamia sourekii
faecalitalea cylindroides,Bacteria,"ristella cylindroides; pseudobacterium cylindroide; eubacterium cylindroides, etc.",FALSE,faecalitalea cylindroides,faecalitalea cylindroides
falsiporphyromonas endometrii,Bacteria,,FALSE,falsiporphyromonas endometrii,falsiporphyromonas endometrii
fastidiosipila sanguinis,Bacteria,,FALSE,fastidiosipila sanguinis,fastidiosipila sanguinis
