Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
alcelaphine herpesvirus 2,alcelaphine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
allpaahuayo,allpaahuayo,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
amapari,amapari,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
anopheles b,anopheles b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
apoi,apoi,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
araguari,araguari,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
aravan,aravan,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
arctic squirrel hepatitis,arctic squirrel hepatitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
arumowot,arumowot,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ateline herpesvirus 1,ateline herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ateline herpesvirus 2,ateline herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
baboon orthoreovirus,baboon orthoreovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
baboon polyomavirus 2,baboon polyomavirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bakau,bakau,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bangui,bangui,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
barur,barur,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bear canyon,bear canyon,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bebaru,bebaru,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
berrimah,berrimah,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bimiti,bimiti,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bivens arm,bivens arm,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bk polyomavirus,bk polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bluetongue,bluetongue,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
border disease,border disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus a,bovine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus b,bovine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus c,bovine adenovirus c,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus d,bovine adenovirus d,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine adenovirus e,bovine adenovirus e,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine astrovirus,bovine astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine coronavirus,bovine coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine enteric calicivirus strain nb,bovine enteric calicivirus strain nb,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine ephemeral fever,bovine ephemeral fever,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine foamy,bovine foamy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 1,bovine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 2,bovine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 4,bovine herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine herpesvirus 5,bovine herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine immunodeficiency,bovine immunodeficiency,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine norovirus-ch126,bovine norovirus-ch126,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
