Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
ilheus,ilheus,virus,1,0,1,1,1,1,ilheus,vector,1,1,"mosquito (Aedes, Culex, Coquillettidia, Haemagogus, Psorophora, Sabethes, Trichoprosopon and Wyeomyia spp.",1,hantavirus infection,1
influenza a,influenza a,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1
influenza b,influenza b,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1
influenza c,influenza c,virus,1,1,1,1,1,1,influenza,"respiratory, direct",1,0,NA,0,NA,1
isfahan,isfahan,virus,1,0,0,1,1,1,vesicular stomatitis-related,vector,1,1,sandfly,0,NA,0
japanese encephalitis,japanese encephalitis,virus,1,0,1,1,1,1,japanese encephalitis,vector,1,1,"mosquito (aedes spp., anopheles barbirostris and hyrcanus groups, culex tritaeniorhynchus group and cu. annulus)",1,japanese encephalitis,1
junin,junin,virus,1,1,1,1,1,1,argentine haemorrhagic fever,"direct, food, water",1,0,NA,1,argentinian hemorrhagic fever,1
kairi,kairi,virus,1,0,1,1,1,1,bunyaviridae infections misc.,vector,1,1,mosquito,0,NA,1
kasokero,kasokero,virus,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1
kokobera,kokobera,virus,1,0,1,1,1,1,barmah forest-related,vector,1,1,"mosquito (Aedes vigilax, Ae. camptorhynchus, Culex spp., Ae. normanensis and Coquillettidia spp)",0,NA,1
kotonkan,kotonkan,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
koutango,koutango,virus,1,1,1,1,1,1,spondweni,vector,1,1,"mosquito (Aedes circumluteolus, Armigeres, Culex, Eretmapodites, Mansonia)",0,NA,1
kyasanur forest disease,kyasanur forest disease,virus,1,1,1,1,1,1,kyasanur forest disease,vector,1,1,"tick (Haemaphysalis spinigera, H. turturis, H. papuana)",1,Tick-borne Encephalitis,1
laguna negra,laguna negra,virus,1,0,1,1,1,1,hantavirus pulmonary syndrome,"direct, environmental, respiratory",1,0,NA,1,hantavirus pulmonary syndrome,1
lake victoria marburgvirus,marburg,virus,1,1,1,1,1,1,marburg virus disease,"direct, environmental, fluids, respiratory",1,0,NA,1,marburg virus,1
lassa,lassa,virus,1,1,1,1,1,1,lassa fever,"direct, food, environmental",1,0,NA,1,lassa fever,1
lebombo,lebombo,virus,1,1,1,0,1,0,NA,vector,0,0,NA,0,NA,1
ljungan,ljungan,virus,1,1,0,1,1,1,enterovirus infection,"fecal-oral, direct, respiratory",0,0,NA,1,enterovirus infecton,0
louping ill,louping ill,virus,1,1,1,1,1,1,louping ill,"food, vector",1,1,tick (ixodes ricinus),0,NA,1
lymphocytic choriomeningitis,lymphocytic choriomeningitis,virus,1,1,1,1,1,1,lymphocytic choriomeningitis,"direct, food, respiratory",1,0,NA,1,encephalitis,1
