vVirusNameCorrected,hHostNameFinal,WildDomInReference,DetectionMethod,DetectionQuality,Reference
Epizootic_hemorrhagic_disease_virus,Cervus_nippon,domestic,Antibodies,0,Waldrup et al. 1989
Ovine_herpesvirus_2,Cervus_timorensis,wild,PCR,2,Tomkins et al. 1997
Sin_Nombre_virus,Chaetodipus_hispidus,wild,Antibodies,0,Torres-Perez 2010
Patois_virus,Chaetodipus_spinatus,wild,Antibodies,0,Scherer et al. 1972
Human_picobirnavirus,Chaetophractus_vellerosus,captive,PAGE,0,Masachessi et al. 2007
Lymphocytic_choriomeningitis_virus,Chionomys_roberti,wild,Antibodies,0,Laakkonen et al. 2006
Vesicular_stomatitis_Indiana_virus,Chironectes_minimus,wild,plaque reduction neutralization,1,Tesh et al. 1969
Adeno-associated_virus-1,Chlorocebus_aethiops,captive,Antibodies,0,Parks et al. 1970
African_green_monkey_polyomavirus,Chlorocebus_aethiops,captive,Isolation,2,zur Hausen et al. 1979
African_green_monkey_simian_foamy_virus,Chlorocebus_aethiops,wild,Antibodies,0,Brooks et al.
Cercopithecine_herpesvirus_5,Chlorocebus_aethiops,captive,isolation,2,Black et al. 1963
Cercopithecine_herpesvirus_9,Chlorocebus_aethiops,captive,Isolation,2,Clarkson et al. 1967
Chikungunya_virus,Chlorocebus_aethiops,wild,Isolation,2,Diallo et al. 1999
Lake_Victoria_marburgvirus,Chlorocebus_aethiops,wild,Isolation,2,Luby et al. 1969
Simian_hemorrhagic_fever_virus,Chlorocebus_aethiops,captive,Isolation,2,Gravell et al. 1986
Yaba_monkey_tumor_virus,Chlorocebus_aethiops,wild,Antibodies,0,Downie 1974
Yellow_fever_virus,Chlorocebus_aethiops,wild,Isolation,2,Deubel et al. 1985
Human_parainfluenza_virus_3,Chlorocebus_pygerythrus,wild,Antibodies,1,Sasaki et al. 2013
Simian_foamy_virus,Chlorocebus_pygerythrus,wild,PCR,2,Hussain et al. 2003
Yaba_monkey_tumor_virus,Chlorocebus_pygerythrus,wild,PCR,2,Brettschneider et al. 2003
Cercopithecine_herpesvirus_14,Chlorocebus_sabaeus,captive,isolation,2,Bocker et al. 1980
Cercopithecine_herpesvirus_2,Chlorocebus_sabaeus,wild,Isolation,2,Malherbe & Harwin 1958
Measles_virus,Chlorocebus_sabaeus,wild,Isolation,2,Fowler & Miller. 2003
Borna_disease_virus,Choeropsis_liberiensis,wild,Antibodies,0,Shuppel et al. 1994
Borna_disease_virus,Choloepus_didactylus,wild,Antibodies,0,Shuppel et al. 1994
Mayaro_virus,Choloepus_didactylus,wild,Antibodies,0,de Thoisy et al. 2003
Changuinola_virus,Choloepus_hoffmanni,wild,Isolation,2,Seymour et al. 1983
Mayaro_virus,Choloepus_hoffmanni,wild,Antibodies,0,de Thoisy et al. 2003
St._Louis_encephalitis_virus,Choloepus_hoffmanni,wild,Antibodies,0,Seymour et al. 1983
Vesicular_stomatitis_Indiana_virus,Choloepus_hoffmanni,wild,plaque reduction neutralization,1,Tesh et al. 1969
Rabies_virus,Chrotopterus_auritus,wild,Isolation,2,Silva et al. 1968
Rabies_virus,Chrysocyon_brachyurus,wild,Antibodies,0,Deem et al. 2005
Mayaro_virus,Coendou_prehensilis,wild,Antibodies,0,de Thoisy et al. 2003
Vesicular_stomatitis_Indiana_virus,Coendou_rothschildi,wild,plaque reduction neutralization,1,Tesh et al. 1969
Measles_virus,Colobus_guereza,wild,Isolation,2,Scott et al. 1975
Simian_foamy_virus,Colobus_guereza,wild,PCR,2,Hussain et al. 2003
Simian_immunodeficiency_virus,Colobus_guereza,wild,PCR,2,Peeters et al. 2002
Yellow_fever_virus,Colobus_polykomos,wild,Antibodies,0,Haddow et al. 1947
Foot-and-mouth_disease_virus,Connochaetes_gnou,wild,Isolation,2,"Walker, 1934; From Weaver and Karesh In Press"
Lumpy_skin_disease_virus,Connochaetes_gnou,wild,SNT,1,Barnard 1997
Akabane_virus,Connochaetes_taurinus,wild,Antibodies,0,Davies et al. 1985
Alcelaphine_herpesvirus_1,Connochaetes_taurinus,wild,Isolation,2,Plowright et al. 1960
Alcelaphine_herpesvirus_2,Connochaetes_taurinus,wild,Antibodies,0,Reid et al. 1973
Bluetongue_virus,Connochaetes_taurinus,wild,Antibodies,0,Hamblin et al. 1990
Bovine_viral_diarrhea_virus_1,Connochaetes_taurinus,wild,SNT,1,Hamblin & Hedger 1979
Foot-and-mouth_disease_virus,Connochaetes_taurinus,wild,Antibodies,0,Hamblin et al. 1990
Lumpy_skin_disease_virus,Connochaetes_taurinus,wild,SNT,1,Barnard 1997
Rift_Valley_fever_virus,Connochaetes_taurinus,wild,Antibodies,0,Capobianco Dondona 2016
Rinderpest_virus,Connochaetes_taurinus,wild,Antibodies,0,Taylor & Watson 1967
Rabies_virus,Corynorhinus_townsendii,wild,Isolation,2,Strieker et al. 2010
Monkeypox_virus,Cricetomys_emini,wild,Antibodies,0,Hutin et al. 2001
Dugbe_virus,Cricetomys_gambianus,wild,Isolation,2,Beran 1994; Kemp 1975; Kemp et al. 1974; CDC ArboCat Report
Ife_virus,Cricetomys_gambianus,wild,Antibodies,0,Ezefeika et al. 1987
Kotonkan_virus,Cricetomys_gambianus,wild,Antibodies,0,Kemp et al 1973
Monkeypox_virus,Cricetomys_gambianus,wild,PCR,2,CDC
Qalyub_virus,Cricetomys_gambianus,wild,Isolation,2,Saluzzo et al. 1986
Uganda_S_virus,Cricetomys_gambianus,wild,Isolation,2,Kemp 1975; Kemp et al. 1974
Sendai_virus,Cricetus_cricetus,captive,Isolation,2,Parker et al. 1968
Borna_disease_virus,Crocidura_leucodon,wild,PCR,2,Hilbe et al. 2006
Thiafora_virus,Crocidura_russula,wild,Isolation,2,Chastel 1989
African_horse_sickness_virus,Crocuta_crocuta,wild,Antibodies,0,Binepal et al. 1992
Bluetongue_virus,Crocuta_crocuta,wild,Antibodies,0,Alexander et al. 1994
Canine_distemper_virus,Crocuta_crocuta,domestic,Antibodies,0,Prager et al. 2013
Feline_coronavirus,Crocuta_crocuta,wild,PCR,2,East et al. 2004
Feline_immunodeficiency_virus,Crocuta_crocuta,wild,Antibodies,0,Harrison et al.2002
Rabies_virus,Crocuta_crocuta,wild,PCR,2,Lembo et al. 2008
Venezuelan_equine_encephalitis_virus,Cuniculus_paca,wild,Antibodies,0,Grayson & Galido 1968
Rabies_virus,Cynictis_penicillata,wild,PCR,2,Cissi et al. 1985
Rabies_virus,Cynomops_abrasus,wild,Isolation,2,Kobayashi et al. 2010 Note that this species is referred to as Molossus abrasus in this text.
Rabies_virus,Cynomops_planirostris,wild,Antibodies,0,Queiroz et al. 2009
Monkeypox_virus,Cynomys_ludovicianus,wild,PCR,2,Hutson et al.2007
Carey_Island_virus,Cynopterus_brachyotis,wild,Isolation,2,Calisher et al. 2006
Dengue_virus,Cynopterus_brachyotis,wild,Antibodies,0,Geevarghese & Banerjee 1990
Issyk-Kul_virus,Cynopterus_brachyotis,wild,Isolation,2,Calisher et al. 2006
Jugra_virus,Cynopterus_brachyotis,wild,Isolation,2,Calisher et al. 2006
Nipah_virus,Cynopterus_brachyotis,wild,Isolation,2,WHO
Phnom_Penh_bat_virus,Cynopterus_brachyotis,wild,Isolation,2,Beran & Steele 1994
Rabies_virus,Cynopterus_brachyotis,wild,Isolation,2,Smith et al. 1967
Wesselsbron_virus,Cynopterus_brachyotis,wild,Antibodies,0,Geevarghese & Banerjee 1990
Bunyamwera_virus,Cynopterus_sphinx,wild,Antibodies,0,CDC Arbocat Report 1984
Influenza_A_virus,Cynopterus_sphinx,wild,Antibodies,0,Kelkar et al. 1981
Japanese_encephalitis_virus,Cynopterus_sphinx,wild,Isolation,2,Calisher et al. 2006; Sulkin & Allen 1974; Johnsen et al. 1974
Kyasanur_Forest_disease_virus,Cynopterus_sphinx,wild,Isolation,2,Calisher et al. 2006
Lagos_bat_virus,Cynopterus_sphinx,wild,Antibodies,0,Bhat et al. 1978
Canine_distemper_virus,Cystophora_cristata,wild,Antibodies,0,Stuen et al. 1994
Influenza_A_virus,Cystophora_cristata,wild,Antibodies,0,Stuen et al. 1994
Phocid_herpesvirus_1,Cystophora_cristata,wild,Antibodies,0,Stuen et al. 1994
Phocine_distemper_virus,Cystophora_cristata,wild,Antibodies,0,Stuen et al. 1994
Bluetongue_virus,Dama_dama,domestic,Antibodies,0,Ruiz-Fons et al. 2008
Bovine_adenovirus_A,Dama_dama,domestic,Antibodies,0,Morse et al. 2009
Bovine_ephemeral_fever_virus,Dama_dama,wild*,SNT,1,Aziz-Boaran et al. 2013
Bovine_herpesvirus_1,Dama_dama,wild,PCR,2,Kalman & Egyed 2005
Bovine_herpesvirus_2,Dama_dama,wild,PCR,2,Kalman & Egyed 2005
Bovine_herpesvirus_4,Dama_dama,wild,PCR,2,Kalman & Egyed 2005
Epizootic_hemorrhagic_disease_virus,Dama_dama,domestic,Antibodies,0,OIE Report 2006
Akabane_virus,Damaliscus_lunatus,wild,Antibodies,0,Davies et al. 1985
Bluetongue_virus,Damaliscus_lunatus,wild,Antibodies,0,Hamblin et al. 1990
Bovine_viral_diarrhea_virus_1,Damaliscus_lunatus,wild,SNT,1,Hamblin & Hedger 1979
Foot-and-mouth_disease_virus,Damaliscus_lunatus,wild,Antibodies,0,Hamblin et al. 1990
Crimean-Congo_hemorrhagic_fever_virus,Damaliscus_pygargus,wild,Antibodies,0,Shepherd et al. 1987
Bunyamwera_virus,Dasymys_incomtus,wild,Isolation,2,Johnson et al. 1977
Witwatersrand_virus,Dasymys_incomtus,wild,Antibodies,0,Henderson et al. 1972
Dengue_virus,Dasyprocta_leporina,wild,Antibodies,0,de Thouisy et al. 2004
Mayaro_virus,Dasyprocta_leporina,wild,Antibodies,0,de Thoisy et al. 2003
Yellow_fever_virus,Dasyprocta_leporina,wild,Antibodies,0,de Thoisy et al. 2004; McIntosh 1961
Mayaro_virus,Dasyprocta_punctata,wild,Antibodies,0,Seymour et al. 1983
Vesicular_stomatitis_Indiana_virus,Dasyprocta_punctata,wild,plaque reduction neutralization,1,Tesh et al. 1969
Eastern_equine_encephalitis_virus,Dasypus_novemcinctus,wild,Antibodies,0,Deem et al. 2009
Mayaro_virus,Dasypus_novemcinctus,wild,Antibodies,0,de Thoisy et al. 2003
St._Louis_encephalitis_virus,Dasypus_novemcinctus,wild,Antibodies,0,Day et al. 1995
Vesicular_stomatitis_Indiana_virus,Dasypus_novemcinctus,wild,plaque reduction neutralization,1,Tesh et al. 1969
Cetacean_morbillivirus_virus,Delphinus_delphis,wild,PCR,2,Birkun et al. 1999
Wesselsbron_virus,Desmodillus_auricularis,wild,Isolation,2,Beran 1994
Dengue_virus,Desmodus_rotundus,wild,Antibodies,0,Price 1978
Ilheus_virus,Desmodus_rotundus,wild,Antibodies,0,Price 1978
Rabies_virus,Desmodus_rotundus,wild,Isolation,2,Kobayashi et al. 2005
Rio_Bravo_virus,Desmodus_rotundus,wild,Antibodies,0,Ubico & McClean 1995
Tacaribe_virus,Desmodus_rotundus,wild,Antibodies,0,Price et al. 1978
Tamana_bat_virus,Desmodus_rotundus,wild,Antibodies,0,Price 1978
Venezuelan_equine_encephalitis_virus,Desmodus_rotundus,wild,Isolation,2,Calisher et al. 2006
Vesicular_stomatitis_Indiana_virus,Desmodus_rotundus,wild,plaque reduction neutralization,1,Ubico & McClean 1995
Vesicular_stomatitis_New_Jersey_virus,Desmodus_rotundus,wild,Antibodies,0,Ubico & McClean 1995
Rabies_virus,Diaemus_youngi,wild,Isolation,2,Castilho et al. 2008
African_horse_sickness_virus,Diceros_bicornis,wild,ELISA,0,Fischer-Tenhagen et al. 2000
Bluetongue_virus,Diceros_bicornis,wild,ELISA,0,Fischer-Tenhagen et al. 2000
Bovine_viral_diarrhea_virus_1,Diceros_bicornis,wild,ELISA,0,Fischer-Tenhagen et al. 2000
Crimean-Congo_hemorrhagic_fever_virus,Diceros_bicornis,wild,Antibodies,0,Shepherd et al. 1987
Rabies_virus,Diclidurus_albus,wild,Isolation,2,Goodwin & Greenhall 1961
Catu_virus,Didelphis_marsupialis,wild,Isolation,2,Shope et al. 1988
Guama_virus,Didelphis_marsupialis,wild,Isolation,2,Shope et al. 1988
Marituba_virus,Didelphis_marsupialis,wild,Isolation,2,Shope et al. 1988
Mayaro_virus,Didelphis_marsupialis,wild,Antibodies,0,de Thoisy et al. 2003
Oriboca_virus,Didelphis_marsupialis,wild,Isolation,2,Shopeet al. 1988
Patois_virus,Didelphis_marsupialis,wild,Antibodies,0,Scherer et al. 1972
St._Louis_encephalitis_virus,Didelphis_marsupialis,wild,Isolation,2,Kramer et al. 2001
Venezuelan_equine_encephalitis_virus,Didelphis_marsupialis,wild,Antibodies,0,Estrada-Franco et al. 2004
Vesicular_stomatitis_Indiana_virus,Didelphis_marsupialis,wild,plaque reduction neutralization,1,Tesh et al. 1969
California_encephalitis_virus,Didelphis_virginiana,wild,Antibodies,0,Parkin et al. 1973
Encephalomyocarditis_virus,Didelphis_virginiana,wild,Isolation,2,Smith et al. 1992
West_Nile_virus,Didelphis_virginiana,wild,Antibodies,0,Dietrich et al. 2005
Rabies_virus,Diphylla_ecaudata,wild,Isolation,2,Castilho et al. 2010
Vesicular_stomatitis_Indiana_virus,Diplomys_labilis,wild,plaque reduction neutralization,1,Tesh et al. 1969
Modoc_virus,Dipodomys_heermanni,wild,Antibodies,0,Hardy et al. 1974
St._Louis_encephalitis_virus,Dipodomys_heermanni,wild,Antibodies,0,Hardy et al. 1974
Vesicular_stomatitis_Indiana_virus,Dipodomys_merriami,wild,plaque reduction neutralization,1,Aguirre et al. 1992
Modoc_virus,Dipodomys_nitratoides,wild,Antibodies,0,Hardy et al. 1974
St._Louis_encephalitis_virus,Dipodomys_nitratoides,wild,Antibodies,0,Hardy et al. 1974
Hendra_virus,Dobsonia_anderseni,wild,Antibodies,0,Field et al. unpub in Mackenzie 1999
Hendra_virus,Dobsonia_moluccensis,wild,Antibodies,0,Halpin unpub in Mackenzie 1999
Macropodid_herpesvirus_2,Dorcopsis_muelleri,wild,Isolation,2,Johnson et al. 1985
Hendra_virus,Eidolon_dupreanum,wild,Antibodies,0,Iehle et al. 2007
Nipah_virus,Eidolon_dupreanum,wild,Antibodies,0,Iehle et al. 2007
Bunyamwera_virus,Eidolon_helvum,wild,Antibodies,0,Geevarghesse & Banerjee 1990
Hendra_virus,Eidolon_helvum,wild,Antibodies,0,Hayman et al. 2008
Ife_virus,Eidolon_helvum,wild,Isolation,2,Esona et al. 2010
Lagos_bat_virus,Eidolon_helvum,wild,Isolation,2,Calisher et al. 2006
Mokola_virus,Eidolon_helvum,wild,Antibodies,0,Kemp et al. 1972
Nipah_virus,Eidolon_helvum,wild,Antibodies,0,Hayman et al. 2008
Usutu_virus,Eidolon_helvum,wild,Antibodies,0,Geevarghese & Banerjee 1990
West_Nile_virus,Eidolon_helvum,wild,Antibodies,0,Geevarghese & Banerjee 1990
Zaire_ebolavirus,Eidolon_helvum,wild,PCR,2,Leroy et al. 2004
Zika_virus,Eidolon_helvum,wild,Antibodies,0,Simpson et al. 1968
Bluetongue_virus,Elephas_maximus,domestic,Antibodies,0,Bhat et al. 1998
Bovine_herpesvirus_2,Elephas_maximus,wild,PHA,0,Bhat et al. 1997
Foot-and-mouth_disease_virus,Elephas_maximus,wild,Isolation,2,Barman et al. 1999
Rabies_virus,Elephas_maximus,domestic,PCR,2,Nanayakkara et al. 2003
Australian_bat_lyssavirus,Eonycteris_spelaea,wild,Antibodies,0,Lumlertdacha et al. 2005
Issyk-Kul_virus,Eonycteris_spelaea,wild,Isolation,2,Calisher et al. 2006
Kyasanur_Forest_disease_virus,Eonycteris_spelaea,wild,Antibodies,0,Bhat et al. 1978
Nipah_virus,Eonycteris_spelaea,wild,Isolation,2,Calisher et al. 2006
Phnom_Penh_bat_virus,Eonycteris_spelaea,wild,Isolation,2,Beran & Steele 1994
Lagos_bat_virus,Epomophorus_gambianus,wild,Antibodies,0,Dzikwi et al. 2010
Nipah_virus,Epomophorus_gambianus,wild,Antibodies,0,Hayman et al. 2008
Shamonda_virus,Epomophorus_labiatus,wild,Isolation,2,Addy et al. 1979
Lagos_bat_virus,Epomophorus_wahlbergi,wild,Isolation,2,Calisher et al. 2006
Lagos_bat_virus,Epomops_dobsonii,wild,Isolation,2,Calisher et al. 2006; Johnson et al. 2010
Lake_Victoria_marburgvirus,Epomops_franqueti,wild,Antibodies,0,Pourrut et al. 2009
Rift_Valley_fever_virus,Epomops_franqueti,wild,Isolation,2,Calisher et al. 2006
Shamonda_virus,Epomops_franqueti,wild,Isolation,2,Addy et al. 1978
Zaire_ebolavirus,Epomops_franqueti,wild,PCR,2,Leroy et al. 2004
Rabies_virus,Eptesicus_brasiliensis,wild,Isolation,2,Paez et al. 2003
Rabies_virus,Eptesicus_diminutus,wild,Isolation,2,Sodre et al. 2010; Favoretto et al. 2002
Rabies_virus,Eptesicus_furinalis,wild,Isolation,2,Kobayashi et al. 2005
Eastern_equine_encephalitis_virus,Eptesicus_fuscus,wild,Antibodies,0,Main 1979
Rabies_virus,Eptesicus_fuscus,wild,PCR,2,Blanton et al. 2008
Rio_Bravo_virus,Eptesicus_fuscus,wild,Isolation,2,Calisher et al.  2006
St._Louis_encephalitis_virus,Eptesicus_fuscus,wild,Antibodies,0,Herbold et al. 1983
West_Nile_virus,Eptesicus_fuscus,wild,Antibodies,0,Davis et al. 2005
European_bat_lyssavirus_1,Eptesicus_serotinus,wild,Isolation,2,Calisher et al. 2006
Hantaan_virus,Eptesicus_serotinus,wild,Isolation,2,Calisher et al. 2006
Issyk-Kul_virus,Eptesicus_serotinus,wild,Isolation,2,Calisher et al. 2006; Lvov et al. 1973
African_horse_sickness_virus,Equus_asinus,domestic,Antibodies,0,Baba et al. 1993
Borna_disease_virus,Equus_asinus,domestic,PCR,2,Zhang et al. 2014
Bovine_papillomavirus_1,Equus_asinus,domestic,PCR,2,Nasir et al. 2007
Equid_herpesvirus_7,Equus_asinus,domestic,isolation,2,Bell et al. 2008
Equid_herpesvirus_8,Equus_asinus,domestic,isolation,2,Browning et al. 1988
Equine_arteritis_virus,Equus_asinus,domestic,PCR,2,Stadejek et al. 2006
Equine_encephalosis_virus,Equus_asinus,domestic,Antibodies,0,Lord et al. 2002
Human_picobirnavirus,Equus_asinus,captive,PAGE,0,Masachessi et al. 2007
Rabies_virus,Equus_asinus,domestic,Direct Fluorescent Antibody Testing,0,Jungeblut et al. 1943
Thogoto_virus,Equus_asinus,domestic,Antibodies,0,Jones et al. 1987
Venezuelan_equine_encephalitis_virus,Equus_asinus,domestic,Isolation,2,Hearn et al. 1960
Vesicular_exanthema_of_swine_virus,Equus_asinus,domestic,Antibodies,0,Smith et al. 1978
Vesicular_stomatitis_Indiana_virus,Equus_asinus,domestic,Antibodies,0,Fletcher et al. 1985
Wesselsbron_virus,Equus_asinus,domestic,Antibodies,0,Baba et al. 1994
African_horse_sickness_virus,Equus_caballus,domestic,Antibodies,0,Baba et al. 1993
Akabane_virus,Equus_caballus,domestic,Antibodies,0,Davies et al. 1985
Anopheles_A_virus,Equus_caballus,domestic,Isolation,2,NA
Aura_virus,Equus_caballus,domestic,Hemagglutination inhibition assay; Neutralization test,0,Sabattini et al. 1965
Barmah_Forest_virus,Equus_caballus,domestic,Antibodies,0,Kay et al. 2007
Borna_disease_virus,Equus_caballus,domestic,PCR,2,Dauphin et al. 2001
Bovine_papillomavirus_1,Equus_caballus,domestic,PCR,2,Nasir et al. 2007
Bunyamwera_virus,Equus_caballus,domestic,Isolation,2,Calisher et al. 1986
Cabassou_virus,Equus_caballus,domestic,Isolation,2,Digoutte et al. 1976
California_encephalitis_virus,Equus_caballus,domestic,Isolation,2,Mahy 2009
Colorado_tick_fever_virus,Equus_caballus,domestic,Antibodies,0,Emmons 1994
Corriparta_virus,Equus_caballus,domestic,Antibodies,0,Doherty et al. 1970
Eastern_equine_encephalitis_virus,Equus_caballus,domestic,Isolation,2,Chenier et al. 2010
Encephalomyocarditis_virus,Equus_caballus,domestic,Isolation,2,Tesh & Wallace 1978
Equid_herpesvirus_1,Equus_caballus,domestic,Antibodies,0,Martinov et al. 2000
Equid_herpesvirus_2,Equus_caballus,domestic,Antibodies,0,Vengust et al. 2008
Equid_herpesvirus_3,Equus_caballus,domestic,PCR,2,Barrandeguy et al. 2010
Equid_herpesvirus_4,Equus_caballus,domestic,PCR,2,Gilkerson et al. 1994
Equid_herpesvirus_5,Equus_caballus,domestic,PCR,2,Fortier et al. 2009
Equid_herpesvirus_9,Equus_caballus,domestic,Isolation,2,Borchers et al. 2005
Equine_adenovirus_A,Equus_caballus,domestic,Antibodies,0,Giles et al. 2010
Equine_adenovirus_B,Equus_caballus,domestic,Antibodies,0,Giles et al. 2010
Equine_arteritis_virus,Equus_caballus,domestic,PCR,2,Pronost et al. 2010
Equine_encephalosis_virus,Equus_caballus,domestic,Antibodies,0,Paweska et al. 2004
Equine_foamy_virus,Equus_caballus,domestic,Isolation,2,Tobaly-Tapiero et al. 2000
Equine_infectious_anemia_virus,Equus_caballus,domestic,PCR,2,Cappelli et al. 2011
Equine_papillomavirus_1,Equus_caballus,domestic,Isolation,2,Hamada et al. 1990
Equine_rhinitis_A_virus,Equus_caballus,domestic,Isolation,2,Plummer 1962
Equine_rhinitis_B_virus,Equus_caballus,captive,Isolation,2,Dynon et al. 2007
Equine_torovirus,Equus_caballus,domestic,Isolation,2,Mahy 2009
Gan_Gan_virus,Equus_caballus,domestic,Antibodies,0,Vale et al. 1991
Getah_virus,Equus_caballus,domestic,Isolation,2,Attoui et al. 2007
Hendra_virus,Equus_caballus,domestic,Isolation,2,Tulsiani et al. 2011
Highlands_J_virus,Equus_caballus,domestic,Antibodies,0,Attoui et al. 2007
Human_picobirnavirus,Equus_caballus,domestic,PCR,2,Ganesh et al. 2011
Ilheus_virus,Equus_caballus,domestic,PRNT,1,Pauvolid-Correa et al. 2014
Kairi_virus,Equus_caballus,domestic,Isolation,2,Calisher et al. 1988
Kokobera_virus,Equus_caballus,domestic,Antibodies,0,Prow et al. 2013
Main_Drain_virus,Equus_caballus,domestic,Isolation,2,Emmons et al. 1983
Middelburg_virus,Equus_caballus,domestic,PCR,2,Attoui et al. 2007
Murray_Valley_encephalitis_virus,Equus_caballus,domestic,Antibodies,0,Prow et al. 2013
Peruvian_horse_sickness_virus,Equus_caballus,domestic,Isolation,2,Attoui et al. 2009
Rabies_virus,Equus_caballus,domestic,Direct Fluorescent Antibody Testing,0,Kipar et al. 2010
Salem_virus,Equus_caballus,domestic,Isolation,2,Renshaw et al. 2000
Semliki_Forest_virus,Equus_caballus,domestic,Antibodies,0,Krauss 2003
Sepik_virus,Equus_caballus,domestic,Antibodies,0,Olson et al. 1983
Shuni_virus,Equus_caballus,domestic,Isolation,2,van Eeden et al. 2012
St._Louis_encephalitis_virus,Equus_caballus,domestic,Antibodies,0,Monath et al. 1985
Suid_herpesvirus_1,Equus_caballus,domestic,"Cell culture, PCR",2,Kimman et al. 1991
Trubanaman_virus,Equus_caballus,domestic,Antibodies,0,Johansen et al. 2005
Turlock_virus,Equus_caballus,domestic,Antibodies,0,Sabattini et al. 1965
Una_virus,Equus_caballus,domestic,Antibodies,0,Diaz et al. 2003
Vaccinia_virus,Equus_caballus,domestic,VNT,1,Peres et al. 2013
Venezuelan_equine_encephalitis_virus,Equus_caballus,domestic,PCR,2,Navarro et al. 2005
Vesicular_stomatitis_Alagoas_virus,Equus_caballus,domestic,Isolation,2,Federer et al. 1967; Andrade et al. 1980
Vesicular_stomatitis_Indiana_virus,Equus_caballus,domestic,Antibodies,0,Fletcher et al. 1985
Wesselsbron_virus,Equus_caballus,domestic,Antibodies,0,Baba et al. 1994
West_Nile_virus,Equus_caballus,domestic,PCR,2,Ibarra-Juarez et al. 2012
Western_equine_encephalitis_virus,Equus_caballus,domestic,Antibodies,0,Calisher et al. 1983
Equid_herpesvirus_9,Equus_hemionus,wild,Isolation,2,Kasem et al. 2008
African_horse_sickness_virus,Equus_quagga,wild,Antibodies,0,Machlachlan et al. 2010
Akabane_virus,Equus_quagga,wild,Antibodies,0,Davies et al. 1985
Crimean-Congo_hemorrhagic_fever_virus,Equus_quagga,wild,Antibodies,0,Shepherd et al. 1987
Equid_herpesvirus_4,Equus_quagga,wild,Antibodies,0,Borchers and Frolich 1997
Equid_herpesvirus_9,Equus_quagga,wild,Antibodies,0,Borchers et al. 2005
Equine_arteritis_virus,Equus_quagga,wild,Antibodies,0,Borchers et al. 2005
Equine_encephalosis_virus,Equus_quagga,wild,Antibodies,0,Barnard et al. 1993
Colorado_tick_fever_virus,Erethizon_dorsatum,wild,Isolation,2,McLean et al. 1993
Rabies_virus,Erethizon_dorsatum,wild,Antibodies,0,Childs et al. 1997
Foot-and-mouth_disease_virus,Erinaceus_europaeus,wild,Isolation,2,McLauchlan et al. 1948
Cercopithecine_herpesvirus_9,Erythrocebus_patas,captive,Isolation,2,McCarthy et al. 1968
Chikungunya_virus,Erythrocebus_patas,wild,Isolation,2,Diallo et al. 1999
Dugbe_virus,Erythrocebus_patas,wild,Isolation,2,Butenko 1996
Simian_hemorrhagic_fever_virus,Erythrocebus_patas,captive,Isolation,2,Gravell et al. 1986
Yaba_monkey_tumor_virus,Erythrocebus_patas,wild,Antibodies,0,Downie 1974
Yellow_fever_virus,Erythrocebus_patas,wild,Isolation,2,Deubel et al. 1985
Vesicular_exanthema_of_swine_virus,Eschrichtius_robustus,wild,Antibodies,0,Smith et al. 1978
Rabies_virus,Euderma_maculatum,wild,Isolation,2,Nadin-Davis et al. 2001
Akabane_virus,Eudorcas_thomsonii,wild,Antibodies,0,Davies et al. 1985
Bluetongue_virus,Eudorcas_thomsonii,wild,Antibodies,0,Anderson et al. 1998
Equid_herpesvirus_1,Eudorcas_thomsonii,captive,PCR,2,Wohlsein et al. 2011
Equid_herpesvirus_9,Eudorcas_thomsonii,wild,Isolation,2,Fukushi et al. 1997
Foot-and-mouth_disease_virus,Eudorcas_thomsonii,wild,Antibodies,0,Anderson 1981 in Weaver and Karesh 2013
Peste-des-petits-ruminants_virus,Eudorcas_thomsonii,wild,Isolation,2,Abu Elzein et al. 2004
Encephalomyocarditis_virus,Eulemur_albifrons,wild,Antibodies,0,Canelli et al. 2010
Encephalomyocarditis_virus,Eulemur_macaco,wild,Antibodies,0,Canelli et al. 2010
Great_Island_virus,Eumetopias_jubatus,wild,Antibodies,0,Barlough et al. 1998
Vesicular_exanthema_of_swine_virus,Eumetopias_jubatus,wild,Isolation,2,Barlough et al. 1998
Rabies_virus,Eumops_auripendulus,wild,Isolation,2,Kobayashi et al. 2005
Rabies_virus,Eumops_glaucinus,wild,Isolation,2,Cunha et al. 2006
Rabies_virus,Eumops_patagonicus,wild,Isolation,2,Cisterna et al. 2005
Rabies_virus,Eumops_perotis,wild,PCR,2,Castilho et al. 2008
Barmah_Forest_virus,Felis_catus,domestic,Antibodies,0,Kay et al. 2007
Borna_disease_virus,Felis_catus,domestic,Antibodies,0,Kamnieh et al. 2008
Encephalomyocarditis_virus,Felis_catus,domestic,Antibodies,0,Smith et al. 1992
Feline_astrovirus,Felis_catus,domestic,PCR,2,Atkins at al. 2009
Feline_calicivirus,Felis_catus,domestic,Isolation,2,Ohe et al. 2006
Feline_coronavirus,Felis_catus,domestic,PCR,2,Kipar et al. 2010
Feline_foamy_virus,Felis_catus,domestic,Isolation,2,Winkler et al. 1999
Feline_immunodeficiency_virus,Felis_catus,domestic,PCR,2,Fujimo et al. 2008
Feline_leukemia_virus,Felis_catus,domestic,PCR,2,Englert et al. 2012
Feline_papillomavirus,Felis_catus,domestic,PCR,2,Terai & Burk 2002
Human_herpesvirus_4,Felis_catus,domestic,Antibodies,0,Milman et al. 2010
