hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,Petitioned,hMassGrams,S,S20,S40,S50,S80,S100,AreaHost,Area.crop,crop.perc,Area.pasture,pasture.perc,Area.urban,urban.perc,popc_1970AD,popc_1980AD,popc_1990AD,popc_2000AD,popc_2005AD,rurc_1970AD,rurc_1980AD,rurc_1990AD,rurc_2000AD,rurc_2005AD,urbc_1970AD,urbc_1980AD,urbc_1990AD,urbc_2000AD,urbc_2005AD,p_crop1970,p_grass1970,p_uopp1970,p_crop1980,p_grass1980,p_uopp1980,p_crop1990,p_grass1990,p_uopp1990,p_crop2000,p_grass2000,p_uopp2000,p_crop2005,p_grass2005,p_uopp2005,hContinents,DOMYearBP,domestic_category
Alcelaphus_buselaphus,CETARTIODACTYLA,BOVIDAE,Alcelaphus,buselaphus,Terrestrial,wild,198,35,1,0,811,"(Pallas, 1766)",NA,"Hartebeest, Swayne's Hartebeest",NA,NA,LC,NA,3.1,2008,decreasing,N,160937.86,763,170,72,58,19,1,6.8e+12,6.2e+11,9.125867749,2.53e+12,37.27205296,11173419559,0.164334325,74904069.06,95565444.78,130119378,171039803.7,193537659.1,59781676.99,72465370.86,93230962.23,116213599.7,127935723.5,15122393.81,23100073.68,36888416.23,54826207.15,65601939.81,7.595759003,38.94002042,0.033536854,8.132103714,39.1244552,0.048625132,8.94426747,40.00481715,0.079144776,9.942029339,40.28752398,0.117142523,10.66014694,40.50387223,0.138891335,NA,NA,NA
Alces_alces,CETARTIODACTYLA,CERVIDAE,Alces,alces,Terrestrial,domestic,3153,453,1,1,41782,"(Linnaeus, 1758)",NA,"Elk, Eurasian Elk, Eurasian Moose, European Elk, Moose, Siberian Elk",_lan,Alce,LC,NA,3.1,2008,increasing,N,461900.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,SmallExoticFarming
Allenopithecus_nigroviridis,PRIMATES,CERCOPITHECIDAE,Allenopithecus,nigroviridis,Terrestrial,wild,27,7,1,0,865,"(Pocock, 1907)",NA,Allen's Swamp Monkey,Cercopithèque De Allen,NA,LC,NA,3.1,2008,unknown,N,4749.96,205,128,110,107,86,68,5.1e+11,0,0,0,0,165895242.4,0.032544305,2025984.522,2710483.635,3561699.297,4789807.768,5642237.97,1656905.181,2221999.592,2915701.108,3845702.024,4447623.624,369079.3223,488484.1058,645998.1884,944105.7386,1194614.345,2.044924775,2.217227888,0.009222075,2.187532768,2.212976617,0.012136626,2.23074174,2.209391435,0.016003087,1.6920422,2.201765353,0.0233241,1.693189562,2.201977941,0.029503771,NA,NA,NA
Alopex_lagopus,CARNIVORA,CANIDAE,Alopex,lagopus,Terrestrial,wild,1157,215,1,0,899,"(Linnaeus, 1758)",Alopex lagopus  |Alopex lagopus  |Vulpes lagopus  |Vulpes lagopus,"Arctic Fox, Polar Fox","Isatis, Renard Polaire, Reynard Polaire",Zorro çrtico,LC,NA,3.1,2008,stable,N,3584.37,140,34,11,8,4,1,1.08e+13,20664326.84,0.000191905,302700451.1,0.002811111,227258270.2,0.002110497,2736925.228,3144161.253,3549602.787,3449396.56,3449112.294,964788.9956,946690.8672,952184.9515,895784.4151,896034.1923,1772136.209,2197470.396,2597417.813,2553612.174,2553078.145,0.076983981,0.258122944,0.003563648,0.06343324,0.254274546,0.004580948,0.0482862,0.252081264,0.005713779,0.013689203,0.248492224,0.006142462,0.01355525,0.249041888,0.006435384,NA,NA,NA
Alouatta_caraya,PRIMATES,ATELIDAE,Alouatta,caraya,Terrestrial,wild,220,38,1,0,41545,"(Humboldt, 1812)",NA,"Black-and-gold Howler Monkey, Black Howler Monkey, Black Howling Monkey",NA,"Aullador Negro, Manechi, Manechi Negro",LC,NA,3.1,2008,decreasing,N,5576.96,457,167,121,108,61,9,3.08e+12,1.67e+11,5.406759911,1.35e+12,43.67989644,12965651066,0.420852036,18558355.96,24494123.03,30486830.07,36936648.71,39722810.85,10378679.86,11521651.68,12201763.11,11828245.66,11293341.56,8179675.994,12972470.91,18285067.52,25108403.85,28429470.68,4.64091539,35.43196172,0.040213559,6.013111252,39.11104354,0.064742777,6.631788734,42.22249643,0.094649302,9.042313909,44.36275449,0.131359847,9.502734114,44.6222535,0.150445841,NA,NA,NA
Alouatta_palliata,PRIMATES,ATELIDAE,Alouatta,palliata,Terrestrial,wild,398,30,1,0,39960,"(Gray, 1849)",NA,"Ecuadorian Mantled Howling Monkey, Mantled Howler Monkey, South Pacific Blackish Howling Monkey",NA,"Aullador De La Costa, Mono Aullador, Mono Congo",LC,NA,3.1,2008,unknown,N,6576.99,416,175,132,112,53,1,5.71e+11,49941759629,8.746658756,1.42e+11,24.83532722,1507484869,0.264016632,15152304.22,20228895.64,25779656.11,32584269.47,35152351.13,8608483.97,10394977.22,11777521.55,13289564.57,13484686.14,6543820.231,9833918.186,14002133.66,19294703.13,21667665.53,14.11217514,19.0287617,0.165156552,14.69849042,22.06015752,0.246467528,15.91295097,23.68746959,0.350358519,14.65312773,25.3289696,0.507609332,14.02381829,25.49999789,0.576122005,NA,NA,NA
Alouatta_pigra,PRIMATES,ATELIDAE,Alouatta,pigra,Terrestrial,wild,138,8,1,0,914,"Lawrence, 1933",NA,"Black Howling Monkey, Guatemalan Black Howler Monkey, Guatemalan Howler, Guatemalan Howling Monkey, Lawrences Howler Monkey, Mexican Black Howler Monkey, Yucat_n Black Howler Monkey",Hurleur Du Guatemala,"Araguato De Guatemala, Mono Aullador Negro, Saraguato, Saraguato Negro",EN,A4cd,3.1,2008,decreasing,N,7172.06,205,132,106,97,63,1,2.41e+11,31300059894,12.97261246,28576067903,11.84362799,94307547.38,0.039086676,1519625.199,2153977.333,3114299.936,4419586.711,4820276.114,991814.3727,1297259.782,1721433.498,2237046.817,2339870.804,527810.8121,856717.4845,1392866.423,2182539.878,2480405.351,7.413869367,6.425533338,0.036558601,8.848846267,6.624529497,0.056632458,10.26313226,8.991965219,0.090488452,12.60774661,8.928741829,0.140477625,12.75967167,8.944496864,0.161040226,NA,NA,NA
Alouatta_seniculus,PRIMATES,ATELIDAE,Alouatta,seniculus,Terrestrial,wild,258,17,1,0,43929,"(Linnaeus, 1766)",NA,"Colombian Red Howler Monkey, Colombian Red Howling Monkey",NA,"Coto Mono, Mono, Mono Araguato, Mono Colorado, Mono Cotudo, Roncador",LC,NA,3.1,2008,decreasing,N,6398.31,552,226,176,154,96,1,2.35e+12,35119514201,1.492459584,3.65e+11,15.51735245,5100393845,0.216749334,25021380.35,31898620,40009077.73,47856424.39,51489377.56,10762234.19,11408234.08,11887055.11,12284858.32,12335646.13,14259146.27,20490386.62,28122021.59,35571565.85,39153731.15,2.818186514,14.71513756,0.044215103,3.065962258,15.66994439,0.063704773,3.085981276,15.86346279,0.088242071,2.598023389,16.02013497,0.11201076,2.245462956,15.52411667,0.123663652,NA,NA,NA
Ammospermophilus_nelsoni,RODENTIA,SCIURIDAE,Ammospermophilus,nelsoni,Terrestrial,wild,19,4,1,0,1149,"(Merriam, 1893)",NA,"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",NA,NA,EN,B1ab(iii),3.1,2008,decreasing,N,160.42,60,48,48,46,41,35,2427000064,534034444.7,22.00389084,369152245.5,15.21022809,16538953.59,0.681456661,43688.59284,50784.44677,64566.07704,70576.45217,73970.84983,43688.59284,50784.44677,64566.07704,70576.45217,73970.84983,0,0,0,0,0,13.59224385,28.08857882,0,15.05965635,26.95659928,0,17.67261427,26.82966913,0,20.61745709,25.78480553,0,20.5248816,26.08410436,0.47697633,NA,NA,NA
Ammotragus_lervia,CETARTIODACTYLA,BOVIDAE,Ammotragus,lervia,Terrestrial,wild,192,31,1,0,1151,"(Pallas, 1777)",NA,"Aoudad, Barbary Sheep, Uaddan",Mouflon è Manchettes,NA,VU,C1,3.1,2008,decreasing,N,94202.22,143,33,19,13,9,1,1.42e+12,12639573038,0.88827168,1.95e+11,13.70693407,561607494.8,0.039468107,4660911.217,5990147.321,8036216.762,9498947.251,10198987.32,3210532.016,3788678.626,4744027.128,4885749.319,5087135.054,1450379.412,2201468.513,3292189.555,4613198.015,5111852.11,1.662755448,20.25371712,0.022580515,1.745950221,20.83358315,0.065409752,2.024345022,19.88516173,0.141941996,1.520889018,18.24108701,0.136268256,1.496396789,18.55846003,0.171390257,NA,NA,NA
Anoura_geoffroyi,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,geoffroyi,Terrestrial,wild,80,15,0,1,1567,"Gray, 1838",NA,Geoffroy's Tailless Bat,NA,NA,LC,NA,3.1,2008,stable,N,15.15,1247,191,117,91,31,1,7.84e+12,5.1e+11,6.509523633,2.05e+12,26.10182197,43827409461,0.559174985,167943098.5,216530202.4,263312132.7,311319336.2,333642844.7,75659213.67,78152705.95,78713688.5,77940661.95,76154598.42,92283882.42,138377498.1,184598443.2,233378676.4,257488245.8,7.199276445,23.65342727,0.166396286,8.562143583,25.79097063,0.246380297,9.175640492,27.69869968,0.327425577,10.46831441,28.97267803,0.417866057,10.51538562,29.01673972,0.464684998,NA,NA,NA
Antidorcas_marsupialis,CETARTIODACTYLA,BOVIDAE,Antidorcas,marsupialis,Terrestrial,wild,248,38,0,0,1676,"(Zimmermann, 1780)",NA,Springbok,NA,NA,LC,NA,3.1,2008,increasing,N,33571.24,260,93,59,50,26,1,1.96e+12,75713205134,3.866035127,1.07e+12,54.75585139,5358704361,0.273623855,9692154.496,11146889.2,15540267.37,21215714.57,22682652.39,5591467.701,6368758.696,8236125.354,10279343.11,10493142.68,4100686.83,4778130.445,7304142.187,10936372.28,12189509.14,3.495575874,59.23227022,0.042482299,3.463803736,58.64830988,0.050056301,3.713427966,59.05500062,0.078171082,4.2552427,59.32253691,0.118423228,4.257122664,59.32287644,0.133502161,NA,NA,NA
Antilocapra_americana,CETARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,Terrestrial,wild,655,76,0,0,1677,"(Ord, 1815)",NA,"Mexican Pronghorn, Pronghorn","Antilocapre, Antilope Am_ricaine",Berrendo,LC,NA,3.1,2008,stable,N,47450.01,287,88,56,39,19,1,2.01e+12,4.38e+11,21.80907648,9.94e+11,49.45838195,6230600863,0.310009455,6598858.563,8225769.086,9464496.361,11495400.81,12091805.21,2253225.017,2777716.115,2997157.834,3074863.306,2962757.962,4345633.542,5448052.892,6467338.528,8420537.432,9129047.24,11.2316976,53.00252492,0.111642523,12.46958917,51.71444663,0.152180989,14.73779947,51.65369577,0.195305794,21.92136545,49.04535294,0.287352384,21.83547425,49.30686331,0.327861803,NA,NA,NA
Antilope_cervicapra,CETARTIODACTYLA,BOVIDAE,Antilope,cervicapra,Terrestrial,wild,254,64,0,1,1681,"(Linnaeus, 1758)",NA,Blackbuck,Antilope Cervicapre,Cervicapra,NT,NA,3.1,2008,stable,N,36301.1,164,75,63,54,41,1,1.76e+12,1.01e+12,57.5663885,79932625445,4.534592547,18093590634,1.026452725,272808518.5,341816813.3,429989261.3,525132200.8,568757127,225787503.5,272840047.8,333997548.4,397407731.8,425262560.7,47021014.37,68976765.46,95991713.55,127724465.8,143494572,60.59136624,3.046385452,0.173247019,61.9580495,2.860254174,0.252091173,62.49761595,2.731445084,0.351508024,61.4945861,3.029421197,0.468843588,61.45859785,2.914228419,0.52832222,NA,NA,NA
Antrozous_pallidus,CHIROPTERA,VESPERTILIONIDAE,Antrozous,pallidus,Terrestrial,wild,192,21,1,0,1790,"(Le Conte, 1856)",NA,Pallid Bat,NA,NA,LC,NA,3.1,2008,stable,N,22.24,528,95,45,35,13,1,4.38e+12,3.83e+11,8.747005834,1.82e+12,41.45629612,33375213724,0.7621043,82610567.31,104987709.5,126899983.1,147103967.9,154339166.7,29702009.56,33062645.94,35089362.54,35591201.09,34925825.01,52908555.91,71925064.19,91810620.84,111512767,119413341.2,8.738983606,42.32338315,0.381723274,9.381755794,41.57411503,0.52048238,9.994113739,42.21455181,0.712463516,10.51813876,41.6341494,0.945072979,10.48746585,41.80935436,1.060731659,NA,NA,NA
Aotus_azarae,PRIMATES,AOTIDAE,Aotus,azarae,Terrestrial,wild,62,20,0,0,41539,"(Humboldt, 1811)",NA,"Azara's Night Monkey, Azaras Night Monkey",NA,"Cuatro Ojos, Macaco Da Noite, Mirikin_, Mono Nocturno",LC,NA,3.1,2008,decreasing,N,929.57,511,182,126,111,73,1,3.18e+12,63283473603,1.988776775,7.65e+11,24.04492158,3070466342,0.096493948,8190523.578,11486862.14,15524763.85,19991511.54,21581007.03,4011114.538,4477426.829,4824823.86,4961767.454,4739566.35,4179408.962,7009434.879,10699940.35,15029744.76,16841441.96,1.598055788,19.39052452,0.019854633,2.24358047,21.51407329,0.033416177,2.66725159,23.55506558,0.051387171,3.623456806,24.30202156,0.073241079,3.886772227,24.51962972,0.082815073,NA,NA,NA
Aotus_trivirgatus,PRIMATES,AOTIDAE,Aotus,trivirgatus,Terrestrial,wild,574,219,0,0,41543,"(Humboldt, 1812)",NA,"Douroucouli, Night Monkey, Northern Night Monkey, Northern Owl Monkey, Owl Monkey",NA,"Macaco Da Noite, Mono De Noche, Mono Nocturno",LC,NA,3.1,2008,unknown,N,912.4,302,214,181,165,140,96,7.57e+11,817085005,0.107922426,8624513261,1.139145142,322221044.2,0.042559681,730941.0662,1115083.497,1685217.941,2370017.055,2547109.681,124886.7003,167329.4714,197327.5305,194167.2842,164195.512,606054.3507,947754.0217,1487890.411,2175849.771,2382914.168,0.402436595,2.70596001,0.01242198,0.551280716,2.918659902,0.01917935,0.67440097,3.075026863,0.030101349,0.780229848,3.11048294,0.044014543,0.793242315,3.115472613,0.047914528,NA,NA,NA
Apodemus_agrarius,RODENTIA,MURIDAE,Apodemus,agrarius,Terrestrial,wild,929,312,0,1,1888,"(Pallas, 1771)",NA,Striped Field Mouse,"Mulot Ray_, Mulot Ray_","Rat_n Listado, Rat_n Listado",LC,NA,3.1,2008,stable,N,21.11,598,83,39,20,7,1,1.15e+13,2.83e+12,24.5619469,2.14e+12,18.58611888,1.21e+11,1.049877766,1008598151,1162948958,1298531590,1376037589,1401823749,691363217,761827065.7,771341594.6,742376179.6,711991634.7,317234926.9,401121887.9,527190003,633661411.7,689832116.1,29.2949219,17.6852992,0.413023361,28.85363754,19.25441459,0.516622039,30.30305462,20.57087024,0.645856555,29.23791799,22.4422514,0.74804653,29.17064643,22.41894359,0.80254198,NA,NA,NA
Apodemus_argenteus,RODENTIA,MURIDAE,Apodemus,argenteus,Terrestrial,wild,224,73,0,0,42642,"(Temminck, 1844)",NA,Small Japanese Field Mouse,NA,NA,LC,NA,3.1,2008,stable,N,30.07666667,87,58,36,31,13,1,3.67e+11,9135210161,2.488019152,1979753858,0.539195649,11073183465,3.015835691,96609966.09,108200698.1,114609224,117926167.2,118267247,43877496.97,42036762.79,40594531.77,39304864.7,38498532.53,52732471.52,66163935.26,74014691.91,78621302.58,79768713.97,13.28495378,1.860471439,2.396382122,12.46589764,1.23045684,2.927639579,12.06311163,0.916404486,3.269520199,11.60880381,0.88727026,3.452801971,11.27904212,0.88789481,3.450060525,NA,NA,NA
Apodemus_flavicollis,RODENTIA,MURIDAE,Apodemus,flavicollis,Terrestrial,wild,1330,335,0,0,1892,"(Melchior, 1834)",Apodemus arianus  |Apodemus arianus  |Apodemus arianus  |Apodemus ponticus  |Apodemus ponticus  |Apodemus ponticus,Yellow-necked Field Mouse,"Mulot è Collier, Mulot è Collier","Rat_n Leonado, Rat_n Leonado",LC,NA,3.1,2008,stable,N,31.6,271,83,57,46,19,1,6.06e+12,1.74e+12,28.75584995,8.81e+11,14.53141925,1.03e+11,1.697952505,502199932.9,531963431.8,557917582.5,566825110.3,568005648.8,199648344.9,184911012.5,177107276.3,175055431.4,172362134.2,302551590.4,347052417.6,380810306.8,391769685.6,395643517.9,40.55366477,16.69210509,0.96059919,39.53774467,16.6323153,1.185539075,38.51656495,16.73828795,1.394520771,34.83533496,17.37865484,1.575324145,33.81283535,16.87484896,1.672591322,NA,NA,NA
Apodemus_mystacinus,RODENTIA,MURIDAE,Apodemus,mystacinus,Terrestrial,wild,123,17,0,1,1898,"(Danford & Alston, 1877)",NA,"Broad-toothed Field Mouse, Eastern Broad-toothed Field Mouse",Mulot Rupestre,NA,LC,NA,3.1,2008,stable,N,43.84,165,66,48,42,29,1,8.06e+11,1.63e+11,20.22615436,1.61e+11,20.01629378,7363218068,0.914054158,39205162.45,49520658.09,60554386.85,71966937.86,77677299.32,23591932.72,26729606.41,24733072.84,26036285.19,26422838.63,15613229.2,22791053.7,35821313.68,45930647.09,51254460.58,32.04668791,14.51569427,0.258406581,33.43766449,13.7724087,0.365918929,32.89524024,15.89449078,0.551723561,34.07384386,18.26634699,0.709560039,34.45361193,18.74809828,0.791056971,NA,NA,NA
