hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,Petitioned,hMassGrams,S,S20,S40,S50,S80,S100,AreaHost,Area.crop,crop.perc,Area.pasture,pasture.perc,Area.urban,urban.perc,popc_1970AD,popc_1980AD,popc_1990AD,popc_2000AD,popc_2005AD,rurc_1970AD,rurc_1980AD,rurc_1990AD,rurc_2000AD,rurc_2005AD,urbc_1970AD,urbc_1980AD,urbc_1990AD,urbc_2000AD,urbc_2005AD,p_crop1970,p_grass1970,p_uopp1970,p_crop1980,p_grass1980,p_uopp1980,p_crop1990,p_grass1990,p_uopp1990,p_crop2000,p_grass2000,p_uopp2000,p_crop2005,p_grass2005,p_uopp2005,hContinents,DOMYearBP,domestic_category
Abrothrix_longipilis,RODENTIA,CRICETIDAE,Abrothrix,longipilis,Terrestrial,wild,53,10,0,0,743,"(Waterhouse, 1837)",Akodon longipilis,"Long-haired Akodont, Long-haired Grass Mouse",NA,NA,LC,NA,3.1,2008,decreasing,N,38.86,89,41,28,22,6,1,7.19e+11,14477458604,2.014950356,3.17e+11,44.10983734,2862408040,0.398385552,8649079.794,10134702.31,12017435.07,14067357.17,14851516.79,2124907.859,1898822.592,2007946.238,1973751.41,1833471.43,6524172,8235879.639,10009488.93,12093605.67,13018045.36,5.127435517,45.83287999,0.099015838,5.166708718,46.46181021,0.130654357,4.054247224,46.04761448,0.167601153,3.314490507,45.35478118,0.215635722,3.321377458,45.34728323,0.240149856,NA,NA,NA
Abrothrix_olivaceus,RODENTIA,CRICETIDAE,Abrothrix,olivaceus,Terrestrial,wild,59,11,0,0,751,"(Waterhouse, 1837)",Akodon mansoensis  |Akodon olivaceus  |Akodon xanthorhinus,Olive Grass Mouse,NA,NA,LC,NA,3.1,2008,stable,N,24.52,100,41,23,18,5,1,1.08e+12,14637056111,1.349796301,4.63e+11,42.67553856,3827446257,0.352958467,9407197.232,11063954.94,13153082.49,15488160.47,16350204.6,2290256.171,2052892.234,2159357.457,2123229.579,1969134.654,7116941.089,9011062.625,10993725.15,13364930.79,14381069.94,3.827079559,45.78500589,0.072093039,3.83212882,46.34274767,0.095479988,3.007817974,45.85456694,0.123040935,2.248870463,45.13688823,0.159248489,2.252476462,45.13753794,0.177178258,NA,NA,NA
Abrothrix_sanborni,RODENTIA,CRICETIDAE,Abrothrix,sanborni,Terrestrial,wild,9,1,1,0,754,"(Osgood, 1943)",Akodon sanborni,Sanborn's Grass Mouse,NA,NA,NT,NA,3.1,2008,decreasing,N,24.7,41,27,22,21,13,1,22150299648,5816331.606,0.026258478,972100734,4.388657262,60686118.87,0.273974257,99728.05767,101163.6415,110287.9797,128004.8016,134848.5267,45588.29229,36751.52808,38493.77198,43410.05923,42954.18685,54139.76538,64412.1134,71794.2077,84594.74234,91894.33984,7.75154542,5.111011254,0.026412559,6.539505083,5.906034683,0.032805649,3.928121065,5.829604844,0.038546042,1.362621857,5.792183909,0.048344459,1.359025158,5.794095092,0.05437739,NA,NA,NA
Acinonyx_jubatus,CARNIVORA,FELIDAE,Acinonyx,jubatus,Terrestrial,wild,830,183,1,0,219,"(Schreber, 1775)",NA,"Cheetah, Hunting Leopard",Gu_pard,"Chita, Guepardo",VU,A2acd; C1,3.1,2008,decreasing,N,50577.92,610,114,41,22,4,1,2.8e+12,1.63e+11,5.813958472,8.96e+11,31.98667806,1569644111,0.056058316,10874967.19,13742073.23,18956944.95,25896900.19,29469841.73,9683421.25,11635354.5,15142938.01,19815956.99,22414700.69,1191546.133,2106718.828,3814006.237,6080943.679,7055140.409,4.651130367,32.37856494,0.01005965,4.465853971,32.39272608,0.018721459,4.901131736,32.97585522,0.03822095,7.306902429,33.13915674,0.058974533,7.529646484,33.39156065,0.067798924,NA,NA,NA
Aepyceros_melampus,CETARTIODACTYLA,BOVIDAE,Aepyceros,melampus,Terrestrial,wild,543,116,0,0,550,"(Lichtenstein, 1812)",NA,"Black-faced Impala, Impala",NA,NA,LC,NA,3.1,2008,stable,N,52591.69,511,186,117,89,40,1,3.51e+12,1.86e+11,5.318695611,1.51e+12,43.07745442,5333194003,0.152115764,42822635.6,57797978.44,79622910.19,103218110.7,115746198,36182572.31,46065191.54,60300078.25,75293124.99,82562382.23,6640064.506,11732787.31,19322830.98,27924986.74,33183818.59,7.065399451,33.72685401,0.033762218,7.579814666,34.43034149,0.057288695,8.595055318,34.64617631,0.100189737,9.828770123,35.62825835,0.14503368,10.28250978,36.05330546,0.171153885,NA,NA,NA
Aethomys_kaiseri,RODENTIA,MURIDAE,Aethomys,kaiseri,Terrestrial,wild,11,3,0,0,572,"(Noack, 1887)",NA,Kaiser's Rock Rat,NA,NA,LC,NA,3.1,2008,unknown,N,89.99,487,180,118,95,57,2,1.7e+12,1.09e+11,6.406907356,5.03e+11,29.49175742,1356629954,0.079601822,22122473.12,29719462.69,41231405.34,50688756.54,58916047.3,19625758.19,25422975.67,34400575.3,40588533.72,46095390.17,2496714.447,4296486.289,6830829.675,10100223.13,12820656.29,6.570099506,18.16603012,0.019032515,7.439850085,18.94537543,0.031972636,8.191566602,18.90230818,0.050454411,7.997261125,19.26374073,0.073402875,8.436680092,19.38223503,0.092841168,NA,NA,NA
Aethomys_namaquensis,RODENTIA,MURIDAE,Aethomys,namaquensis,Terrestrial,wild,68,11,0,1,573,"(A. Smith, 1834)",Micaelamys namaquensis,Namaqua Rock Rat,NA,NA,LC,NA,3.1,2008,stable,N,57.1,332,134,71,55,17,1,3.35e+12,1.7e+11,5.058849841,1.74e+12,51.75920546,8565647929,0.255427921,31085697.25,37375121.88,51070668.73,69242469.83,74129765.12,20713808.89,24503716.71,30531494.55,37207341.76,38102181.51,10371888.68,12871404.55,20539173.75,32035128.86,36027583.66,5.753703798,52.06734474,0.065724708,5.798466352,51.62650348,0.085149345,6.303029606,52.04587119,0.143368938,6.966105944,52.93554823,0.219919787,7.051890863,53.21354641,0.247090767,NA,NA,NA
Akodon_azarae,RODENTIA,CRICETIDAE,Akodon,azarae,Terrestrial,wild,159,37,0,0,726,"(Fischer, 1829)",NA,Azara's Grass Mouse,NA,NA,LC,NA,3.1,2008,stable,N,25.27,213,62,41,32,12,1,1.23e+12,2.75e+11,22.37644918,4.91e+11,39.9290616,8683646740,0.705488524,25227004.77,28790789.72,32953627.59,36806618.22,38825508.62,6129543.877,5774277.055,5366998.659,4825829.196,4583504.466,19097458.9,23016511.97,27586629.44,31980789.74,34242005.58,17.56420382,45.30712554,0.227530833,18.27001329,45.80558176,0.281816496,19.28588531,46.41821274,0.345495354,23.31547908,47.65494932,0.410303278,25.08509336,47.65501971,0.443067095,NA,NA,NA
Akodon_montensis,RODENTIA,CRICETIDAE,Akodon,montensis,Terrestrial,wild,50,12,0,0,136197,"Thomas, 1913",NA,Montane Akodont,NA,NA,LC,NA,3.1,2008,decreasing,N,13.52,302,163,118,110,69,1,1.06e+12,1.83e+11,17.35163106,3.92e+11,37.16079063,23539641254,2.230949524,50327124.4,63429677.67,76988612.08,88926324.76,95384359.97,20675464.2,19024304.38,17695613.83,15201171.24,13707261.71,29651660.14,44405373.25,59292998.55,73725153.45,81677098.27,15.72059185,30.67667768,0.434120558,19.60037139,33.4879421,0.645768972,21.16430623,36.55844309,0.860675491,25.18746152,39.48916582,1.081414596,26.16252388,39.50568817,1.207542707,NA,NA,NA
Akodon_paranaensis,RODENTIA,CRICETIDAE,Akodon,paranaensis,Terrestrial,wild,17,3,0,0,136483,"Christoff, Fagundes, Sbalqueiro, Mattevi & Yonenaga-Yassuda, 2000",NA,Paran_ Akodont,NA,NA,LC,NA,3.1,2008,unknown,N,35.92333333,215,123,103,93,63,1,3.25e+11,62080461834,19.12221488,74755017058,23.02627098,5686231135,1.751490457,11301130.48,13141991.32,15511201.7,17776099.35,19044410.3,4495860.326,3875977.986,3521838.948,2964567.133,2629685.598,6805270.155,9266013.335,11989362.75,14811532.22,16414724.7,12.4562527,25.58555607,0.326206256,15.28703223,28.42602418,0.44180513,17.18794079,30.56921298,0.573561459,28.31727381,31.05217893,0.717306177,28.8288254,31.08156498,0.801710386,NA,NA,NA
Akodon_simulator,RODENTIA,CRICETIDAE,Akodon,simulator,Terrestrial,wild,20,4,0,0,758,"Thomas, 1916",NA,"Gray-bellied Grass Mouse, Gray-ellied Grass Mouse",NA,NA,LC,NA,3.1,2008,stable,N,42.5,185,92,59,46,26,9,1.57e+11,8035788290,5.102995002,16938943226,10.75679705,1076719124,0.683752755,1941410.042,2428398.852,2937353.059,3380452.719,3571325.132,332387.6848,336392.2793,301077.7184,271719.4903,256272.9346,1609022.439,2092006.572,2636275.335,3108733.225,3315052.203,9.737277972,11.04851826,0.155979565,9.435875825,11.25725128,0.208987044,8.602405225,11.34576913,0.271877902,4.878370471,11.41652908,0.331515272,5.285250857,11.49815661,0.359926992,NA,NA,NA
Akodon_varius,RODENTIA,CRICETIDAE,Akodon,varius,Terrestrial,wild,14,1,0,0,766,"Thomas, 1902",NA,Variable Grass Mouse,NA,NA,DD,NA,3.1,2008,unknown,N,40,286,163,94,67,23,5,2.46e+11,8227322221,3.345174234,73757151653,29.98916404,991029678.3,0.402946032,2016665.505,2598593.277,3202101.889,4450642.019,4910756.499,1146461.576,1313862.044,1273174.121,1509111.539,1559609.472,870203.9219,1284731.19,1928927.914,2941530.47,3351146.968,2.419442555,36.24477176,0.04926402,3.27443283,39.88076135,0.074955949,3.679499434,42.05018182,0.11626163,5.606720718,43.0153168,0.183594311,5.828389236,43.8783101,0.213034731,NA,NA,NA
