name,exact,type,order,class,family,genus,species
phacochoerus africanus lymphotropic herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Suiformes rhadinovirus genogroup 1
phipapillomavirus 1,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Phipapillomavirus,Phipapillomavirus 1
phocid herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Phocid alphaherpesvirus 1
phocid herpesvirus 2,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Phocid gammaherpesvirus 2
phocoena spinipinnis papillomavirus,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Omikronpapillomavirus,Omikronpapillomavirus 1
pig-tailed macaque parvovirus,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 4
piliocolobus badius adenovirus 1,true,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Piliocolobus badius adenovirus 1
pinniped bocaparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Pinniped bocaparvovirus 1
pinniped bocaparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Pinniped bocaparvovirus 2
pinniped dependoparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Dependoparvovirus,Pinniped dependoparvovirus 1
pipapillomavirus 2,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Pipapillomavirus,Pipapillomavirus 2
poliovirus,true,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus C
pongine herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Panine gammaherpesvirus 1
pongine herpesvirus 2,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Pongine gammaherpesvirus 2
pongine herpesvirus 3,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Lymphocryptovirus,Gorilline gammaherpesvirus 1
pongine herpesvirus 4,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Cytomegalovirus,Panine betaherpesvirus 2
porcine astrovirus,true,viruses,Stellavirales,Stelpaviricetes,Astroviridae,Mamastrovirus,Mamastrovirus 3
porcine circovirus-1,true,viruses,Cirlivirales,Arfiviricetes,Circoviridae,Circovirus,Porcine circovirus 1
porcine circovirus-2,true,viruses,Cirlivirales,Arfiviricetes,Circoviridae,Circovirus,Porcine circovirus 2
porcine enteric sapovirus,true,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Sapovirus,Sapporo virus
porcine lymphotropic herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Macavirus,Suid gammaherpesvirus 3
porcine parvovirus,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Ungulate protoparvovirus 1
porcine reproductive and respiratory syndrome virus 1,true,viruses,Nidovirales,Pisoniviricetes,Arteriviridae,Betaarterivirus,Betaarterivirus suid 1
porcine rubulavirus,true,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Orthorubulavirus,Porcine orthorubulavirus
porcine sapelovirus,true,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Sapelovirus,Sapelovirus A
porcine teschovirus,true,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Teschovirus,Teschovirus A
porcine torovirus,true,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Porcine torovirus
