name,exact,type,order,class,family,genus,species
nycteris gambiensis,false,hosts,Caprimulgiformes,Aves,Nyctibiidae,Nyctibius,Nyctibius jamaicensis
nycteris nana,false,hosts,Chiroptera,Mammalia,Vespertilionidae,Afronycteris,Afronycteris nana
pekania pennanti pennanti,false,hosts,Passeriformes,Aves,Passeridae,Petronia,Petronia petronia
pelomys isseli,false,hosts,Rodentia,Mammalia,Muridae,Melomys,Melomys paveli
perimyotis subflavus subflavus,false,hosts,Chiroptera,Mammalia,Vespertilionidae,Perimyotis,Perimyotis subflavus
piliocolobus semlikiensis,false,hosts,Primates,Mammalia,Cercopithecidae,Piliocolobus,Piliocolobus pennantii
procyon pygmaeus,false,hosts,Primates,Mammalia,Hominidae,Pongo,Pongo pygmaeus
semnopithecus schistaceus,false,hosts,Passeriformes,Aves,Thamnophilidae,Thamnophilus,Thamnophilus schistaceus
tadarida condylura,false,hosts,Gadiformes,Actinopteri,Macrouridae,Nezumia,Nezumia condylura
tadarida pumila,false,hosts,Chiroptera,Mammalia,Molossidae,Tadarida,Tadarida fulminans
aotus azarae,true,hosts,Primates,Mammalia,Aotidae,Aotus,Aotus azarai
bos grunniens mutus,true,hosts,Artiodactyla,Mammalia,Bovidae,Bos,Bos mutus
bos taurus indicus,true,hosts,Artiodactyla,Mammalia,Bovidae,Bos,Bos indicus
capra hircus aegagrus,true,hosts,Artiodactyla,Mammalia,Bovidae,Capra,Capra aegagrus
cebuella pygmaea,true,hosts,Primates,Mammalia,Cebidae,Callithrix,Callithrix pygmaea
cercopithecus mitis albogularis,true,hosts,Primates,Mammalia,Cercopithecidae,Cercopithecus,Cercopithecus albogularis
choeropsis liberiensis,true,hosts,Artiodactyla,Mammalia,Hippopotamidae,Hexaprotodon,Hexaprotodon liberiensis
dusicyon thous,true,hosts,Carnivora,Mammalia,Canidae,Cerdocyon,Cerdocyon thous
equus quagga,true,hosts,Perissodactyla,Mammalia,Equidae,Equus,Equus burchellii
equus quagga burchellii,true,hosts,Perissodactyla,Mammalia,Equidae,Equus,Equus burchellii
felis manul,true,hosts,Carnivora,Mammalia,Felidae,Otocolobus,Otocolobus manul
herpestes javanicus,true,hosts,Carnivora,Mammalia,Herpestidae,Urva,Urva javanica
herpestes sanguineus,true,hosts,Carnivora,Mammalia,Herpestidae,Galerella,Galerella sanguinea
histriophoca fasciata,true,hosts,Carnivora,Mammalia,Phocidae,Phoca,Phoca fasciata
lasiurus cinereus,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Aeorestes,Aeorestes cinereus
lasiurus ega,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Dasypterus,Dasypterus ega
lasiurus egregius,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Aeorestes,Aeorestes egregius
lasiurus intermedius,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Dasypterus,Dasypterus intermedius
lasiurus xanthinus,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Dasypterus,Dasypterus xanthinus
loxodontomys micropus,true,hosts,Rodentia,Mammalia,Cricetidae,Auliscomys,Auliscomys micropus
macropus agilis,true,hosts,Diprotodontia,Mammalia,Macropodidae,Notamacropus,Notamacropus agilis
macropus parma,true,hosts,Diprotodontia,Mammalia,Macropodidae,Notamacropus,Notamacropus parma
macropus robustus,true,hosts,Diprotodontia,Mammalia,Macropodidae,Osphranter,Osphranter robustus
macropus rufogriseus,true,hosts,Diprotodontia,Mammalia,Macropodidae,Notamacropus,Notamacropus rufogriseus
macropus rufus,true,hosts,Diprotodontia,Mammalia,Macropodidae,Osphranter,Osphranter rufus
micoureus demerarae,true,hosts,Didelphimorphia,Mammalia,Didelphidae,Marmosa,Marmosa demerarae
microtus gregalis,true,hosts,Rodentia,Mammalia,Cricetidae,Lasiopodomys,Lasiopodomys gregalis
microtus subterraneus,true,hosts,Rodentia,Mammalia,Cricetidae,Terricola,Terricola subterraneus
monachus schauinslandi,true,hosts,Carnivora,Mammalia,Phocidae,Neomonachus,Neomonachus schauinslandi
mustela vison,true,hosts,Carnivora,Mammalia,Mustelidae,Neovison,Neovison vison
myonycteris angolensis,true,hosts,Chiroptera,Mammalia,Pteropodidae,Lissonycteris,Lissonycteris angolensis
myotis pilosus,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Myotis,Myotis ricketti
necromys amoenus,true,hosts,Rodentia,Mammalia,Cricetidae,Bolomys,Bolomys amoenus
necromys lasiurus,true,hosts,Rodentia,Mammalia,Cricetidae,Bolomys,Bolomys lasiurus
ovis aries orientalis,true,hosts,Artiodactyla,Mammalia,Bovidae,Ovis,Ovis orientalis
pagophilus groenlandicus,true,hosts,Carnivora,Mammalia,Phocidae,Phoca,Phoca groenlandica
physeter macrocephalus,true,hosts,Artiodactyla,Mammalia,Physeteridae,Physeter,Physeter catodon
rhinolophus hildebrandtii,true,hosts,Chiroptera,Mammalia,Rhinolophidae,Rhinolophus,Rhinolophus hildebrandti
tadarida plicata,true,hosts,Chiroptera,Mammalia,Molossidae,Chaerephon,Chaerephon plicatus
taurotragus oryx,true,hosts,Artiodactyla,Mammalia,Bovidae,Tragelaphus,Tragelaphus oryx
uncia uncia,true,hosts,Carnivora,Mammalia,Felidae,Panthera,Panthera uncia
acara,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Acara orthobunyavirus
adelaide river,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ephemerovirus,Adelaide River ephemerovirus
adeno-associated virus-1,false,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A
adeno-associated virus-2,false,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A
adeno-associated virus-5,false,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B
african green monkey simian foamy,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Spumavirus,African green monkey simian foamy virus
african horse sickness,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,African horse sickness virus
african swine fever,false,viruses,Asfuvirales,Pokkesviricetes,Asfarviridae,Asfivirus,African swine fever virus
aichi,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Kobuvirus,Aichivirus A
aichivirus b,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Kobuvirus,Aichivirus F
aichivirus c,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Kobuvirus,Aichivirus F
akabane,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Akabane orthobunyavirus
aleutian mink disease,false,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 1
allpaahuayo,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Allpahuayo mammarenavirus
amapari,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Serra do Navio mammarenavirus
andes,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Deltacoronavirus,
anopheles a,false,viruses,Picornavirales,Pisoniviricetes,Dicistroviridae,Cripavirus,Anopheles C virus
anopheles b,false,viruses,Picornavirales,Pisoniviricetes,Dicistroviridae,Cripavirus,Anopheles C virus
apoi,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Gammacoronavirus,Avian coronavirus
aquamavirus a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aquamavirus,Aquamavirus A
araguari,false,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,Thogotovirus,Araguari virus
aravan,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Aravan lyssavirus
arctic squirrel hepatitis,false,viruses,Blubervirales,Revtraviricetes,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus
aroa,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Gammacoronavirus,Avian coronavirus
arumowot,false,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Arumowot phlebovirus
aura,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Aura virus
avian leukosis,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Alpharetrovirus,Avian leukosis virus
baboon polyomavirus 2,false,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,Simian virus 12
bagaza,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Bagaza virus
bakau,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bakau orthobunyavirus
bangui,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,,Bangui virus
banna,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Seadornavirus,Banna virus
banzi,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Banzi virus
barmah forest,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Barmah Forest virus
barur,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ledantevirus,Barur ledantevirus
bat adenovirus a,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,,Bat adenovirus 1
bat adenovirus b,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,,Bat adenovirus 1
bat coronavirus hku2,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,,Bat coronavirus 512
bat coronavirus hku4,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Tylonycteris bat coronavirus HKU4
bat coronavirus hku5,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Bat coronavirus TM5
bat coronavirus hku9,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Rousettus bat coronavirus HKU9
bat hepatitis,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Bat hepacivirus
bayou,false,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Bayou orthohantavirus
bear canyon,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Bear Canyon mammarenavirus
bebaru,false,viruses,Mononegavirales,Monjiviricetes,Nyamiviridae,Berhavirus,
beluga whale coronavirus sw1,false,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Gammacoronavirus,Beluga whale coronavirus SW1
benevides,false,viruses,Hepelivirales,Alsuviricetes,Benyviridae,Benyvirus,
berrimah,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ephemerovirus,Berrimah ephemerovirus
bertioga,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bertioga orthobunyavirus
bhanja,false,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Bandavirus,Bhanja bandavirus
bimiti,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bimiti orthobunyavirus
bivens arm,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tibrovirus,Tibrogargan tibrovirus
bk polyomavirus,false,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,Betapolyomavirus,Human polyomavirus 1
black creek canal,false,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Black Creek Canal orthohantavirus
bluetongue,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Bluetongue virus
border disease,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Pestivirus,Pestivirus D
borna,false,viruses,Mononegavirales,Monjiviricetes,Bornaviridae,Orthobornavirus,
borna disease,false,viruses,Mononegavirales,Monjiviricetes,Bornaviridae,,Borna disease virus
bouboui,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Bouboui virus
bovine adenovirus a,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B
bovine adenovirus b,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B
bovine adenovirus c,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B
bovine adenovirus d,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B
bovine adenovirus e,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B
bovine diarrhoea,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,
bovine enteric calicivirus strain nb,false,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Norovirus,Norwalk virus
bovine ephemeral fever,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ephemerovirus,Bovine fever ephemerovirus
bovine foamy,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Bovispumavirus,Bovine foamy virus
bovine immunodeficiency,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Bovine immunodeficiency virus
bovine leukemia,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Deltaretrovirus,Bovine leukemia virus
bovine norovirus-ch126,false,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Bovine torovirus
bovine norovirus-jena,false,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Bovine torovirus
bovine papular stomatitis,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Parapoxvirus,Bovine papular stomatitis virus
bovine reovirus,false,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Nebovirus,Bovine nebovirus
bovine respiratory syncytial,false,viruses,Mononegavirales,Monjiviricetes,Pneumoviridae,Orthopneumovirus,Bovine orthopneumovirus
bovine rhinitis a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aphthovirus,Bovine rhinitis B virus
bovine rhinitis b,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aphthovirus,Bovine rhinitis B virus
bse agent,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus B
buffalopox,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Vaccinia virus
bujaru,false,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Bujaru phlebovirus
bukalasa bat,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Bukalasa bat virus
bunyamwera,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bunyamwera orthobunyavirus
bushbush,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bushbush orthobunyavirus
bwamba,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bwamba orthobunyavirus
cabassou,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Cabassou virus
cacipacore,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Cacipacore virus
california encephalitis,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,California encephalitis orthobunyavirus
camelpox,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Camelpox virus
candiru,false,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Bandavirus,
canine distemper,false,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Morbillivirus,Canine morbillivirus
canine mastadenovirus a,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Canine mastadenovirus A
canine minute,false,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1
canine parainfluenza,false,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,,Canine parainfluenza virus
cano delgadito,false,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Cano Delgadito orthohantavirus
capim,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Capim orthobunyavirus
caprine arthritis encephalitis,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Caprine arthritis encephalitis virus
carajas,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Carajas vesiculovirus
caraparu,false,viruses,Bunyavirales,Ellioviricetes,Phasmaviridae,,Carapha virus
cardiovirus a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A
cardiovirus b,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A
cardiovirus c,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A
carey island,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Carey Island virus
catu,false,viruses,Nidovirales,Pisoniviricetes,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 1
caviid herpesvirus 1,false,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Iltovirus,Gaviid herpesvirus 1
caviid herpesvirus 3,false,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Caviid betaherpesvirus 2
cercopithecine herpesvirus 14,false,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 1
chagres,false,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Chagres phlebovirus
chandipura,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Chandipura vesiculovirus
changuinola,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Changuinola virus
chapare,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Chapare mammarenavirus
chenuda,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Chenuda virus
chikungunya,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Chikungunya virus
chobar gorge,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Chobar Gorge virus
classical swine fever,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Pestivirus,Pestivirus C
coastal plains,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Tibrovirus,Coastal Plains tibrovirus
cocal,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Cocal vesiculovirus
colorado tick fever,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Coltivirus,Colorado tick fever coltivirus
corriparta,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Corriparta virus
cosavirus a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cosavirus,Cosavirus F
cowbone ridge,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Cowbone Ridge virus
cowpox,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Ectromelia virus
cricetid herpesvirus,false,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Cricetid gammaherpesvirus 2
crimean-congo hemorrhagic fever,false,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus
cupixi,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Cupixi mammarenavirus
dakar bat,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Dakar bat virus
deer adenovirus,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,,Lemur adenovirus
deerpox virus w-848-83,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Cervidpoxvirus,Mule deerpox virus
dengue,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Dengue virus
dera ghazi khan,false,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Dera Ghazi Khan orthonairovirus
dhori,false,viruses,Articulavirales,Insthoviricetes,Orthomyxoviridae,Thogotovirus,Dhori thogotovirus
dobrava-belgrade,false,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Dobrava-Belgrade orthohantavirus
dugbe,false,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Dugbe orthonairovirus
duvenhage,false,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Duvenhage lyssavirus
eastern equine encephalitis,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Eastern equine encephalitis virus
ectromelia,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Ectromelia virus
edge hill,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Edge Hill virus
egla,false,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus
el moro canyon,false,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,El Moro Canyon orthohantavirus
encephalomyocarditis,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A
entebbe bat,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Entebbe bat virus
enterovirus a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E
enterovirus b,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E
enterovirus c,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E
enterovirus d,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E
enterovirus f,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E
enterovirus j,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Enterovirus,Enterovirus E
epizootic hemorrhagic disease,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus
equine adenovirus a,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Equine mastadenovirus A
equine adenovirus b,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Equine mastadenovirus A
equine arteritis,false,viruses,Nidovirales,Pisoniviricetes,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid
equine encephalosis,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Equine encephalosis virus
equine foamy,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Equispumavirus,Equine foamy virus
equine infectious anemia,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Equine infectious anemia virus
equine rhinitis a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Erbovirus,Erbovirus A
equine rhinitis b,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Erbovirus,Erbovirus A
equus zebra gammaherpesvirus 2,false,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Equus zebra gammaherpesvirus 1
eubenangee,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Eubenangee virus
european brown hare syndrome,false,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Lagovirus,European brown hare syndrome virus
everglades,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Everglades virus
eyach,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Coltivirus,Eyach coltivirus
feline foamy,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Felispumavirus,Feline foamy virus
feline immunodeficiency,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Feline immunodeficiency virus
feline leukemia,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Feline leukemia virus
feline panleukopenia,false,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1
feline sarcoma,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Feline leukemia virus
finkel-biskis-jinkins murine sarcoma,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Finkel-Biskis-Jinkins murine sarcoma virus
flexal,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Flexal mammarenavirus
foot-and-mouth disease,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus
fort morgan,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Fort Morgan virus
gadgets gully,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Gadgets Gully virus
gan gan,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Gan Gan virus
gb virus a,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B
gb virus b,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B
gb virus c,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B
gb virus d,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepatitis GB virus B
getah,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Getah virus
gibbon ape leukemia,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Gibbon ape leukemia virus
goat adenovirus,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Atadenovirus,Ovine atadenovirus D
goatpox,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Capripoxvirus,Goatpox virus
great island,false,viruses,Reovirales,Resentoviricetes,Reoviridae,Orbivirus,Great Island virus
ground squirrel hepatitis,false,viruses,Blubervirales,Revtraviricetes,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus
guajara,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Guajara orthobunyavirus
guama,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Guama orthobunyavirus
guanarito,false,viruses,Bunyavirales,Ellioviricetes,Arenaviridae,Mammarenavirus,Guanarito mammarenavirus
guaroa,false,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus
guinea pig type-c oncovirus,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Guinea pig adenovirus
hantaan,false,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Hantaan orthohantavirus
hare fibroma,false,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Leporipoxvirus,Rabbit fibroma virus
harvey murine sarcoma,false,viruses,Ortervirales,Revtraviricetes,Retroviridae,Gammaretrovirus,Harvey murine sarcoma virus
hendra,false,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Henipavirus,Hendra henipavirus
hepatitis a,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C
hepatitis b,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C
hepatitis c,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C
hepatitis delta,false,viruses,,,,Deltavirus,Hepatitis delta virus
hepatitis e,false,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Hepacivirus,Hepacivirus C
hepatovirus a,false,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Hepatovirus,Hepatovirus A
highlands j,false,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Highlands J virus
hughes,false,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Hughes orthonairovirus
human adenovirus a,false,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Human mastadenovirus E
